# lat,lng,id,name,building_type,type,url,page_type
# mori -- restaurants.csv
45.910330,10.986830,ov_chalet_dahu_polsa_di_brentonico_45.9103_10.9868,Chalet Dahu Polsa di Brentonico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/chalet_dahu_polsa_di_brentonico_45.9103_10.9868.json,custom
45.856762,10.990445,ov_ristorante_aziendale_trevisan_45.8568_10.9904,Ristorante Aziendale Trevisan,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/ristorante_aziendale_trevisan_45.8568_10.9904.json,custom
45.858141,10.991014,ov_ristorante_pizzeria_tre_pini_45.8581_10.9910,Ristorante Pizzeria Tre Pini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/ristorante_pizzeria_tre_pini_45.8581_10.9910.json,custom
45.855525,10.929837,ov_ca__del_garda_45.8555_10.9298,Ca' del Garda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/ca_del_garda_45.8555_10.9298.json,custom
45.877076,10.933917,ov_ristorante_birreria_al_giardino_45.8771_10.9339,Ristorante Birreria al Giardino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/ristorante_birreria_al_giardino_45.8771_10.9339.json,custom
45.854614,10.946286,ov_la_mela_45.8546_10.9463,La Mela,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/la_mela_45.8546_10.9463.json,custom
45.853520,10.973116,ov_la_panetteria_45.8535_10.9731,La Panetteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/la_panetteria_45.8535_10.9731.json,custom
45.851851,10.971507,ov_ristorante_pizzeria_zurigo_45.8519_10.9715,Ristorante Pizzeria Zurigo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/ristorante_pizzeria_zurigo_45.8519_10.9715.json,custom
45.851962,10.978391,ov_vecchia_mori_45.8520_10.9784,Vecchia Mori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/vecchia_mori_45.8520_10.9784.json,custom
45.853711,10.979438,ov_pizzeria_e_kebab_da_mario_2_45.8537_10.9794,Pizzeria e Kebab Da Mario 2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/pizzeria_e_kebab_da_mario_2_45.8537_10.9794.json,custom
45.851826,10.979408,ov_pronto_pizza_di_potrich_denis_45.8518_10.9794,Pronto Pizza Di Potrich Denis,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/pronto_pizza_di_potrich_denis_45.8518_10.9794.json,custom
45.851722,10.978854,ov_360gradipizza_45.8517_10.9789,360gradipizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/360gradipizza_45.8517_10.9789.json,custom
45.850207,10.980242,ov_ristorante___pizzeria_terra_nera_45.8502_10.9802,Ristorante - Pizzeria Terra Nera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/ristorante_-_pizzeria_terra_nera_45.8502_10.9802.json,custom
45.853699,10.982900,ov_tenute_sajni_fasanotti_45.8537_10.9829,Tenute Sajni Fasanotti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/tenute_sajni_fasanotti_45.8537_10.9829.json,custom
45.853780,10.982879,ov_ristorante_boccondivino___tenute_sajni_f_45.8538_10.9829,Ristorante Boccondivino - Tenute Sajni Fasanotti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/ristorante_boccondivino_-_tenute_sajni_f_45.8538_10.9829.json,custom
45.846184,10.986649,ov_caffe_castel_albano_45.8462_10.9866,Caffe Castel Albano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/caffe_castel_albano_45.8462_10.9866.json,custom
45.855397,10.986391,osm_borgo_antico_45.8554_10.9864,Borgo Antico,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/borgo_antico_45.8554_10.9864.json,custom
45.854069,10.968041,osm_da_neni_45.8541_10.9680,Da Neni,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/da_neni_45.8541_10.9680.json,custom
45.853213,10.967828,osm_la_movida_45.8532_10.9678,La Movida,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/la_movida_45.8532_10.9678.json,custom
45.861922,10.999541,osm_3_pini_45.8619_10.9995,3 Pini,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mori/pages/3_pini_45.8619_10.9995.json,custom
