# lat,lng,id,name,building_type,type,url,page_type
# ville_danaunia -- restaurants
46.294357,10.974432,ov_ristorante_pizzeria_al_capriolo_tovel_46.2944_10.9744,Ristorante Pizzeria al Capriolo Tovel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ville_danaunia/pages/ristorante_pizzeria_al_capriolo_tovel_46.2944_10.9744.json,custom
46.302455,11.060405,ov_agritur_al_paradis_46.3025_11.0604,Agritur Al Paradis,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ville_danaunia/pages/agritur_al_paradis_46.3025_11.0604.json,custom
46.331767,11.004294,ov_el_malget_46.3318_11.0043,El Malget,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ville_danaunia/pages/el_malget_46.3318_11.0043.json,custom
46.326339,11.022624,ov_pizza_da_luca_46.3263_11.0226,Pizza da Luca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ville_danaunia/pages/pizza_da_luca_46.3263_11.0226.json,custom
46.328776,11.023479,ov_andiamo_ristorante_pizzeria_46.3288_11.0235,Andiamo Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ville_danaunia/pages/andiamo_ristorante_pizzeria_46.3288_11.0235.json,custom
46.328880,11.023530,ov_enoteca_e_wine_bar_a_tuenno_46.3289_11.0235,Enoteca e Wine-bar a Tuenno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ville_danaunia/pages/enoteca_e_wine-bar_a_tuenno_46.3289_11.0235.json,custom
46.330794,11.023894,ov_il_granello_46.3308_11.0239,Il Granello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ville_danaunia/pages/il_granello_46.3308_11.0239.json,custom
46.346281,11.059370,ov_ristorante_val_di_non___alla_diga_46.3463_11.0594,Ristorante Val di Non - Alla Diga,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ville_danaunia/pages/ristorante_val_di_non_-_alla_diga_46.3463_11.0594.json,custom
46.330260,11.039370,ov_restaurant_les_robinsons_46.3303_11.0394,Restaurant Les Robinsons,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ville_danaunia/pages/restaurant_les_robinsons_46.3303_11.0394.json,custom
46.260301,10.943989,osm_albergo_lago_rosso_46.2603_10.9440,Albergo Lago Rosso,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/ville_danaunia/pages/albergo_lago_rosso_46.2603_10.9440.json,custom
