# lat,lng,id,name,building_type,type,url,page_type
# picerno -- restaurants
40.622769,15.606494,ov_tre_pini_di_figliuolo_mario_c__sas_40.6228_15.6065,Tre Pini di Figliuolo Mario C. SAS,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/picerno/pages/tre_pini_di_figliuolo_mario_c_sas_40.6228_15.6065.json,custom
40.625299,15.614642,ov_ristorante_il_rifugio_40.6253_15.6146,Ristorante Il Rifugio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/picerno/pages/ristorante_il_rifugio_40.6253_15.6146.json,custom
40.629351,15.623993,ov_green_park_ristorante_pizzeria_40.6294_15.6240,Green Park Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/picerno/pages/green_park_ristorante_pizzeria_40.6294_15.6240.json,custom
40.629346,15.620500,ov_plebiscito_caf____bistrot_40.6293_15.6205,Plebiscito Cafè - Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/picerno/pages/plebiscito_caf_-_bistrot_40.6293_15.6205.json,custom
40.639451,15.639316,ov_ristorante_why_not_40.6395_15.6393,Ristorante Why Not,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/picerno/pages/ristorante_why_not_40.6395_15.6393.json,custom
40.639472,15.639765,ov_gr_pizzeria_40.6395_15.6398,GR pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/picerno/pages/gr_pizzeria_40.6395_15.6398.json,custom
40.640885,15.640061,ov_pizzeria_time_40.6409_15.6401,pizzeria time,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/picerno/pages/pizzeria_time_40.6409_15.6401.json,custom
40.640918,15.639940,ov_sapori_picerno_food_40.6409_15.6399,Sapori Picerno Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/picerno/pages/sapori_picerno_food_40.6409_15.6399.json,custom
40.640235,15.637405,ov_osteria_antica_torre_40.6402_15.6374,Osteria Antica Torre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/picerno/pages/osteria_antica_torre_40.6402_15.6374.json,custom
40.635946,15.625607,ov_green_park_ristorante_pizzeria_40.6359_15.6256,Green Park Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/picerno/pages/green_park_ristorante_pizzeria_40.6359_15.6256.json,custom
40.635848,15.623540,ov_tre_pini_40.6358_15.6235,Tre Pini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/picerno/pages/tre_pini_40.6358_15.6235.json,custom
40.635225,15.638940,ov_pizzeria_4_luci_40.6352_15.6389,Pizzeria 4 Luci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/picerno/pages/pizzeria_4_luci_40.6352_15.6389.json,custom
40.633862,15.651763,ov_barcollando_40.6339_15.6518,Barcollando,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/picerno/pages/barcollando_40.6339_15.6518.json,custom
40.647068,15.658318,ov_agriturismo_il_cerro_40.6471_15.6583,Agriturismo Il Cerro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/picerno/pages/agriturismo_il_cerro_40.6471_15.6583.json,custom
40.666231,15.590639,ov_giardino_degli_ulivi_40.6662_15.5906,Giardino Degli Ulivi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/picerno/pages/giardino_degli_ulivi_40.6662_15.5906.json,custom
40.669772,15.564332,ov_ristorante_delle_rose_40.6698_15.5643,Ristorante delle Rose,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/picerno/pages/ristorante_delle_rose_40.6698_15.5643.json,custom
40.659477,15.665213,ov_agriturismo_la_nevena_40.6595_15.6652,Agriturismo La Nevena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/picerno/pages/agriturismo_la_nevena_40.6595_15.6652.json,custom
40.729990,15.496159,ov_delle_rose_ricevimenti_40.7300_15.4962,Delle Rose Ricevimenti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/picerno/pages/delle_rose_ricevimenti_40.7300_15.4962.json,custom
