# lat,lng,id,name,building_type,type,url,page_type
# arpino -- restaurants
41.654431,13.556686,ov_da_coso___pizzeria_romana_41.6544_13.5567,Da Coso - Pizzeria Romana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/arpino/pages/da_coso_-_pizzeria_romana_41.6544_13.5567.json,custom
41.648875,13.560563,ov_pizzeria_da_adriano_41.6489_13.5606,Pizzeria Da Adriano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/arpino/pages/pizzeria_da_adriano_41.6489_13.5606.json,custom
41.646760,13.562525,ov_al_vecchio_casino_41.6468_13.5625,Al Vecchio Casino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/arpino/pages/al_vecchio_casino_41.6468_13.5625.json,custom
41.664460,13.642510,ov_agriturismo_la_staccionata_arpino_41.6645_13.6425,Agriturismo La Staccionata Arpino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/arpino/pages/agriturismo_la_staccionata_arpino_41.6645_13.6425.json,custom
41.656132,13.629208,ov_tirotarico_agriturismo_41.6561_13.6292,Tirotarico Agriturismo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/arpino/pages/tirotarico_agriturismo_41.6561_13.6292.json,custom
41.654093,13.619817,ov_il_ciclope_41.6541_13.6198,Il Ciclope,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/arpino/pages/il_ciclope_41.6541_13.6198.json,custom
41.650089,13.619033,ov_i_giardini_dell_acropoli_41.6501_13.6190,I Giardini Dell'Acropoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/arpino/pages/i_giardini_dellacropoli_41.6501_13.6190.json,custom
41.632438,13.659319,ov_agriturismo_le_faeta_41.6324_13.6593,Agriturismo Le Faeta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/arpino/pages/agriturismo_le_faeta_41.6324_13.6593.json,custom
41.634664,13.669008,ov_ristorante_lo_zoppo_di_rea_remo_41.6347_13.6690,Ristorante Lo Zoppo di Rea Remo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/arpino/pages/ristorante_lo_zoppo_di_rea_remo_41.6347_13.6690.json,custom
41.602925,13.635724,ov_ristorante_lo_zoppo_41.6029_13.6357,Ristorante Lo Zoppo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/arpino/pages/ristorante_lo_zoppo_41.6029_13.6357.json,custom
41.625669,13.628134,ov_il_giardiniere_41.6257_13.6281,Il Giardiniere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/arpino/pages/il_giardiniere_41.6257_13.6281.json,custom
41.647980,13.614200,ov_la_perla_41.6480_13.6142,La Perla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/arpino/pages/la_perla_41.6480_13.6142.json,custom
41.646997,13.612110,ov_la_bottega_dei_buongustai_41.6470_13.6121,La Bottega dei Buongustai,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/arpino/pages/la_bottega_dei_buongustai_41.6470_13.6121.json,custom
41.640475,13.608894,ov_ristorante_bar_pizzeria_splendor_41.6405_13.6089,Ristorante Bar Pizzeria Splendor,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/arpino/pages/ristorante_bar_pizzeria_splendor_41.6405_13.6089.json,custom
41.648107,13.610378,ov_bar_trattoria_ranaldi_41.6481_13.6104,Bar Trattoria Ranaldi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/arpino/pages/bar_trattoria_ranaldi_41.6481_13.6104.json,custom
41.647786,13.610234,ov_trattoria_del_corso_41.6478_13.6102,Trattoria Del Corso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/arpino/pages/trattoria_del_corso_41.6478_13.6102.json,custom
41.647512,13.610477,ov_leon_d_oro_new_gold_dream_41.6475_13.6105,LEON D'ORO New Gold Dream,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/arpino/pages/leon_doro_new_gold_dream_41.6475_13.6105.json,custom
41.641812,13.593035,ov_ristorante_bar_bellavista_41.6418_13.5930,Ristorante Bar Bellavista,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/arpino/pages/ristorante_bar_bellavista_41.6418_13.5930.json,custom
41.631620,13.587628,ov_tenuta_la_fagiana_41.6316_13.5876,Tenuta La Fagiana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/arpino/pages/tenuta_la_fagiana_41.6316_13.5876.json,custom
41.628532,13.590421,ov_tenuta_la_fagiana_41.6285_13.5904,Tenuta La Fagiana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/arpino/pages/tenuta_la_fagiana_41.6285_13.5904.json,custom
41.652415,13.581931,ov_ristorante_pizzeria_da_peppino_41.6524_13.5819,Ristorante Pizzeria da Peppino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/arpino/pages/ristorante_pizzeria_da_peppino_41.6524_13.5819.json,custom
41.656072,13.614256,ov_eurobar_di_rea_francesco_41.6561_13.6143,EuroBar Di Rea Francesco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/arpino/pages/eurobar_di_rea_francesco_41.6561_13.6143.json,custom
41.670956,13.612492,ov_tenuta_il_laureto_41.6710_13.6125,Tenuta Il Laureto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/arpino/pages/tenuta_il_laureto_41.6710_13.6125.json,custom
41.668167,13.606275,ov_ristorante_perla_41.6682_13.6063,Ristorante Perla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/arpino/pages/ristorante_perla_41.6682_13.6063.json,custom
41.667439,13.603411,ov_collecarino_41.6674_13.6034,Collecarino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/arpino/pages/collecarino_41.6674_13.6034.json,custom
41.687885,13.605921,ov_bar_pizzeria_cin_cin_41.6879_13.6059,Bar pizzeria Cin Cin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/arpino/pages/bar_pizzeria_cin_cin_41.6879_13.6059.json,custom
41.725278,13.618702,ov_il_becco_felice___food___farm_holidays_41.7253_13.6187,Il Becco Felice - Food & Farm Holidays,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/arpino/pages/il_becco_felice_-_food_farm_holidays_41.7253_13.6187.json,custom
41.652105,13.660287,osm_agriturismo_la_pietra_41.6521_13.6603,Agriturismo La Pietra,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/arpino/pages/agriturismo_la_pietra_41.6521_13.6603.json,custom
