# lat,lng,id,name,building_type,type,url,page_type
# rubano -- restaurants
45.444349,11.795879,ov_la_place_cafe_45.4443_11.7959,La Place Cafe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/la_place_cafe_45.4443_11.7959.json,custom
45.444462,11.815580,ov_villaguattera_grill___dance_45.4445_11.8156,Villaguattera Grill & Dance,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/villaguattera_grill_dance_45.4445_11.8156.json,custom
45.444545,11.796035,ov_turbo_pizza_45.4445_11.7960,Turbo pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/turbo_pizza_45.4445_11.7960.json,custom
45.429250,11.809060,ov_al_capone_padova_45.4293_11.8091,Al Capone Padova,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/al_capone_padova_45.4293_11.8091.json,custom
45.429378,11.809353,ov_benvenuti_al_sud_45.4294_11.8094,Benvenuti al Sud,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/benvenuti_al_sud_45.4294_11.8094.json,custom
45.420677,11.817005,ov_ambitaly_45.4207_11.8170,Ambitaly,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/ambitaly_45.4207_11.8170.json,custom
45.420706,11.816716,ov_le_torri_pizzeria_ristorante_45.4207_11.8167,Le Torri Pizzeria Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/le_torri_pizzeria_ristorante_45.4207_11.8167.json,custom
45.421238,11.809760,ov_il_pomodorino_45.4212_11.8098,Il Pomodorino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/il_pomodorino_45.4212_11.8098.json,custom
45.420868,11.814929,ov_love_pizza_di_ferrara_andrea_45.4209_11.8149,Love Pizza Di Ferrara Andrea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/love_pizza_di_ferrara_andrea_45.4209_11.8149.json,custom
45.419707,11.818633,ov_meaty_45.4197_11.8186,Meaty,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/meaty_45.4197_11.8186.json,custom
45.419353,11.819215,ov_goti___spunciotti_45.4194_11.8192,Goti & Spunciotti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/goti_spunciotti_45.4194_11.8192.json,custom
45.419145,11.818708,ov_fast_pizza_45.4191_11.8187,Fast Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/fast_pizza_45.4191_11.8187.json,custom
45.423010,11.798723,ov_gola_e_vanita_45.4230_11.7987,Gola e Vanita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/gola_e_vanita_45.4230_11.7987.json,custom
45.421637,11.806680,ov_blues_brothers_cafe_45.4216_11.8067,Blues Brothers Cafe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/blues_brothers_cafe_45.4216_11.8067.json,custom
45.421655,11.806545,ov_hisyou_rubano_45.4217_11.8065,Hisyou Rubano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/hisyou_rubano_45.4217_11.8065.json,custom
45.421843,11.809678,ov_le_calandre_45.4218_11.8097,Le Calandre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/le_calandre_45.4218_11.8097.json,custom
45.422042,11.812841,ov_pizzeria_pizza_regina_45.4220_11.8128,Pizzeria Pizza Regina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/pizzeria_pizza_regina_45.4220_11.8128.json,custom
45.422741,11.818647,ov_pronto_pizza_special_da_max_45.4227_11.8186,Pronto Pizza Special da Max,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/pronto_pizza_special_da_max_45.4227_11.8186.json,custom
45.423102,11.813087,ov_furin_sushi_45.4231_11.8131,Furin Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/furin_sushi_45.4231_11.8131.json,custom
45.424293,11.795754,ov_self_service_l__intervallo_45.4243_11.7958,Self Service L' Intervallo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/self_service_l_intervallo_45.4243_11.7958.json,custom
45.424533,11.795789,ov_solemaya_gourmex_padova__ristorante_mess_45.4245_11.7958,"Solemaya Gourmex Padova- Ristorante Messicano a Rubano, Pado",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/solemaya_gourmex_padova-_ristorante_mess_45.4245_11.7958.json,custom
45.424863,11.794737,ov_la_mulatta_ristorante_brasiliano_45.4249_11.7947,La Mulatta Ristorante Brasiliano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/la_mulatta_ristorante_brasiliano_45.4249_11.7947.json,custom
45.425169,11.794980,ov_la_mulata___padova_45.4252_11.7950,La Mulata | Padova,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/la_mulata_padova_45.4252_11.7950.json,custom
45.426647,11.790040,ov_la_tradizione_45.4266_11.7900,La Tradizione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/la_tradizione_45.4266_11.7900.json,custom
45.426459,11.787600,ov_amici_del_break_45.4265_11.7876,Amici Del Break,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/amici_del_break_45.4265_11.7876.json,custom
45.426855,11.788318,ov_max_pizza_45.4269_11.7883,Max Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/max_pizza_45.4269_11.7883.json,custom
45.427706,11.783011,ov_la_mandragola_45.4277_11.7830,La Mandragola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/la_mandragola_45.4277_11.7830.json,custom
45.427810,11.782170,ov_ristorante_cala_luna_45.4278_11.7822,Ristorante Cala Luna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/ristorante_cala_luna_45.4278_11.7822.json,custom
45.427877,11.782217,ov_sushi_california_45.4279_11.7822,Sushi California,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/sushi_california_45.4279_11.7822.json,custom
45.429702,11.780624,ov_ciccio_kebab_45.4297_11.7806,Ciccio Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/ciccio_kebab_45.4297_11.7806.json,custom
45.429169,11.786318,ov_la_bottega_dell_amicizia_45.4292_11.7863,La Bottega dell'Amicizia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/la_bottega_dellamicizia_45.4292_11.7863.json,custom
45.429766,11.795285,ov_da_zio_toto_45.4298_11.7953,Da Zio Toto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/da_zio_toto_45.4298_11.7953.json,custom
45.430236,11.794584,ov_albaretto_45.4302_11.7946,Albaretto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/albaretto_45.4302_11.7946.json,custom
45.430708,11.793889,ov_pizzeria_pinsa_me_45.4307_11.7939,Pizzeria Pinsa me,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/pizzeria_pinsa_me_45.4307_11.7939.json,custom
45.431302,11.778458,ov_mcdonald_s_45.4313_11.7785,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/mcdonalds_45.4313_11.7785.json,custom
45.416385,11.825159,ov_poke_sun_rice_45.4164_11.8252,Poke Sun Rice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/poke_sun_rice_45.4164_11.8252.json,custom
45.416686,11.825250,ov_dispensa_emilia_le_brentelle_45.4167_11.8252,Dispensa Emilia Le Brentelle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/dispensa_emilia_le_brentelle_45.4167_11.8252.json,custom
45.395303,11.825322,ov_la_mulata_45.3953_11.8253,La Mulata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/la_mulata_45.3953_11.8253.json,custom
45.400160,11.876140,ov_befuel_45.4002_11.8761,BeFuel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/befuel_45.4002_11.8761.json,custom
45.408177,11.892497,ov_pinny___street_food_lab_45.4082_11.8925,PINNY - Street Food Lab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/pinny_-_street_food_lab_45.4082_11.8925.json,custom
45.426919,11.789735,osm_hotel_el_rustego_45.4269_11.7897,Hotel El Rustego,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/hotel_el_rustego_45.4269_11.7897.json,custom
45.420778,11.816667,osm_le_torri_45.4208_11.8167,Le Torri,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/le_torri_45.4208_11.8167.json,custom
45.430635,11.793818,osm_pinsa_me_45.4306_11.7938,Pinsa me,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/pinsa_me_45.4306_11.7938.json,custom
45.435907,11.790137,osm_l_osteria_al_parco_dai_salvarza_45.4359_11.7901,L'Osteria al Parco dai Salvarza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/losteria_al_parco_dai_salvarza_45.4359_11.7901.json,custom
45.429733,11.795081,osm_da_zio_tot__45.4297_11.7951,Da Zio Totò,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/da_zio_tot_45.4297_11.7951.json,custom
45.426902,11.788409,osm_buona_forchetta_da_farooq_45.4269_11.7884,Buona Forchetta da Farooq,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/rubano/pages/buona_forchetta_da_farooq_45.4269_11.7884.json,custom
