# lat,lng,id,name,building_type,type,url,page_type
# siano -- bars_cafes
40.803987,14.702698,ov_zen_cafe_40.8040_14.7027,zen cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/siano/pages/zen_cafe_40.8040_14.7027.json,custom
40.802239,14.695487,ov_l_anti_bar_40.8022_14.6955,L'AnTi bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/siano/pages/lanti_bar_40.8022_14.6955.json,custom
40.801660,14.693698,ov_caffetteria_pasticceria_davide_40.8017_14.6937,Caffetteria Pasticceria Davide,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/siano/pages/caffetteria_pasticceria_davide_40.8017_14.6937.json,custom
40.801150,14.693960,ov_bar_roial_centrale_40.8011_14.6940,Bar Roial Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/siano/pages/bar_roial_centrale_40.8011_14.6940.json,custom
40.801231,14.693370,ov_bar_ideal_40.8012_14.6934,Bar Ideal,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/siano/pages/bar_ideal_40.8012_14.6934.json,custom
40.801218,14.693393,ov_risto_pub_pizzeria_tot__e_i_due_fratelli_40.8012_14.6934,Risto Pub Pizzeria Totò e I Due Fratelli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/siano/pages/risto_pub_pizzeria_tot_e_i_due_fratelli_40.8012_14.6934.json,custom
40.800973,14.694060,ov_bar_royal_di_salvato_luigi_40.8010_14.6941,Bar Royal di Salvato Luigi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/siano/pages/bar_royal_di_salvato_luigi_40.8010_14.6941.json,custom
40.798068,14.697772,ov_de_santis_pasticceria___caf__40.7981_14.6978,De Santis Pasticceria / Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/siano/pages/de_santis_pasticceria_caf_40.7981_14.6978.json,custom
40.798620,14.697332,ov_bar_3_stelle_40.7986_14.6973,Bar 3 Stelle,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/siano/pages/bar_3_stelle_40.7986_14.6973.json,custom
40.802048,14.690624,ov_cafe_le_chalet_40.8020_14.6906,Cafe Le Chalet,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/siano/pages/cafe_le_chalet_40.8020_14.6906.json,custom
40.802052,14.691689,ov_bar_mi_fa_star_bene_40.8021_14.6917,Bar Mi Fa Star Bene,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/siano/pages/bar_mi_fa_star_bene_40.8021_14.6917.json,custom
40.802788,14.693567,ov_mini_pub_40.8028_14.6936,Mini Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/siano/pages/mini_pub_40.8028_14.6936.json,custom
40.804522,14.693786,ov_bc_coffee_and_more_40.8045_14.6938,BC coffee and more,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/siano/pages/bc_coffee_and_more_40.8045_14.6938.json,custom
40.804810,14.693720,ov_pub_botta_40.8048_14.6937,PUB BOTTA,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/siano/pages/pub_botta_40.8048_14.6937.json,custom
40.724725,15.293924,ov_bar_europa_40.7247_15.2939,Bar Europa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/siano/pages/bar_europa_40.7247_15.2939.json,custom
