# lat,lng,id,name,building_type,type,url,page_type
# slden -- restaurants
46.855850,10.891665,ov_restaurant_rofenhof_46.8559_10.8917,Restaurant Rofenhof,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/slden/pages/restaurant_rofenhof_46.8559_10.8917.json,custom
46.857295,10.913095,ov_17_bar_and_restaurant_46.8573_10.9131,17 Bar and Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/slden/pages/17_bar_and_restaurant_46.8573_10.9131.json,custom
46.999801,11.004152,ov_jausenstation_hochwald_46.9998_11.0042,Jausenstation Hochwald,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/slden/pages/jausenstation_hochwald_46.9998_11.0042.json,custom
46.967091,11.023244,ov_stallwiesalm_46.9671_11.0232,Stallwiesalm,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/slden/pages/stallwiesalm_46.9671_11.0232.json,custom
46.977687,11.011956,ov_ad_vinum_46.9777_11.0120,AD VINUM,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/slden/pages/ad_vinum_46.9777_11.0120.json,custom
46.975379,11.011012,ov_salino_46.9754_11.0110,Salino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/slden/pages/salino_46.9754_11.0110.json,custom
46.971689,11.009518,ov_pizza_kebab_house_46.9717_11.0095,Pizza Kebab House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/slden/pages/pizza_kebab_house_46.9717_11.0095.json,custom
46.971413,11.008784,ov_restaurant_schnalser_stub_n_46.9714_11.0088,Restaurant Schnalser Stub'n,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/slden/pages/restaurant_schnalser_stubn_46.9714_11.0088.json,custom
46.972470,11.008610,ov_giggijoch_restaurants_s_lden_46.9725_11.0086,Giggijoch Restaurants Sölden,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/slden/pages/giggijoch_restaurants_slden_46.9725_11.0086.json,custom
46.973129,11.008748,ov_giggi_tenne_46.9731_11.0087,Giggi Tenne,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/slden/pages/giggi_tenne_46.9731_11.0087.json,custom
46.974173,11.009469,ov_bergrestaurant_giggijoch_46.9742_11.0095,Bergrestaurant Giggijoch,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/slden/pages/bergrestaurant_giggijoch_46.9742_11.0095.json,custom
46.970309,11.008509,ov_martin_riml_46.9703_11.0085,Martin Riml,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/slden/pages/martin_riml_46.9703_11.0085.json,custom
46.968377,11.006974,ov_restaurant_al_pine_46.9684_11.0070,Restaurant al pine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/slden/pages/restaurant_al_pine_46.9684_11.0070.json,custom
46.968875,11.007984,ov_marco_s_46.9689_11.0080,Marco's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/slden/pages/marcos_46.9689_11.0080.json,custom
46.967830,11.007922,ov_die_alm_46.9678_11.0079,Die Alm,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/slden/pages/die_alm_46.9678_11.0079.json,custom
46.969005,11.009885,ov_onkel_tom_46.9690_11.0099,Onkel Tom,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/slden/pages/onkel_tom_46.9690_11.0099.json,custom
46.969504,11.009331,ov_t_rggele_stub_n_46.9695_11.0093,Törggele Stub'n,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/slden/pages/trggele_stubn_46.9695_11.0093.json,custom
