# lat,lng,id,name,building_type,type,url,page_type
# poggiardo -- restaurants
40.054942,18.374915,ov_rosticceria_i_salentini_40.0549_18.3749,Rosticceria i Salentini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/rosticceria_i_salentini_40.0549_18.3749.json,custom
40.054085,18.377086,ov_gustodi_40.0541_18.3771,Gustodi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/gustodi_40.0541_18.3771.json,custom
40.054171,18.377546,ov_la_piazza_40.0542_18.3775,La Piazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/la_piazza_40.0542_18.3775.json,custom
40.053586,18.374539,ov_voglia_di_pizza___poggiardo_40.0536_18.3745,Voglia di Pizza - Poggiardo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/voglia_di_pizza_-_poggiardo_40.0536_18.3745.json,custom
40.052980,18.378013,ov_takos___ristorante___pizzeria_40.0530_18.3780,Takos - Ristorante | Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/takos_-_ristorante_pizzeria_40.0530_18.3780.json,custom
40.052440,18.377685,ov_caff__borghese_40.0524_18.3777,Caffè Borghese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/caff_borghese_40.0524_18.3777.json,custom
40.051920,18.374982,ov_ozium___bistr__e_cocktail_bar_40.0519_18.3750,Ozium - Bistró e Cocktail Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/ozium_-_bistr_e_cocktail_bar_40.0519_18.3750.json,custom
40.051872,18.375028,ov_lievito_madre_40.0519_18.3750,Lievito Madre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/lievito_madre_40.0519_18.3750.json,custom
40.051910,18.381234,ov_zenzero_hamburgeria_pizzeria_napoletana__40.0519_18.3812,Zenzero Hamburgeria Pizzeria Napoletana Poggiardo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/zenzero_hamburgeria_pizzeria_napoletana__40.0519_18.3812.json,custom
40.050314,18.374818,ov_pit_stop_40.0503_18.3748,Pit Stop,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/pit_stop_40.0503_18.3748.json,custom
40.061103,18.372467,ov_oasi_40.0611_18.3725,Oasi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/oasi_40.0611_18.3725.json,custom
40.052034,18.381311,osm_zenzero_40.0520_18.3813,Zenzero,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/zenzero_40.0520_18.3813.json,custom
40.060105,18.372597,osm_papale_papale_40.0601_18.3726,Papale Papale,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/papale_papale_40.0601_18.3726.json,custom
40.055685,18.377135,osm_lievito_madre_40.0557_18.3771,Lievito Madre,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/lievito_madre_40.0557_18.3771.json,custom
40.051310,18.384235,osm_tesoretto_40.0513_18.3842,Tesoretto,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/poggiardo/pages/tesoretto_40.0513_18.3842.json,custom
