# lat,lng,id,name,building_type,type,url,page_type
# zevio -- restaurants
45.373683,11.068261,ov_ai_pioppi_zevio_45.3737_11.0683,Ai Pioppi Zevio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/zevio/pages/ai_pioppi_zevio_45.3737_11.0683.json,custom
45.362600,11.086660,ov_romeo_rossi_italian_food___wine_wholesal_45.3626_11.0867,Romeo Rossi Italian Food & Wine Wholesale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/zevio/pages/romeo_rossi_italian_food_wine_wholesale_45.3626_11.0867.json,custom
45.364726,11.060617,ov_autogrill_nuova_sidap_45.3647_11.0606,Autogrill Nuova Sidap,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/zevio/pages/autogrill_nuova_sidap_45.3647_11.0606.json,custom
45.355420,11.054527,ov_lago_delle_rose_45.3554_11.0545,Lago Delle Rose,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/zevio/pages/lago_delle_rose_45.3554_11.0545.json,custom
45.350891,11.062084,ov_ristorante_grappolo_rosso_45.3509_11.0621,Ristorante Grappolo Rosso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/zevio/pages/ristorante_grappolo_rosso_45.3509_11.0621.json,custom
45.368907,11.110991,ov_pizzeria_d_asporto_santa_maria_di_zevio_45.3689_11.1110,Pizzeria D'Asporto Santa Maria di Zevio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/zevio/pages/pizzeria_dasporto_santa_maria_di_zevio_45.3689_11.1110.json,custom
45.369046,11.110119,ov_bar_trattoria_andreoli_45.3690_11.1101,BAR TRATTORIA Andreoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/zevio/pages/bar_trattoria_andreoli_45.3690_11.1101.json,custom
45.369526,11.108025,ov_pizzeria_al_taglio_morgana_45.3695_11.1080,Pizzeria al taglio Morgana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/zevio/pages/pizzeria_al_taglio_morgana_45.3695_11.1080.json,custom
45.370602,11.106848,ov_locanda_del_gatto_nero_45.3706_11.1068,Locanda del Gatto Nero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/zevio/pages/locanda_del_gatto_nero_45.3706_11.1068.json,custom
45.372720,11.122243,ov_l_altro_carlo_re_45.3727_11.1222,L'Altro Carlo Re,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/zevio/pages/laltro_carlo_re_45.3727_11.1222.json,custom
45.370969,11.131319,ov_pizza_e_cucina_da_nando_45.3710_11.1313,Pizza E Cucina Da Nando,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/zevio/pages/pizza_e_cucina_da_nando_45.3710_11.1313.json,custom
45.372041,11.133543,ov_nuova_pizzeria_marconi_45.3720_11.1335,Nuova Pizzeria Marconi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/zevio/pages/nuova_pizzeria_marconi_45.3720_11.1335.json,custom
45.373126,11.129726,ov_pizzeria_fantasia_45.3731_11.1297,Pizzeria Fantasia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/zevio/pages/pizzeria_fantasia_45.3731_11.1297.json,custom
45.374040,11.136290,ov_tenuta_molino_dei_sassi_45.3740_11.1363,Tenuta Molino dei Sassi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/zevio/pages/tenuta_molino_dei_sassi_45.3740_11.1363.json,custom
45.369435,11.164757,ov_ristorantepizzeriabridi_45.3694_11.1648,Ristorantepizzeriabridi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/zevio/pages/ristorantepizzeriabridi_45.3694_11.1648.json,custom
45.357886,11.166592,ov_tre_chitarre_45.3579_11.1666,Tre Chitarre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/zevio/pages/tre_chitarre_45.3579_11.1666.json,custom
45.347477,11.090107,ov_ristorante_sacchetto_45.3475_11.0901,Ristorante Sacchetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/zevio/pages/ristorante_sacchetto_45.3475_11.0901.json,custom
45.372041,11.133543,osm_pizzeria_trattoria_marconi_45.3720_11.1335,Pizzeria Trattoria Marconi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/zevio/pages/pizzeria_trattoria_marconi_45.3720_11.1335.json,custom
45.362053,11.046292,osm_free_food_45.3621_11.0463,Free Food,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/zevio/pages/free_food_45.3621_11.0463.json,custom
