# lat,lng,id,name,building_type,type,url,page_type
# brembate -- restaurants
45.606762,9.542315,ov_mcdonald_s_45.6068_9.5423,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brembate/pages/mcdonalds_45.6068_9.5423.json,custom
45.606926,9.542684,ov_kasumibrembate_45.6069_9.5427,Kasumibrembate,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brembate/pages/kasumibrembate_45.6069_9.5427.json,custom
45.606945,9.542778,ov_ristorante_sushi_pizza_brembate_45.6069_9.5428,Ristorante Sushi Pizza Brembate,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brembate/pages/ristorante_sushi_pizza_brembate_45.6069_9.5428.json,custom
45.607202,9.545058,ov_burger_king_45.6072_9.5451,Burger King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brembate/pages/burger_king_45.6072_9.5451.json,custom
45.608896,9.561181,ov_pizzeria_tropicodue_srl_45.6089_9.5612,Pizzeria Tropicodue SRL,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brembate/pages/pizzeria_tropicodue_srl_45.6089_9.5612.json,custom
45.604706,9.560903,ov_sharm_el_sheik_45.6047_9.5609,Sharm el sheik,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brembate/pages/sharm_el_sheik_45.6047_9.5609.json,custom
45.604969,9.564245,ov_ristorante_pizzeria_costa_d_amalfi_45.6050_9.5642,Ristorante Pizzeria Costa d'Amalfi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brembate/pages/ristorante_pizzeria_costa_damalfi_45.6050_9.5642.json,custom
45.605163,9.550916,ov_pizzeria_garden_45.6052_9.5509,Pizzeria Garden,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brembate/pages/pizzeria_garden_45.6052_9.5509.json,custom
45.602806,9.554102,ov_pizza_fans_di_m_barzaghi___c__snc_45.6028_9.5541,Pizza Fans di M.Barzaghi & C. SNC,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brembate/pages/pizza_fans_di_mbarzaghi_c_snc_45.6028_9.5541.json,custom
45.602849,9.553957,ov_n_l_sushi_45.6028_9.5540,N&L sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brembate/pages/nl_sushi_45.6028_9.5540.json,custom
45.603137,9.556310,ov_le_piramidi_45.6031_9.5563,Le piramidi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brembate/pages/le_piramidi_45.6031_9.5563.json,custom
45.602347,9.555745,ov_pizza_fans_45.6023_9.5557,Pizza Fans,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brembate/pages/pizza_fans_45.6023_9.5557.json,custom
45.625541,9.538729,ov_agriturismo_cascina_san_fermo_45.6255_9.5387,Agriturismo Cascina San Fermo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brembate/pages/agriturismo_cascina_san_fermo_45.6255_9.5387.json,custom
45.619983,9.543111,ov_quei_bravi_ragazzi_45.6200_9.5431,Quei Bravi Ragazzi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brembate/pages/quei_bravi_ragazzi_45.6200_9.5431.json,custom
45.617081,9.542483,ov_pizzeria_harley_davidson_45.6171_9.5425,Pizzeria Harley-Davidson,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brembate/pages/pizzeria_harley-davidson_45.6171_9.5425.json,custom
