# lat,lng,id,name,building_type,type,url,page_type
# guastalla -- restaurants
44.894324,10.646749,ov_tavolamica_self_service_44.8943_10.6467,Tavolamica Self Service,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/tavolamica_self_service_44.8943_10.6467.json,custom
44.894382,10.662402,ov_pizzeria_comunque_ci_sta_44.8944_10.6624,Pizzeria Comunque ci Sta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/pizzeria_comunque_ci_sta_44.8944_10.6624.json,custom
44.890520,10.650912,ov_duecinox_44.8905_10.6509,Duecinox,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/duecinox_44.8905_10.6509.json,custom
44.898814,10.718404,ov_agriturismo_valle_5a_44.8988_10.7184,Agriturismo Valle 5a,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/agriturismo_valle_5a_44.8988_10.7184.json,custom
44.918425,10.671074,ov_pizzeria_da_cuba_44.9184_10.6711,Pizzeria da Cuba,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/pizzeria_da_cuba_44.9184_10.6711.json,custom
44.929353,10.682095,ov_ristorante_il_cantuccio_44.9294_10.6821,Ristorante Il Cantuccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/ristorante_il_cantuccio_44.9294_10.6821.json,custom
44.929201,10.654266,ov_ristorante_rina_44.9292_10.6543,Ristorante Rina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/ristorante_rina_44.9292_10.6543.json,custom
44.925261,10.654429,ov_ristorante_old_river_44.9253_10.6544,Ristorante OLD RIVER,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/ristorante_old_river_44.9253_10.6544.json,custom
44.930397,10.636880,ov_chalet_da_marzio_44.9304_10.6369,Chalet Da Marzio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/chalet_da_marzio_44.9304_10.6369.json,custom
44.922305,10.652784,ov_osteria_la_fratelansa_44.9223_10.6528,Osteria La Fratelansa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/osteria_la_fratelansa_44.9223_10.6528.json,custom
44.922623,10.653501,ov_the_breakfast_by_liberty_44.9226_10.6535,The Breakfast by Liberty,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/the_breakfast_by_liberty_44.9226_10.6535.json,custom
44.923930,10.655737,ov_sushiko_44.9239_10.6557,Sushiko,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/sushiko_44.9239_10.6557.json,custom
44.923976,10.655134,ov_pizza_e_pesce_oltremare_44.9240_10.6551,Pizza e Pesce Oltremare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/pizza_e_pesce_oltremare_44.9240_10.6551.json,custom
44.923869,10.654368,ov_cucina_emilia___teresa_44.9239_10.6544,Cucina Emilia & Teresa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/cucina_emilia_teresa_44.9239_10.6544.json,custom
44.923647,10.656410,ov_ni_sushi_44.9236_10.6564,Ni sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/ni_sushi_44.9236_10.6564.json,custom
44.920894,10.654564,ov_via_vaipizzeria_44.9209_10.6546,Via Vaipizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/via_vaipizzeria_44.9209_10.6546.json,custom
44.919843,10.658258,ov_quintopiano_home_restaurant_44.9198_10.6583,Quintopiano Home Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/quintopiano_home_restaurant_44.9198_10.6583.json,custom
44.918854,10.656802,ov_ristorante_pizzicori_44.9189_10.6568,Ristorante Pizzicori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/ristorante_pizzicori_44.9189_10.6568.json,custom
44.917065,10.654364,ov_l_oriente_44.9171_10.6544,L'Oriente,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/loriente_44.9171_10.6544.json,custom
44.917981,10.653487,ov_pizzeria_franco___miki_44.9180_10.6535,Pizzeria Franco & Miki,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/pizzeria_franco_miki_44.9180_10.6535.json,custom
44.918627,10.654590,ov_chiosco_gelateria_44.9186_10.6546,Chiosco Gelateria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/chiosco_gelateria_44.9186_10.6546.json,custom
44.917487,10.651158,ov_ristorante_le_vie_del_gusto___guastalla__44.9175_10.6512,Ristorante Le Vie del Gusto · Guastalla (RE),RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/guastalla/pages/ristorante_le_vie_del_gusto_guastalla_re_44.9175_10.6512.json,custom
