# lat,lng,id,name,building_type,type,url,page_type
# borghetto_santo_spirito -- restaurants
44.059237,8.224949,ov_enjoy_lab___la_chimica_del_gusto___44.0592_8.2249,Enjoy Lab - la chimica del gusto -,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/enjoy_lab_-_la_chimica_del_gusto_-_44.0592_8.2249.json,custom
44.114444,8.245459,ov_pomodoro_quadrato_44.1144_8.2455,Pomodoro Quadrato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/pomodoro_quadrato_44.1144_8.2455.json,custom
44.113669,8.244653,ov_yasmina_fast_food_44.1137_8.2447,Yasmina fast food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/yasmina_fast_food_44.1137_8.2447.json,custom
44.113401,8.244886,ov_pizzeria_wine_bar_eich_44.1134_8.2449,Pizzeria Wine Bar EICH,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/pizzeria_wine_bar_eich_44.1134_8.2449.json,custom
44.114920,8.246697,ov_trattoria_coccobrillo_44.1149_8.2467,Trattoria Coccobrillo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/trattoria_coccobrillo_44.1149_8.2467.json,custom
44.114278,8.246057,ov_da_chiara_44.1143_8.2461,Da Chiara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/da_chiara_44.1143_8.2461.json,custom
44.114208,8.245828,ov_yuki_sushi_44.1142_8.2458,Yuki Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/yuki_sushi_44.1142_8.2458.json,custom
44.115509,8.246976,ov_ristorante_pizzeria_k_609_44.1155_8.2470,Ristorante Pizzeria K 609,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/ristorante_pizzeria_k_609_44.1155_8.2470.json,custom
44.116511,8.248123,ov_crystal_44.1165_8.2481,Crystal,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/crystal_44.1165_8.2481.json,custom
44.111823,8.242251,ov_l_angolo_della_pizza_44.1118_8.2423,L'Angolo della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/borghetto_santo_spirito/pages/langolo_della_pizza_44.1118_8.2423.json,custom
