# lat,lng,id,name,building_type,type,url,page_type
# portomaggiore -- restaurants
44.680791,11.846480,ov_trattoria_la_rondinella_44.6808_11.8465,Trattoria La Rondinella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/portomaggiore/pages/trattoria_la_rondinella_44.6808_11.8465.json,custom
44.687490,11.865050,ov_al_baruffino_di_valerio_e_franca_44.6875_11.8651,Al Baruffino di Valerio e Franca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/portomaggiore/pages/al_baruffino_di_valerio_e_franca_44.6875_11.8651.json,custom
44.696784,11.817414,ov_sapori_di_mare_srl_44.6968_11.8174,sapori di mare srl,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/portomaggiore/pages/sapori_di_mare_srl_44.6968_11.8174.json,custom
44.696783,11.817412,ov_sapori_di_mare_44.6968_11.8174,Sapori di Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/portomaggiore/pages/sapori_di_mare_44.6968_11.8174.json,custom
44.693818,11.834174,ov_pizzeria_da_spid_44.6938_11.8342,Pizzeria Da Spid,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/portomaggiore/pages/pizzeria_da_spid_44.6938_11.8342.json,custom
44.696951,11.799823,ov_bar_buffet_stazione_portomaggiore_44.6970_11.7998,Bar Buffet Stazione Portomaggiore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/portomaggiore/pages/bar_buffet_stazione_portomaggiore_44.6970_11.7998.json,custom
44.696955,11.810546,ov_al_capriccio_44.6970_11.8105,Al Capriccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/portomaggiore/pages/al_capriccio_44.6970_11.8105.json,custom
44.698999,11.806935,ov_la_piadineria_44.6990_11.8069,La Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/portomaggiore/pages/la_piadineria_44.6990_11.8069.json,custom
44.698734,11.807244,ov_grill_pizza_kebab_halal_44.6987_11.8072,Grill Pizza Kebab Halal,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/portomaggiore/pages/grill_pizza_kebab_halal_44.6987_11.8072.json,custom
44.698300,11.807443,ov_pizzeria_la_margherita_44.6983_11.8074,Pizzeria la Margherita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/portomaggiore/pages/pizzeria_la_margherita_44.6983_11.8074.json,custom
