# lat,lng,id,name,building_type,type,url,page_type
# cavriago -- bars_cafes
44.697134,10.521206,ov_cotidie_cafe_44.6971_10.5212,Cotidie Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cavriago/pages/cotidie_cafe_44.6971_10.5212.json,custom
44.695269,10.526250,ov_bar_garibaldi_44.6953_10.5263,Bar Garibaldi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cavriago/pages/bar_garibaldi_44.6953_10.5263.json,custom
44.693820,10.524900,ov_bar_centrale_cavriago_44.6938_10.5249,Bar centrale cavriago,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cavriago/pages/bar_centrale_cavriago_44.6938_10.5249.json,custom
44.686770,10.523050,ov_bar_gazebo_44.6868_10.5230,Bar Gazebo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cavriago/pages/bar_gazebo_44.6868_10.5230.json,custom
44.689300,10.527930,ov_cafe_ges_44.6893_10.5279,CAFE GES,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cavriago/pages/cafe_ges_44.6893_10.5279.json,custom
44.694479,10.529376,ov_lord_byron_pub_44.6945_10.5294,Lord Byron Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cavriago/pages/lord_byron_pub_44.6945_10.5294.json,custom
44.693670,10.532150,ov_uni_market_cavriago_44.6937_10.5321,Uni Market Cavriago,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cavriago/pages/uni_market_cavriago_44.6937_10.5321.json,custom
44.694950,10.528420,ov_902_44.6949_10.5284,902,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cavriago/pages/902_44.6949_10.5284.json,custom
44.695432,10.526625,ov_le_caveau_des_ignorantes_44.6954_10.5266,Le Caveau des Ignorantes,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cavriago/pages/le_caveau_des_ignorantes_44.6954_10.5266.json,custom
44.695555,10.527370,ov_caffetteria_piazza_zanti_44.6956_10.5274,Caffetteria Piazza Zanti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cavriago/pages/caffetteria_piazza_zanti_44.6956_10.5274.json,custom
44.715000,10.556244,ov_matilda_cafe_44.7150_10.5562,Matilda Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cavriago/pages/matilda_cafe_44.7150_10.5562.json,custom
44.715768,10.549574,ov_kalua_cafe_44.7158_10.5496,Kalua Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cavriago/pages/kalua_cafe_44.7158_10.5496.json,custom
