# lat,lng,id,name,building_type,type,url,page_type
# santomero -- restaurants
42.785112,13.832996,ov_le_grotte_dei_saraceni_42.7851_13.8330,Le Grotte dei Saraceni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/santomero/pages/le_grotte_dei_saraceni_42.7851_13.8330.json,custom
42.781442,13.835266,ov_agriturismo_cascio__42.7814_13.8353,Agriturismo Cascio',RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/santomero/pages/agriturismo_cascio_42.7814_13.8353.json,custom
42.792202,13.800128,ov_ristorante_la_piazzetta_42.7922_13.8001,Ristorante La Piazzetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/santomero/pages/ristorante_la_piazzetta_42.7922_13.8001.json,custom
42.791269,13.799793,ov_la_rustica_42.7913_13.7998,La Rustica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/santomero/pages/la_rustica_42.7913_13.7998.json,custom
42.789217,13.799582,ov_ristorante_la_taverna_dei_golosi_42.7892_13.7996,Ristorante La Taverna Dei Golosi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/santomero/pages/ristorante_la_taverna_dei_golosi_42.7892_13.7996.json,custom
42.776641,13.780455,ov_sali_drink_food_42.7766_13.7805,Sali Drink Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/santomero/pages/sali_drink_food_42.7766_13.7805.json,custom
42.787463,13.766167,ov_jo_ricc__42.7875_13.7662,Jo Ricc',RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/santomero/pages/jo_ricc_42.7875_13.7662.json,custom
42.798737,13.770372,ov_pinseria50_42.7987_13.7704,Pinseria50,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/santomero/pages/pinseria50_42.7987_13.7704.json,custom
42.798666,13.770948,ov_la_griglia_42.7987_13.7709,La Griglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/santomero/pages/la_griglia_42.7987_13.7709.json,custom
42.800282,13.760918,ov_pizzeria_la_piazza_42.8003_13.7609,Pizzeria La Piazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/santomero/pages/pizzeria_la_piazza_42.8003_13.7609.json,custom
42.800020,13.763581,ov_gioire_pizzeria_42.8000_13.7636,Gioire Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/santomero/pages/gioire_pizzeria_42.8000_13.7636.json,custom
42.788153,13.764678,ov_trattoria_da_roberto_42.7882_13.7647,Trattoria da Roberto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/santomero/pages/trattoria_da_roberto_42.7882_13.7647.json,custom
42.788153,13.764678,ov_gianni_24_42.7882_13.7647,Gianni 24,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/santomero/pages/gianni_24_42.7882_13.7647.json,custom
42.797492,13.781001,osm_villa_corallo_42.7975_13.7810,Villa Corallo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/santomero/pages/villa_corallo_42.7975_13.7810.json,custom
