# lat,lng,id,name,building_type,type,url,page_type
# marino -- restaurants
41.778163,12.591128,ov_ristorante_panza_2_0_41.7782_12.5911,Ristorante Panza 2.0,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/ristorante_panza_20_41.7782_12.5911.json,custom
41.777412,12.592282,ov_la_madre_panza_41.7774_12.5923,La Madre Panza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/la_madre_panza_41.7774_12.5923.json,custom
41.775650,12.594941,ov_pizzeria_pacchetta_41.7756_12.5949,Pizzeria pacchetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/pizzeria_pacchetta_41.7756_12.5949.json,custom
41.774116,12.596950,ov_officine_ibba_41.7741_12.5970,Officine Ibba,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/officine_ibba_41.7741_12.5970.json,custom
41.776953,12.592931,ov_sapore_di_mare_41.7770_12.5929,Sapore di mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/sapore_di_mare_41.7770_12.5929.json,custom
41.772974,12.599580,ov_apericena_conkarma_41.7730_12.5996,Apericena conkarma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/apericena_conkarma_41.7730_12.5996.json,custom
41.773447,12.598753,ov_la_pecora_nera_41.7734_12.5988,La pecora nera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/la_pecora_nera_41.7734_12.5988.json,custom
41.772389,12.600021,ov_puccettone_41.7724_12.6000,Puccettone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/puccettone_41.7724_12.6000.json,custom
41.772924,12.600227,ov_la_santa_maria_41.7729_12.6002,La Santa Maria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/la_santa_maria_41.7729_12.6002.json,custom
41.771721,12.602046,ov_la_gioia_del_grano_panificio_41.7717_12.6020,La gioia del grano Panificio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/la_gioia_del_grano_panificio_41.7717_12.6020.json,custom
41.775178,12.603762,ov_stazione_mole_41.7752_12.6038,Stazione Mole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/stazione_mole_41.7752_12.6038.json,custom
41.771826,12.603550,ov_koi_sushi_marino_41.7718_12.6036,Koi Sushi Marino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/koi_sushi_marino_41.7718_12.6036.json,custom
41.773946,12.604661,ov_pizzeria_il_piccolo_diavolo_41.7739_12.6047,Pizzeria Il Piccolo Diavolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/pizzeria_il_piccolo_diavolo_41.7739_12.6047.json,custom
41.775946,12.610054,ov_cindy_pizzeria_napoletana_41.7759_12.6101,Cindy Pizzeria Napoletana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/marino/pages/cindy_pizzeria_napoletana_41.7759_12.6101.json,custom
