# lat,lng,id,name,building_type,type,url,page_type
# terralba -- restaurants.csv
39.721657,8.507950,ov_ristorante_da_lucio_39.7217_8.5079,Ristorante da Lucio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/ristorante_da_lucio_39.7217_8.5079.json,custom
39.722525,8.512796,ov_la_vecchia_scuola_39.7225_8.5128,La Vecchia Scuola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/la_vecchia_scuola_39.7225_8.5128.json,custom
39.721520,8.512470,ov_ristorante_miramare_39.7215_8.5125,Ristorante Miramare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/ristorante_miramare_39.7215_8.5125.json,custom
39.723283,8.636016,ov_isola_sushi_39.7233_8.6360,Isola Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/isola_sushi_39.7233_8.6360.json,custom
39.724103,8.636774,ov_pizzeria_la_terrazza_di_mura_39.7241_8.6368,Pizzeria La terrazza di Mura,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/pizzeria_la_terrazza_di_mura_39.7241_8.6368.json,custom
39.724588,8.638197,ov_pizzeria_pizze_pazze_di_michele_39.7246_8.6382,Pizzeria Pizze Pazze di Michele,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/pizzeria_pizze_pazze_di_michele_39.7246_8.6382.json,custom
39.721980,8.637477,ov_l_asino_bianco_39.7220_8.6375,L'Asino Bianco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/lasino_bianco_39.7220_8.6375.json,custom
39.721328,8.637248,ov_da_bobo_39.7213_8.6372,Da Bobo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/da_bobo_39.7213_8.6372.json,custom
39.720658,8.637505,ov_ristorante_via_cavour_39.7207_8.6375,Ristorante Via Cavour,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/ristorante_via_cavour_39.7207_8.6375.json,custom
39.721008,8.636781,ov_the_brazen_head_39.7210_8.6368,The Brazen Head,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/terralba/pages/the_brazen_head_39.7210_8.6368.json,custom
