# lat,lng,id,name,building_type,type,url,page_type
# bovisio_masciago -- restaurants
45.607080,9.145476,ov_nozza_bistrot_45.6071_9.1455,Nozza Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/nozza_bistrot_45.6071_9.1455.json,custom
45.608204,9.145947,ov_pizzeria_d_asporto_al_trancio_45.6082_9.1459,Pizzeria D'Asporto Al Trancio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/pizzeria_dasporto_al_trancio_45.6082_9.1459.json,custom
45.608318,9.146024,ov_nozza_restaurant_45.6083_9.1460,Nozza Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/nozza_restaurant_45.6083_9.1460.json,custom
45.609492,9.146715,ov_vip_pizza___kebab_45.6095_9.1467,Vip Pizza & Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/vip_pizza_kebab_45.6095_9.1467.json,custom
45.609547,9.146626,ov_l_orologio___pizzeria_italiana_45.6095_9.1466,L'Orologio - Pizzeria Italiana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/lorologio_-_pizzeria_italiana_45.6095_9.1466.json,custom
45.609632,9.146659,ov_pizzonomia_45.6096_9.1467,Pizzonomia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/pizzonomia_45.6096_9.1467.json,custom
45.612286,9.144642,ov_pizza_rock_45.6123_9.1446,Pizza Rock,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/pizza_rock_45.6123_9.1446.json,custom
45.612229,9.148385,ov_pizzeria_luigi_monti_45.6122_9.1484,Pizzeria Luigi Monti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/pizzeria_luigi_monti_45.6122_9.1484.json,custom
45.612232,9.145821,ov_il_cafin_45.6122_9.1458,Il Cafin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/il_cafin_45.6122_9.1458.json,custom
45.611468,9.147917,ov_fast_burger_del_corso_45.6115_9.1479,Fast Burger del Corso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/fast_burger_del_corso_45.6115_9.1479.json,custom
45.611685,9.154790,ov_gusto_giusto_45.6117_9.1548,Gusto Giusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/gusto_giusto_45.6117_9.1548.json,custom
45.613061,9.157005,ov_zio_pizza_e_burger_bovisio_45.6131_9.1570,Zio Pizza e Burger Bovisio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/zio_pizza_e_burger_bovisio_45.6131_9.1570.json,custom
45.607982,9.150101,ov_officina_della_pizza_45.6080_9.1501,Officina della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bovisio_masciago/pages/officina_della_pizza_45.6080_9.1501.json,custom
