# lat,lng,id,name,building_type,type,url,page_type
# vallecrosia -- restaurants
43.782660,7.642784,ov_ristorante_corallo_43.7827_7.6428,Ristorante Corallo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/ristorante_corallo_43.7827_7.6428.json,custom
43.783374,7.639440,ov_la_balena_bianca_43.7834_7.6394,La Balena Bianca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/la_balena_bianca_43.7834_7.6394.json,custom
43.783349,7.639948,ov_casablanca_vallecrosia_43.7833_7.6399,Casablanca Vallecrosia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/casablanca_vallecrosia_43.7833_7.6399.json,custom
43.782854,7.641712,ov_le_vele_43.7829_7.6417,Le Vele,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/le_vele_43.7829_7.6417.json,custom
43.785855,7.640329,ov_carpe_diem___poke___sushi___vallecrosia_43.7859_7.6403,Carpe Diem - Poke & Sushi - Vallecrosia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/carpe_diem_-_poke_sushi_-_vallecrosia_43.7859_7.6403.json,custom
43.785789,7.640248,ov_iride_gastrobar_43.7858_7.6402,Iride Gastrobar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/iride_gastrobar_43.7858_7.6402.json,custom
43.786329,7.639743,ov_giappun_dal_1918_43.7863_7.6397,Giappun dal 1918,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/giappun_dal_1918_43.7863_7.6397.json,custom
43.786056,7.639557,ov_gang_del_panino_43.7861_7.6396,Gang del Panino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/gang_del_panino_43.7861_7.6396.json,custom
43.784615,7.642741,ov_giropizza_vallecrosia_43.7846_7.6427,Giropizza Vallecrosia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/giropizza_vallecrosia_43.7846_7.6427.json,custom
43.791299,7.651159,ov_vallecrosia_conca_verde_43.7913_7.6512,Vallecrosia Conca Verde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vallecrosia/pages/vallecrosia_conca_verde_43.7913_7.6512.json,custom
