# lat,lng,id,name,building_type,type,url,page_type
# fornovo_di_taro -- restaurants
44.702630,10.125940,ov_myshibuya_sushi_point_44.7026_10.1259,MyShibuya Sushi Point,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fornovo_di_taro/pages/myshibuya_sushi_point_44.7026_10.1259.json,custom
44.677464,10.093939,ov_retrogusto_ristorante_pizzeria_44.6775_10.0939,Retrogusto Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fornovo_di_taro/pages/retrogusto_ristorante_pizzeria_44.6775_10.0939.json,custom
44.684641,10.096144,ov_bel_sit_ristorante___pizzeria___bar_44.6846_10.0961,Bel Sit Ristorante - Pizzeria - Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fornovo_di_taro/pages/bel_sit_ristorante_-_pizzeria_-_bar_44.6846_10.0961.json,custom
44.693112,10.098029,ov_al_ponte_locanda_44.6931_10.0980,Al Ponte Locanda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fornovo_di_taro/pages/al_ponte_locanda_44.6931_10.0980.json,custom
44.692442,10.097424,ov_gastronomia_gustonostrano_44.6924_10.0974,Gastronomia Gustonostrano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fornovo_di_taro/pages/gastronomia_gustonostrano_44.6924_10.0974.json,custom
44.692288,10.096977,ov_la_maison_restaurant_44.6923_10.0970,La Maison Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fornovo_di_taro/pages/la_maison_restaurant_44.6923_10.0970.json,custom
44.689853,10.097866,ov_il_ciancio_d_oro_44.6899_10.0979,Il Ciancio D'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fornovo_di_taro/pages/il_ciancio_doro_44.6899_10.0979.json,custom
44.690189,10.098694,ov_ristorante_sesto_senso_fornovo_di_taro_44.6902_10.0987,Ristorante Sesto Senso Fornovo di Taro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fornovo_di_taro/pages/ristorante_sesto_senso_fornovo_di_taro_44.6902_10.0987.json,custom
44.692989,10.103507,ov_fantasia_inmensa_44.6930_10.1035,Fantasia Inmensa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fornovo_di_taro/pages/fantasia_inmensa_44.6930_10.1035.json,custom
44.693051,10.102432,ov_pizzeria_il_sorriso_44.6931_10.1024,Pizzeria Il Sorriso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fornovo_di_taro/pages/pizzeria_il_sorriso_44.6931_10.1024.json,custom
44.697615,10.107259,ov_ristorante_self_service_il_ghiotto_44.6976_10.1073,Ristorante Self Service Il Ghiotto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fornovo_di_taro/pages/ristorante_self_service_il_ghiotto_44.6976_10.1073.json,custom
44.671853,10.110072,ov_respiccio_44.6719_10.1101,Respiccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fornovo_di_taro/pages/respiccio_44.6719_10.1101.json,custom
44.668859,10.095172,ov_la_curva_dei_baci_44.6689_10.0952,La Curva dei Baci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fornovo_di_taro/pages/la_curva_dei_baci_44.6689_10.0952.json,custom
44.656454,10.057232,ov_saloon_trattoria_bar_44.6565_10.0572,Saloon Trattoria Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fornovo_di_taro/pages/saloon_trattoria_bar_44.6565_10.0572.json,custom
44.634802,10.033460,ov_osteria_di_citerna_il_galletto_44.6348_10.0335,Osteria di Citerna Il Galletto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fornovo_di_taro/pages/osteria_di_citerna_il_galletto_44.6348_10.0335.json,custom
44.642569,10.116465,osm_osteria_bar_all_birocc_44.6426_10.1165,Osteria Bar All Birocc,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fornovo_di_taro/pages/osteria_bar_all_birocc_44.6426_10.1165.json,custom
