# lat,lng,id,name,building_type,type,url,page_type
# tarquinia -- restaurants
42.167705,11.787500,ov_autogrill_tarquinia_corneto_ovest_42.1677_11.7875,Autogrill Tarquinia Corneto Ovest,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/tarquinia/pages/autogrill_tarquinia_corneto_ovest_42.1677_11.7875.json,custom
42.170894,11.740349,ov_la_scogliera_42.1709_11.7403,La Scogliera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/tarquinia/pages/la_scogliera_42.1709_11.7403.json,custom
42.169975,11.740759,ov_boca_do_mar_42.1700_11.7408,Boca Do Mar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/tarquinia/pages/boca_do_mar_42.1700_11.7408.json,custom
42.171378,11.740401,ov_er_corsaro_42.1714_11.7404,Er Corsaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/tarquinia/pages/er_corsaro_42.1714_11.7404.json,custom
42.182996,11.788467,ov_ristorante_brizzi_ss_aurelia_42.1830_11.7885,Ristorante Brizzi Ss Aurelia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/tarquinia/pages/ristorante_brizzi_ss_aurelia_42.1830_11.7885.json,custom
42.180791,11.826028,ov_agriturismo_casale_dell_asco_42.1808_11.8260,Agriturismo Casale dell'Asco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/tarquinia/pages/agriturismo_casale_dellasco_42.1808_11.8260.json,custom
42.191236,11.825089,ov_casale_poggio_nebbia_42.1912_11.8251,Casale Poggio Nebbia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/tarquinia/pages/casale_poggio_nebbia_42.1912_11.8251.json,custom
42.229538,11.700059,ov_il_galeone_42.2295_11.7001,Il Galeone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/tarquinia/pages/il_galeone_42.2295_11.7001.json,custom
42.227660,11.701307,ov_tibidabo_beach_42.2277_11.7013,Tibidabo Beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/tarquinia/pages/tibidabo_beach_42.2277_11.7013.json,custom
42.228469,11.704534,ov_l_angolo_dell_arrosticino_42.2285_11.7045,L'Angolo dell'Arrosticino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/tarquinia/pages/langolo_dellarrosticino_42.2285_11.7045.json,custom
42.227056,11.701732,ov_ristorante_il_tirreno_42.2271_11.7017,Ristorante Il Tirreno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/tarquinia/pages/ristorante_il_tirreno_42.2271_11.7017.json,custom
42.226507,11.702228,ov_snoopy_bar_42.2265_11.7022,Snoopy Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/tarquinia/pages/snoopy_bar_42.2265_11.7022.json,custom
42.226511,11.702131,ov_stabilimento_balneare_snoopy_42.2265_11.7021,Stabilimento Balneare Snoopy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/tarquinia/pages/stabilimento_balneare_snoopy_42.2265_11.7021.json,custom
42.225647,11.702738,ov_happy_days_beach_42.2256_11.7027,Happy Days Beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/tarquinia/pages/happy_days_beach_42.2256_11.7027.json,custom
42.224880,11.706890,ov_al_km0_trattoria_bistrot_42.2249_11.7069,Al KM0 Trattoria Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/tarquinia/pages/al_km0_trattoria_bistrot_42.2249_11.7069.json,custom
42.224913,11.706732,ov_il_gatto_e_la_volpe_42.2249_11.7067,Il Gatto e la Volpe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/tarquinia/pages/il_gatto_e_la_volpe_42.2249_11.7067.json,custom
42.224930,11.708020,ov_piadina_pi__42.2249_11.7080,Piadina Più,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/tarquinia/pages/piadina_pi_42.2249_11.7080.json,custom
42.230895,11.700754,ov_la_grancevola_42.2309_11.7008,La Grancevola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/tarquinia/pages/la_grancevola_42.2309_11.7008.json,custom
42.236490,11.695831,ov_il_tempio_di_artemide_42.2365_11.6958,il tempio di artemide,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/tarquinia/pages/il_tempio_di_artemide_42.2365_11.6958.json,custom
42.244012,11.754982,ov_la_fenice_42.2440_11.7550,La Fenice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/tarquinia/pages/la_fenice_42.2440_11.7550.json,custom
42.242851,11.738215,ov_food___more_42.2429_11.7382,Food & More,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/tarquinia/pages/food_more_42.2429_11.7382.json,custom
42.243714,11.733227,ov_agriturismo_il_mandoleto_42.2437_11.7332,Agriturismo Il Mandoleto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/tarquinia/pages/agriturismo_il_mandoleto_42.2437_11.7332.json,custom
42.245684,11.749773,ov_la_rotonda_42.2457_11.7498,La Rotonda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/tarquinia/pages/la_rotonda_42.2457_11.7498.json,custom
42.240317,11.744789,ov_il_ditirambo_42.2403_11.7448,IL Ditirambo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/tarquinia/pages/il_ditirambo_42.2403_11.7448.json,custom
42.239364,11.743371,ov_bar_pizzeria_memory_42.2394_11.7434,Bar Pizzeria Memory,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/tarquinia/pages/bar_pizzeria_memory_42.2394_11.7434.json,custom
42.239242,11.738390,ov_valletrusca_srl_42.2392_11.7384,Valletrusca SRL,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/tarquinia/pages/valletrusca_srl_42.2392_11.7384.json,custom
42.238898,11.743975,ov_trattoria_dissapori_42.2389_11.7440,Trattoria Dissapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/tarquinia/pages/trattoria_dissapori_42.2389_11.7440.json,custom
42.224409,11.730033,ov_ristorante_girardengo_42.2244_11.7300,Ristorante Girardengo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/tarquinia/pages/ristorante_girardengo_42.2244_11.7300.json,custom
42.224330,11.716970,ov_300gradi_42.2243_11.7170,300gradi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/tarquinia/pages/300gradi_42.2243_11.7170.json,custom
42.222279,11.709799,ov_ristorante_velcamare_42.2223_11.7098,Ristorante Velcamare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/tarquinia/pages/ristorante_velcamare_42.2223_11.7098.json,custom
