# lat,lng,id,name,building_type,type,url,page_type
# noceto -- restaurants.csv
44.846418,10.128623,ov_bar_pizzeria_24_hours_44.8464_10.1286,Bar Pizzeria 24 Hours,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/bar_pizzeria_24_hours_44.8464_10.1286.json,custom
44.822098,10.106351,ov_osteria_della_posta_44.8221_10.1064,Osteria della Posta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/osteria_della_posta_44.8221_10.1064.json,custom
44.802007,10.120220,ov_osteria_lago_tana_44.8020_10.1202,Osteria Lago Tana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/osteria_lago_tana_44.8020_10.1202.json,custom
44.767483,10.088435,ov_trattoria_squeri_44.7675_10.0884,Trattoria Squeri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/trattoria_squeri_44.7675_10.0884.json,custom
44.776029,10.056231,ov_agriturismo_il_cerreto_44.7760_10.0562,Agriturismo Il Cerreto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/agriturismo_il_cerreto_44.7760_10.0562.json,custom
44.795303,10.091140,ov_trattoria_lo_scoiattolo_44.7953_10.0911,Trattoria Lo Scoiattolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/trattoria_lo_scoiattolo_44.7953_10.0911.json,custom
44.783325,10.140283,ov_osteria_numero_1_44.7833_10.1403,Osteria Numero 1,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/osteria_numero_1_44.7833_10.1403.json,custom
44.775680,10.135648,ov_la_collina_di_nando_44.7757_10.1356,La Collina di Nando,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/la_collina_di_nando_44.7757_10.1356.json,custom
44.804708,10.176284,ov_la_buca_dei_diavoli_44.8047_10.1763,La Buca dei Diavoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/la_buca_dei_diavoli_44.8047_10.1763.json,custom
44.794236,10.152359,ov_trattoria_gatto_gambarone_44.7942_10.1524,Trattoria Gatto Gambarone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/trattoria_gatto_gambarone_44.7942_10.1524.json,custom
44.805070,10.175555,ov_marcello_s_cafe_enoteca_birreria_salumer_44.8051_10.1756,Marcello's Cafe Enoteca Birreria Salumeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/noceto/pages/marcellos_cafe_enoteca_birreria_salumeri_44.8051_10.1756.json,custom
