# lat,lng,id,name,building_type,type,url,page_type
# gaiarine -- restaurants
45.879564,12.482431,ov_pizzeria_the_lievita_s_45.8796_12.4824,Pizzeria The Lievita's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/gaiarine/pages/pizzeria_the_lievitas_45.8796_12.4824.json,custom
45.880640,12.481534,ov_osteria_al_municipio_45.8806_12.4815,Osteria al Municipio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/gaiarine/pages/osteria_al_municipio_45.8806_12.4815.json,custom
45.880261,12.480582,ov_pizzalandia_gaiarine_45.8803_12.4806,Pizzalandia Gaiarine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/gaiarine/pages/pizzalandia_gaiarine_45.8803_12.4806.json,custom
45.906860,12.504375,ov_osteria_alla_pesa_45.9069_12.5044,Osteria alla Pesa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/gaiarine/pages/osteria_alla_pesa_45.9069_12.5044.json,custom
45.906586,12.504139,ov_pizzalandia_francenigo_45.9066_12.5041,Pizzalandia Francenigo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/gaiarine/pages/pizzalandia_francenigo_45.9066_12.5041.json,custom
45.908159,12.507719,ov_alla_vecchia_segheria_45.9082_12.5077,Alla Vecchia Segheria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/gaiarine/pages/alla_vecchia_segheria_45.9082_12.5077.json,custom
45.884213,12.490318,ov_grill_garden_45.8842_12.4903,Grill Garden,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/gaiarine/pages/grill_garden_45.8842_12.4903.json,custom
45.883227,12.490131,ov_mangio_45.8832_12.4901,Mangio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/gaiarine/pages/mangio_45.8832_12.4901.json,custom
45.883302,12.488135,ov_veranda41_45.8833_12.4881,Veranda41,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/gaiarine/pages/veranda41_45.8833_12.4881.json,custom
45.877590,12.497115,ov_agriturismo_la_gramigna_45.8776_12.4971,Agriturismo La Gramigna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/gaiarine/pages/agriturismo_la_gramigna_45.8776_12.4971.json,custom
