# lat,lng,id,name,building_type,type,url,page_type
# baranzate -- restaurants
45.510238,9.128623,ov_milano_v_le_stephenson_45.5102_9.1286,Milano v.le Stephenson,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/milano_vle_stephenson_45.5102_9.1286.json,custom
45.533798,9.105781,ov_paninaro_lo_zio_45.5338_9.1058,paninaro lo zio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/paninaro_lo_zio_45.5338_9.1058.json,custom
45.531694,9.109118,ov_sushi_mii_45.5317_9.1091,Sushi Mii,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/sushi_mii_45.5317_9.1091.json,custom
45.527980,9.111203,ov_l_arte_della_farina_45.5280_9.1112,L'Arte della Farina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/larte_della_farina_45.5280_9.1112.json,custom
45.528082,9.109414,ov_tourl__la_pizzeria_e_il_grill_45.5281_9.1094,Tourlé La Pizzeria e il Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/tourl_la_pizzeria_e_il_grill_45.5281_9.1094.json,custom
45.525636,9.105329,ov_bar_expo_2015_45.5256_9.1053,Bar Expo 2015,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/bar_expo_2015_45.5256_9.1053.json,custom
45.525356,9.112958,ov_mcdonald_s_45.5254_9.1130,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/mcdonalds_45.5254_9.1130.json,custom
45.525364,9.117403,ov_pizzeria_oscar_baranzate_45.5254_9.1174,Pizzeria Oscar baranzate,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/pizzeria_oscar_baranzate_45.5254_9.1174.json,custom
45.528193,9.116764,ov_trancio_siciliano___baranzate_45.5282_9.1168,Trancio Siciliano | Baranzate,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/trancio_siciliano_baranzate_45.5282_9.1168.json,custom
45.526963,9.117039,ov_mille_voglie_45.5270_9.1170,Mille Voglie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/mille_voglie_45.5270_9.1170.json,custom
45.532552,9.120033,ov_antica_cascina_45.5326_9.1200,Antica Cascina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/antica_cascina_45.5326_9.1200.json,custom
45.522074,9.119521,ov_santa_marina_45.5221_9.1195,Santa Marina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/santa_marina_45.5221_9.1195.json,custom
45.523320,9.115899,ov_ristorante_europa_45.5233_9.1159,Ristorante Europa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/ristorante_europa_45.5233_9.1159.json,custom
45.521889,9.117486,ov_istanbul_baranzate_45.5219_9.1175,Istanbul Baranzate,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/istanbul_baranzate_45.5219_9.1175.json,custom
45.522163,9.116557,ov_roadhouse_restaurant_45.5222_9.1166,Roadhouse Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/roadhouse_restaurant_45.5222_9.1166.json,custom
45.521251,9.116486,ov_ideale_caffe_di_mario_martinez_45.5213_9.1165,Ideale Caffe di Mario Martinez,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/ideale_caffe_di_mario_martinez_45.5213_9.1165.json,custom
45.528100,9.109368,osm_tourl__45.5281_9.1094,Tourlé,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/tourl_45.5281_9.1094.json,custom
45.525625,9.105452,osm_expo_2015_45.5256_9.1055,Expo 2015,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/expo_2015_45.5256_9.1055.json,custom
45.525324,9.117414,osm_pizzeria_da_napo_45.5253_9.1174,Pizzeria da Napo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/pizzeria_da_napo_45.5253_9.1174.json,custom
45.523129,9.101453,osm_ingalera_45.5231_9.1015,InGalera,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/baranzate/pages/ingalera_45.5231_9.1015.json,custom
