# lat,lng,id,name,building_type,type,url,page_type
# arese -- restaurants
45.563620,9.049397,ov_bun_burgers_45.5636_9.0494,Bun Burgers,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/bun_burgers_45.5636_9.0494.json,custom
45.563776,9.049712,ov_wiener_haus_45.5638_9.0497,Wiener Haus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/wiener_haus_45.5638_9.0497.json,custom
45.563885,9.050808,ov_billy_tacos_45.5639_9.0508,Billy Tacos,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/billy_tacos_45.5639_9.0508.json,custom
45.564005,9.051254,ov_calavera_restaurant_45.5640_9.0513,Calavera Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/calavera_restaurant_45.5640_9.0513.json,custom
45.564027,9.049664,ov_fra_diavolo_45.5640_9.0497,Fra Diavolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/fra_diavolo_45.5640_9.0497.json,custom
45.564279,9.049768,ov_alice_arese_45.5643_9.0498,Alice Arese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/alice_arese_45.5643_9.0498.json,custom
45.564108,9.054708,ov_mcdonald_s_45.5641_9.0547,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/mcdonalds_45.5641_9.0547.json,custom
45.563994,9.054773,ov_mcdonald_s_45.5640_9.0548,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/mcdonalds_45.5640_9.0548.json,custom
45.564107,9.054204,ov_roll_eat_45.5641_9.0542,Roll Eat,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/roll_eat_45.5641_9.0542.json,custom
45.564022,9.054299,ov_la_piadineria_45.5640_9.0543,La Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/la_piadineria_45.5640_9.0543.json,custom
45.564147,9.054165,ov_yun_quick_45.5641_9.0542,Yun Quick,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/yun_quick_45.5641_9.0542.json,custom
45.563902,9.054296,ov_ripiene_45.5639_9.0543,Ripiene,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/ripiene_45.5639_9.0543.json,custom
45.563675,9.054797,ov_viva_45.5637_9.0548,Viva,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/viva_45.5637_9.0548.json,custom
45.563718,9.054767,ov_roadhouse_grill_45.5637_9.0548,Roadhouse Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/roadhouse_grill_45.5637_9.0548.json,custom
45.563573,9.054687,ov_dispensa_emilia_45.5636_9.0547,Dispensa Emilia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/dispensa_emilia_45.5636_9.0547.json,custom
45.563478,9.054669,ov_ventisette___vino_e_cucina_45.5635_9.0547,Ventisette - vino e cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/ventisette_-_vino_e_cucina_45.5635_9.0547.json,custom
45.563241,9.052957,ov_poke_house___arese_45.5632_9.0530,Poke House - Arese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/poke_house_-_arese_45.5632_9.0530.json,custom
45.563457,9.053452,ov_baccanale_45.5635_9.0535,Baccanale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/baccanale_45.5635_9.0535.json,custom
45.563507,9.051870,ov_hummus_around_45.5635_9.0519,Hummus Around,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/hummus_around_45.5635_9.0519.json,custom
45.563302,9.051717,ov_rist__45.5633_9.0517,Ristò,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/rist_45.5633_9.0517.json,custom
45.562810,9.051117,ov_johnny_rockets_arese_45.5628_9.0511,Johnny Rockets Arese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/johnny_rockets_arese_45.5628_9.0511.json,custom
45.562741,9.066682,ov_peng_lai_45.5627_9.0667,Peng Lai,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/peng_lai_45.5627_9.0667.json,custom
45.563742,9.056634,ov_kfc_45.5637_9.0566,KFC,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/kfc_45.5637_9.0566.json,custom
45.541229,9.079995,ov_fuori_di_zucca_laboratorio_gastronomico__45.5412_9.0800,Fuori Di Zucca laboratorio gastronomico vegetariano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/fuori_di_zucca_laboratorio_gastronomico__45.5412_9.0800.json,custom
45.545337,9.078218,ov_con_le_mani_45.5453_9.0782,Con Le Mani,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/con_le_mani_45.5453_9.0782.json,custom
45.545418,9.078025,ov_il_pescetto_45.5454_9.0780,Il Pescetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/il_pescetto_45.5454_9.0780.json,custom
45.544944,9.078173,ov_zoi_restaurant_45.5449_9.0782,Zoi Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/zoi_restaurant_45.5449_9.0782.json,custom
45.544834,9.078237,ov_pizza_chic_45.5448_9.0782,Pizza Chic,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/pizza_chic_45.5448_9.0782.json,custom
45.543366,9.080954,ov_bar_il_boccone_45.5434_9.0810,Bar Il Boccone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/bar_il_boccone_45.5434_9.0810.json,custom
45.546646,9.083614,ov_pizz_orto_45.5466_9.0836,Pizz'Orto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/pizzorto_45.5466_9.0836.json,custom
45.546332,9.086203,ov_ristorante_birbacco_barbecue_45.5463_9.0862,Ristorante Birbacco Barbecue,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/ristorante_birbacco_barbecue_45.5463_9.0862.json,custom
45.546410,9.086009,ov_pizzeria_belvedere_45.5464_9.0860,Pizzeria Belvedere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/pizzeria_belvedere_45.5464_9.0860.json,custom
45.547489,9.078501,ov_speedy_pizza_arese_45.5475_9.0785,Speedy Pizza Arese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/speedy_pizza_arese_45.5475_9.0785.json,custom
45.548960,9.078480,ov_vineria_delle_corti_45.5490_9.0785,Vineria delle Corti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/vineria_delle_corti_45.5490_9.0785.json,custom
45.548739,9.078270,ov_il_piccolo_principe_45.5487_9.0783,Il Piccolo Principe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/il_piccolo_principe_45.5487_9.0783.json,custom
45.548147,9.077474,ov_croccami_45.5481_9.0775,CroccaMi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/croccami_45.5481_9.0775.json,custom
45.549133,9.075137,ov_yogorino_arese_45.5491_9.0751,Yogorino Arese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/yogorino_arese_45.5491_9.0751.json,custom
45.550729,9.078086,ov_ristorante_cortevecchia_arese_45.5507_9.0781,Ristorante Cortevecchia Arese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/ristorante_cortevecchia_arese_45.5507_9.0781.json,custom
45.552855,9.080120,ov_di_vino_sa_45.5529_9.0801,di Vino SA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/di_vino_sa_45.5529_9.0801.json,custom
45.550985,9.081280,ov_bar_bq_45.5510_9.0813,Bar BQ,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/bar_bq_45.5510_9.0813.json,custom
45.550850,9.081176,ov_dhop_bistrot_45.5509_9.0812,DHOP Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/dhop_bistrot_45.5509_9.0812.json,custom
45.550283,9.078476,ov_new_caf__caracol_45.5503_9.0785,New Cafè Caracol,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/new_caf_caracol_45.5503_9.0785.json,custom
45.549339,9.078517,ov_istanbul_royal_pizzeria_and_kebab_45.5493_9.0785,Istanbul Royal Pizzeria and Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/istanbul_royal_pizzeria_and_kebab_45.5493_9.0785.json,custom
45.556505,9.076908,ov_ristorante_45.5565_9.0769,Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/ristorante_45.5565_9.0769.json,custom
45.556268,9.075832,ov_together_45.5563_9.0758,Together,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/together_45.5563_9.0758.json,custom
45.555705,9.074494,ov_fior_di_pizza___ristorante_45.5557_9.0745,Fior Di Pizza & Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/fior_di_pizza_ristorante_45.5557_9.0745.json,custom
45.556359,9.075389,ov_long_sushi_and_cocktails_45.5564_9.0754,Long Sushi and Cocktails,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/long_sushi_and_cocktails_45.5564_9.0754.json,custom
45.559744,9.070445,ov_asd_laghetto_alca_arese_45.5597_9.0704,ASD Laghetto Alca Arese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/asd_laghetto_alca_arese_45.5597_9.0704.json,custom
45.559150,9.071470,ov_casa_gandula_45.5592_9.0715,Casa Gandula,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/casa_gandula_45.5592_9.0715.json,custom
45.561558,9.053098,ov_rom_antica_arese_45.5616_9.0531,Rom'antica Arese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/romantica_arese_45.5616_9.0531.json,custom
45.561583,9.050819,ov_arese_food_court_45.5616_9.0508,ARESE FOOD COURT,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/arese_food_court_45.5616_9.0508.json,custom
45.555813,9.052180,ov_mcdonald_s_45.5558_9.0522,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/mcdonalds_45.5558_9.0522.json,custom
45.535860,9.085020,ov_haribo_italia_spa_45.5359_9.0850,Haribo Italia SPA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/haribo_italia_spa_45.5359_9.0850.json,custom
45.703675,8.920773,ov_ristorante_cochera_45.7037_8.9208,Ristorante Cochera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/ristorante_cochera_45.7037_8.9208.json,custom
45.550728,9.078105,osm_cortevecchia_45.5507_9.0781,Cortevecchia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/cortevecchia_45.5507_9.0781.json,custom
45.555706,9.074518,osm_fior_di_pizza_45.5557_9.0745,Fior di Pizza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/fior_di_pizza_45.5557_9.0745.json,custom
45.545365,9.077928,osm_burger2trip_45.5454_9.0779,Burger2Trip,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/burger2trip_45.5454_9.0779.json,custom
45.547453,9.078516,osm_speedy_pizza_45.5475_9.0785,Speedy Pizza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/speedy_pizza_45.5475_9.0785.json,custom
45.544918,9.077840,osm_your_zoi_45.5449_9.0778,Your Zoi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/your_zoi_45.5449_9.0778.json,custom
45.550807,9.081103,osm_dhop_45.5508_9.0811,DHOP,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/dhop_45.5508_9.0811.json,custom
45.546415,9.086518,osm_birbacco_barbecue_45.5464_9.0865,Birbacco Barbecue,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/birbacco_barbecue_45.5464_9.0865.json,custom
45.546564,9.086013,osm_pizzeria_belvedere___arese_45.5466_9.0860,Pizzeria Belvedere - Arese,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/pizzeria_belvedere_-_arese_45.5466_9.0860.json,custom
45.546954,9.085844,osm_l_angolo_gourmet_45.5470_9.0858,L'Angolo Gourmet,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/langolo_gourmet_45.5470_9.0858.json,custom
45.556349,9.075863,osm_gao_arese_45.5563_9.0759,Gao Arese,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/gao_arese_45.5563_9.0759.json,custom
45.548947,9.078535,osm_vineria_delle_corti_45.5489_9.0785,Vineria delle Corti,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/vineria_delle_corti_45.5489_9.0785.json,custom
45.549292,9.078584,osm_istanbul_royal_45.5493_9.0786,Istanbul Royal,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/istanbul_royal_45.5493_9.0786.json,custom
45.562699,9.066689,osm_ristorante_peng_lai_45.5627_9.0667,Ristorante Peng Lai,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/ristorante_peng_lai_45.5627_9.0667.json,custom
45.543321,9.080998,osm_il_boccone_45.5433_9.0810,Il Boccone,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/il_boccone_45.5433_9.0810.json,custom
45.553395,9.074349,osm_arese_pizza_45.5534_9.0743,Arese Pizza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/arese_pizza_45.5534_9.0743.json,custom
45.544812,9.078201,osm_zoi_45.5448_9.0782,ZOI,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arese/pages/zoi_45.5448_9.0782.json,custom
