# lat,lng,id,name,building_type,type,url,page_type
# trescore_balneario -- restaurants.csv
45.684717,9.821350,ov_myshibuya_sushi_point_45.6847_9.8214,MyShibuya Sushi Point,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trescore_balneario/pages/myshibuya_sushi_point_45.6847_9.8214.json,custom
45.684377,9.823264,ov_brace_viva_trescore_balneario_45.6844_9.8233,Brace Viva Trescore Balneario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trescore_balneario/pages/brace_viva_trescore_balneario_45.6844_9.8233.json,custom
45.687153,9.843738,ov_azienda_agricola_molino_dei_frati_45.6872_9.8437,Azienda Agricola Molino dei Frati,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trescore_balneario/pages/azienda_agricola_molino_dei_frati_45.6872_9.8437.json,custom
45.686091,9.837787,ov_ristorante_mangiafuoco_45.6861_9.8378,ristorante Mangiafuoco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trescore_balneario/pages/ristorante_mangiafuoco_45.6861_9.8378.json,custom
45.693975,9.832718,ov_sun_pub___ristorante_pizzeria_disco_pub__45.6940_9.8327,Sun Pub - Ristorante Pizzeria Disco Pub Cigar Club,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trescore_balneario/pages/sun_pub_-_ristorante_pizzeria_disco_pub__45.6940_9.8327.json,custom
45.693863,9.832784,ov_loro___ristorante___bistr__45.6939_9.8328,LoRo - Ristorante & Bistrò,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trescore_balneario/pages/loro_-_ristorante_bistr_45.6939_9.8328.json,custom
45.693769,9.831923,ov_istanbul_turkish_kebap_trescore_45.6938_9.8319,Istanbul Turkish Kebap Trescore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trescore_balneario/pages/istanbul_turkish_kebap_trescore_45.6938_9.8319.json,custom
45.694235,9.840430,ov_antopizza_45.6942_9.8404,AntoPizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trescore_balneario/pages/antopizza_45.6942_9.8404.json,custom
45.694700,9.840534,ov_urban_scrocchia_45.6947_9.8405,Urban Scrocchia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trescore_balneario/pages/urban_scrocchia_45.6947_9.8405.json,custom
45.695229,9.840506,ov_pizzeria_datteri_45.6952_9.8405,Pizzeria Datteri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trescore_balneario/pages/pizzeria_datteri_45.6952_9.8405.json,custom
45.696250,9.840110,ov_hoshi___ristorante_45.6962_9.8401,Hoshi - ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trescore_balneario/pages/hoshi_-_ristorante_45.6962_9.8401.json,custom
45.696288,9.845903,ov_extro_pizza_trescore_45.6963_9.8459,EXTRO Pizza Trescore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trescore_balneario/pages/extro_pizza_trescore_45.6963_9.8459.json,custom
45.695350,9.844301,ov_arte_e_gusto_45.6954_9.8443,Arte e Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trescore_balneario/pages/arte_e_gusto_45.6954_9.8443.json,custom
45.693422,9.842414,ov_germe_di_grano_45.6934_9.8424,Germe di Grano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trescore_balneario/pages/germe_di_grano_45.6934_9.8424.json,custom
45.690258,9.846223,ov_antico_pozzo_ristorante_45.6903_9.8462,Antico Pozzo Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trescore_balneario/pages/antico_pozzo_ristorante_45.6903_9.8462.json,custom
45.688900,9.831124,ov_piada_on_the_road_45.6889_9.8311,Piada on the road,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trescore_balneario/pages/piada_on_the_road_45.6889_9.8311.json,custom
45.690039,9.823068,ov_hoshi_sushi_chinese_japan_45.6900_9.8231,Hoshi Sushi Chinese Japan,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trescore_balneario/pages/hoshi_sushi_chinese_japan_45.6900_9.8231.json,custom
45.688070,9.820207,ov_mcdonald_s_45.6881_9.8202,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trescore_balneario/pages/mcdonalds_45.6881_9.8202.json,custom
45.689950,9.843146,ov_bottega_della_pizza_di_ciro_45.6900_9.8431,Bottega della Pizza di Ciro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trescore_balneario/pages/bottega_della_pizza_di_ciro_45.6900_9.8431.json,custom
45.703549,9.835655,ov_trattoria_la_conca_verde_45.7035_9.8357,Trattoria La Conca Verde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trescore_balneario/pages/trattoria_la_conca_verde_45.7035_9.8357.json,custom
45.699995,9.841072,ov_villa_canton_45.7000_9.8411,Villa Canton,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trescore_balneario/pages/villa_canton_45.7000_9.8411.json,custom
45.703816,9.858501,ov_trattoria_tiro_a_segno_45.7038_9.8585,Trattoria Tiro A Segno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trescore_balneario/pages/trattoria_tiro_a_segno_45.7038_9.8585.json,custom
45.684358,9.823203,osm_brace_viva_45.6844_9.8232,Brace Viva,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trescore_balneario/pages/brace_viva_45.6844_9.8232.json,custom
45.693979,9.832997,osm_loro_co_45.6940_9.8330,LoRo&Co,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trescore_balneario/pages/loroco_45.6940_9.8330.json,custom
45.710274,9.869682,osm_villa_redona_45.7103_9.8697,Villa Redona,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trescore_balneario/pages/villa_redona_45.7103_9.8697.json,custom
