# lat,lng,id,name,building_type,type,url,page_type
# chianciano_terme -- restaurants.csv
43.053060,11.834684,ov_agriturismo_ristorante_la_pietriccia_43.0531_11.8347,Agriturismo-ristorante La Pietriccia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/agriturismo-ristorante_la_pietriccia_43.0531_11.8347.json,custom
43.051700,11.847142,ov_al_casale_43.0517_11.8471,Al Casale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/al_casale_43.0517_11.8471.json,custom
43.044409,11.812968,ov_square_bistrot___pizza_43.0444_11.8130,Square Bistrot & Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/square_bistrot_pizza_43.0444_11.8130.json,custom
43.043916,11.814922,ov_bar_marabissi_annamaria_morviducci_43.0439_11.8149,Bar Marabissi Annamaria Morviducci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/bar_marabissi_annamaria_morviducci_43.0439_11.8149.json,custom
43.044365,11.814243,ov_risto_pub_le_fonti_43.0444_11.8142,RISTO-PUB Le Fonti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/risto-pub_le_fonti_43.0444_11.8142.json,custom
43.036900,11.823620,ov_chianina_station___milano_43.0369_11.8236,Chianina Station - Milano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/chianina_station_-_milano_43.0369_11.8236.json,custom
43.036916,11.822917,ov_ristorante_pizzeria_il_colosseo_43.0369_11.8229,Ristorante Pizzeria Il Colosseo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/ristorante_pizzeria_il_colosseo_43.0369_11.8229.json,custom
43.038903,11.819472,ov_ristorante_hasu_43.0389_11.8195,Ristorante Hasu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/ristorante_hasu_43.0389_11.8195.json,custom
43.048762,11.819038,ov_rosso_vivo_pizzeria_verace_43.0488_11.8190,Rosso Vivo Pizzeria Verace,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/rosso_vivo_pizzeria_verace_43.0488_11.8190.json,custom
43.050310,11.821930,ov_bistrot_della_valle_43.0503_11.8219,Bistrot della Valle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/chianciano_terme/pages/bistrot_della_valle_43.0503_11.8219.json,custom
