# lat,lng,id,name,building_type,type,url,page_type
# terricciola -- restaurants
43.528643,10.670040,ov_il_cigliere_43.5286_10.6700,Il Cigliere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/terricciola/pages/il_cigliere_43.5286_10.6700.json,custom
43.537937,10.646295,ov_locanda_la_fornace_43.5379_10.6463,Locanda La Fornace,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/terricciola/pages/locanda_la_fornace_43.5379_10.6463.json,custom
43.538008,10.646833,ov_la_fornace_bisteccheria_agricola_43.5380_10.6468,La Fornace Bisteccheria Agricola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/terricciola/pages/la_fornace_bisteccheria_agricola_43.5380_10.6468.json,custom
43.534923,10.665656,ov_agriturismo_podere_costantino_43.5349_10.6657,Agriturismo Podere Costantino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/terricciola/pages/agriturismo_podere_costantino_43.5349_10.6657.json,custom
43.536164,10.701192,ov_la_locanda_delle_streghe_43.5362_10.7012,La Locanda delle Streghe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/terricciola/pages/la_locanda_delle_streghe_43.5362_10.7012.json,custom
43.541275,10.700175,ov_pizzeria_la_rosa_43.5413_10.7002,Pizzeria La Rosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/terricciola/pages/pizzeria_la_rosa_43.5413_10.7002.json,custom
43.541370,10.700148,ov_la_nuova_fattoria_la_rosa_43.5414_10.7001,La Nuova Fattoria La Rosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/terricciola/pages/la_nuova_fattoria_la_rosa_43.5414_10.7001.json,custom
43.525118,10.676112,ov_i_locandieri_43.5251_10.6761,I Locandieri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/terricciola/pages/i_locandieri_43.5251_10.6761.json,custom
43.524831,10.676463,ov_osteria_de_ciucchi_43.5248_10.6765,Osteria De Ciucchi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/terricciola/pages/osteria_de_ciucchi_43.5248_10.6765.json,custom
43.524314,10.677734,ov_il_tino_da_roberta_43.5243_10.6777,Il Tino da Roberta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/terricciola/pages/il_tino_da_roberta_43.5243_10.6777.json,custom
43.556164,10.640313,ov_la_botteghina_dei_sapori_43.5562_10.6403,La Botteghina dei Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/terricciola/pages/la_botteghina_dei_sapori_43.5562_10.6403.json,custom
43.564183,10.688740,ov_sto_da_bio_43.5642_10.6887,Sto da Bio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/terricciola/pages/sto_da_bio_43.5642_10.6887.json,custom
43.562817,10.691452,ov_pizzeria_da_riccardo_43.5628_10.6915,Pizzeria Da Riccardo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/terricciola/pages/pizzeria_da_riccardo_43.5628_10.6915.json,custom
43.544530,10.686347,ov_la_locanda_degli_artisti_43.5445_10.6863,La Locanda Degli Artisti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/terricciola/pages/la_locanda_degli_artisti_43.5445_10.6863.json,custom
43.547030,10.694680,ov_oro_restaurant_43.5470_10.6947,Oro Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/terricciola/pages/oro_restaurant_43.5470_10.6947.json,custom
43.571730,10.682630,ov_la_sorgente_43.5717_10.6826,La Sorgente,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/terricciola/pages/la_sorgente_43.5717_10.6826.json,custom
43.568256,10.688776,ov_ristorante_pizzeria_da_carlo_43.5683_10.6888,Ristorante Pizzeria da Carlo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/terricciola/pages/ristorante_pizzeria_da_carlo_43.5683_10.6888.json,custom
