# lat,lng,id,name,building_type,type,url,page_type
# marano_sul_panaro -- restaurants.csv
44.436166,10.882014,ov_bar_ristorante_lo_spino_44.4362_10.8820,Bar Ristorante Lo Spino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/bar_ristorante_lo_spino_44.4362_10.8820.json,custom
44.403475,10.894772,ov_agriturismo_podere_prasiano___italian_ar_44.4035_10.8948,Agriturismo Podere Prasiano - ITALIAN ART OF LIVING,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/agriturismo_podere_prasiano_-_italian_ar_44.4035_10.8948.json,custom
44.409242,10.899022,ov_agriturismo_il_pastore_44.4092_10.8990,Agriturismo Il Pastore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/agriturismo_il_pastore_44.4092_10.8990.json,custom
44.419636,10.925321,ov_bar_trattoria_al_fiume_44.4196_10.9253,Bar Trattoria al Fiume,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/bar_trattoria_al_fiume_44.4196_10.9253.json,custom
44.422054,10.924314,ov_sayonara_44.4221_10.9243,Sayonara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/sayonara_44.4221_10.9243.json,custom
44.404438,10.910305,ov_locanda_marcella_44.4044_10.9103,Locanda Marcella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/locanda_marcella_44.4044_10.9103.json,custom
44.427452,10.924208,ov_trattoria_il_diavoletto_44.4275_10.9242,Trattoria Il Diavoletto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/trattoria_il_diavoletto_44.4275_10.9242.json,custom
44.434087,10.930343,ov_trattoria_al_ponte_44.4341_10.9303,Trattoria Al Ponte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/trattoria_al_ponte_44.4341_10.9303.json,custom
44.457027,10.922146,ov_alla_locanda_di_denzano_44.4570_10.9221,Alla Locanda di Denzano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/alla_locanda_di_denzano_44.4570_10.9221.json,custom
44.468419,10.939714,ov_agriturismo_acetaia_sereni_44.4684_10.9397,Agriturismo Acetaia Sereni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/agriturismo_acetaia_sereni_44.4684_10.9397.json,custom
44.467920,10.952350,ov_osteria_pizzeria_villabianca_44.4679_10.9523,Osteria Pizzeria Villabianca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/osteria_pizzeria_villabianca_44.4679_10.9523.json,custom
44.453600,10.954455,ov_trattoria_cacciatore_44.4536_10.9545,Trattoria Cacciatore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/trattoria_cacciatore_44.4536_10.9545.json,custom
44.459882,10.972260,ov_ristorante_rosso_scarlatto_44.4599_10.9723,Ristorante Rosso Scarlatto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/ristorante_rosso_scarlatto_44.4599_10.9723.json,custom
44.459800,10.972204,ov_trattoria_al_borgo_nuovo_44.4598_10.9722,Trattoria Al Borgo Nuovo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/trattoria_al_borgo_nuovo_44.4598_10.9722.json,custom
44.456394,10.969489,ov_punto_e_virgola_44.4564_10.9695,Punto e Virgola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/punto_e_virgola_44.4564_10.9695.json,custom
44.455806,10.969000,ov_pizzeria_melody_44.4558_10.9690,Pizzeria Melody,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/pizzeria_melody_44.4558_10.9690.json,custom
44.454805,10.970442,ov_la_pasta_di_monia_44.4548_10.9704,La Pasta di Monia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/la_pasta_di_monia_44.4548_10.9704.json,custom
44.454837,10.966760,ov_bacche_di_lauro_44.4548_10.9668,Bacche di Lauro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/bacche_di_lauro_44.4548_10.9668.json,custom
44.455873,10.966696,ov_osteria_novecento_44.4559_10.9667,Osteria Novecento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/osteria_novecento_44.4559_10.9667.json,custom
44.462730,10.971132,ov_pizzeria_da_asporto_ci_voleva_proprio_44.4627_10.9711,Pizzeria da Asporto Ci Voleva Proprio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/pizzeria_da_asporto_ci_voleva_proprio_44.4627_10.9711.json,custom
44.463021,10.971498,ov_viagramsci_bar_ristorantino_44.4630_10.9715,ViaGramsci Bar Ristorantino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/viagramsci_bar_ristorantino_44.4630_10.9715.json,custom
44.464138,10.974169,ov_sfogliamo_snc_44.4641_10.9742,SfogliAmo Snc,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/sfogliamo_snc_44.4641_10.9742.json,custom
44.436269,10.881975,osm_lo_spino_44.4363_10.8820,Lo Spino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/marano_sul_panaro/pages/lo_spino_44.4363_10.8820.json,custom
