# lat,lng,id,name,building_type,type,url,page_type
# gavirate -- restaurants.csv
45.839125,8.728376,ov_sapore_di_mare_45.8391_8.7284,Sapore di Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/sapore_di_mare_45.8391_8.7284.json,custom
45.840511,8.723881,ov_villa_cocca_45.8405_8.7239,Villa Cocca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/villa_cocca_45.8405_8.7239.json,custom
45.820506,8.740791,ov_ristorante_pizzeria_al_lago_45.8205_8.7408,Ristorante Pizzeria Al Lago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/ristorante_pizzeria_al_lago_45.8205_8.7408.json,custom
45.821812,8.743925,ov_corte_dei_brut_45.8218_8.7439,Corte dei Brut,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/corte_dei_brut_45.8218_8.7439.json,custom
45.852984,8.709416,ov_la_stadera_45.8530_8.7094,La Stadera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/la_stadera_45.8530_8.7094.json,custom
45.848740,8.710073,ov_pizzeria_la_chicca_45.8487_8.7101,Pizzeria La Chicca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/pizzeria_la_chicca_45.8487_8.7101.json,custom
45.846712,8.711624,ov_pan08_45.8467_8.7116,PAN08,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/pan08_45.8467_8.7116.json,custom
45.845961,8.711901,ov_non_solo_pizza_45.8460_8.7119,Non Solo Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/non_solo_pizza_45.8460_8.7119.json,custom
45.840753,8.720651,ov_tipamasaro_ristorante_bar_45.8408_8.7207,Tipamasaro Ristorante Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/tipamasaro_ristorante_bar_45.8408_8.7207.json,custom
45.843065,8.718673,ov_il_mago_45.8431_8.7187,Il Mago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gavirate/pages/il_mago_45.8431_8.7187.json,custom
