# lat,lng,id,name,building_type,type,url,page_type
# rivarolo_canavese -- restaurants
45.331055,7.715173,ov_hisashi_giapponese_cinese_45.3311_7.7152,Hisashi Giapponese Cinese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/rivarolo_canavese/pages/hisashi_giapponese_cinese_45.3311_7.7152.json,custom
45.310041,7.723989,ov_agriturismo_san_giovanni___cascina_prola_45.3100_7.7240,Agriturismo San Giovanni - Cascina Prola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/rivarolo_canavese/pages/agriturismo_san_giovanni_-_cascina_prola_45.3100_7.7240.json,custom
45.312152,7.739988,ov_la_terrazza_45.3122_7.7400,La Terrazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/rivarolo_canavese/pages/la_terrazza_45.3122_7.7400.json,custom
45.314209,7.737049,ov_paradise_45.3142_7.7370,Paradise,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/rivarolo_canavese/pages/paradise_45.3142_7.7370.json,custom
45.315700,7.721185,ov_condo_club_ristorante_45.3157_7.7212,Condo Club Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/rivarolo_canavese/pages/condo_club_ristorante_45.3157_7.7212.json,custom
45.315147,7.735688,ov_self_bistrot_mario_rivarolo_45.3151_7.7357,Self Bistrot Mario Rivarolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/rivarolo_canavese/pages/self_bistrot_mario_rivarolo_45.3151_7.7357.json,custom
45.316711,7.720170,ov_food_passion_45.3167_7.7202,Food Passion,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/rivarolo_canavese/pages/food_passion_45.3167_7.7202.json,custom
45.317450,7.733647,ov_fumi_ristorante_rivarolo_45.3175_7.7336,FUMI ristorante Rivarolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/rivarolo_canavese/pages/fumi_ristorante_rivarolo_45.3175_7.7336.json,custom
45.317966,7.722512,ov_pizzeria_ristorante_art_45.3180_7.7225,Pizzeria Ristorante Art,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/rivarolo_canavese/pages/pizzeria_ristorante_art_45.3180_7.7225.json,custom
45.318649,7.726452,ov_la_coccinella_pizzeriatrattoria_45.3186_7.7265,La Coccinella PizzeriaTrattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/rivarolo_canavese/pages/la_coccinella_pizzeriatrattoria_45.3186_7.7265.json,custom
45.319816,7.729875,ov_ristorante_pizzeria_sapore_di_mare_45.3198_7.7299,Ristorante Pizzeria Sapore di Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/rivarolo_canavese/pages/ristorante_pizzeria_sapore_di_mare_45.3198_7.7299.json,custom
45.320060,7.729670,ov_alpaccherorivarolo_45.3201_7.7297,Alpaccherorivarolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/rivarolo_canavese/pages/alpaccherorivarolo_45.3201_7.7297.json,custom
45.323982,7.727742,ov_mcdonald_s_45.3240_7.7277,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/rivarolo_canavese/pages/mcdonalds_45.3240_7.7277.json,custom
45.325732,7.727576,ov_pizza_cono___ombrellina_45.3257_7.7276,Pizza Cono & Ombrellina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/rivarolo_canavese/pages/pizza_cono_ombrellina_45.3257_7.7276.json,custom
45.326279,7.723139,ov_pizzeria_happy_days_45.3263_7.7231,Pizzeria Happy Days,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/rivarolo_canavese/pages/pizzeria_happy_days_45.3263_7.7231.json,custom
45.328960,7.725593,ov_nuova_partenope_by_medina_45.3290_7.7256,Nuova Partenope by Medina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/rivarolo_canavese/pages/nuova_partenope_by_medina_45.3290_7.7256.json,custom
45.329525,7.724922,ov_casa_bro_45.3295_7.7249,Casa Bro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/rivarolo_canavese/pages/casa_bro_45.3295_7.7249.json,custom
