# lat,lng,id,name,building_type,type,url,page_type
# trebisacce -- restaurants
39.866987,16.534605,ov_la_barca___ristorante_pizzeria_39.8670_16.5346,La Barca - Ristorante/Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/trebisacce/pages/la_barca_-_ristorantepizzeria_39.8670_16.5346.json,custom
39.867853,16.535182,ov_ristorante_pizzeria_da_raffaele_39.8679_16.5352,Ristorante Pizzeria Da Raffaele,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/trebisacce/pages/ristorante_pizzeria_da_raffaele_39.8679_16.5352.json,custom
39.868977,16.533389,ov_pizzanimus_39.8690_16.5334,Pizzanimus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/trebisacce/pages/pizzanimus_39.8690_16.5334.json,custom
39.869075,16.528742,ov_alice_restaurant_39.8691_16.5287,Alice Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/trebisacce/pages/alice_restaurant_39.8691_16.5287.json,custom
39.868955,16.528838,ov_il_capolinea_39.8690_16.5288,Il Capolinea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/trebisacce/pages/il_capolinea_39.8690_16.5288.json,custom
39.866640,16.531639,ov_la_favella_da_melina_39.8666_16.5316,La favella da melina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/trebisacce/pages/la_favella_da_melina_39.8666_16.5316.json,custom
39.867071,16.531533,ov_da_pettarino_39.8671_16.5315,Da Pettarino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/trebisacce/pages/da_pettarino_39.8671_16.5315.json,custom
39.865677,16.531136,ov_l_altro_duemilauno_39.8657_16.5311,L'Altro Duemilauno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/trebisacce/pages/laltro_duemilauno_39.8657_16.5311.json,custom
39.864071,16.532463,ov_lido_capri_39.8641_16.5325,Lido Capri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/trebisacce/pages/lido_capri_39.8641_16.5325.json,custom
39.863888,16.531713,ov_lido_carlino_39.8639_16.5317,Lido Carlino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/trebisacce/pages/lido_carlino_39.8639_16.5317.json,custom
