# lat,lng,id,name,building_type,type,url,page_type
# florence -- restaurants
43.765537,11.248416,ov_l_arrosticini_43.7655_11.2484,L'Arrosticini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/larrosticini_43.7655_11.2484.json,custom
43.766856,11.253877,ov_golden_view_43.7669_11.2539,golden view,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/golden_view_43.7669_11.2539.json,custom
43.766734,11.244801,ov_trattoria_i_raddi_43.7667_11.2448,Trattoria I'Raddi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/trattoria_iraddi_43.7667_11.2448.json,custom
43.767203,11.251901,ov_la_galleria_43.7672_11.2519,La Galleria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/la_galleria_43.7672_11.2519.json,custom
43.768153,11.250318,ov_beccafico_43.7682_11.2503,Beccafico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/beccafico_43.7682_11.2503.json,custom
43.769826,11.250330,ov_foody_farm_43.7698_11.2503,Foody Farm,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/foody_farm_43.7698_11.2503.json,custom
43.770381,11.251033,ov_il_magnifico_restaurant_43.7704_11.2510,Il Magnifico Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/il_magnifico_restaurant_43.7704_11.2510.json,custom
43.770142,11.241437,ov_b_o_r_g_o_43.7701_11.2414,B.o.r.g.o,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/borgo_43.7701_11.2414.json,custom
43.770250,11.242113,ov_il_borgo_della_pizza_43.7703_11.2421,Il Borgo Della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/il_borgo_della_pizza_43.7703_11.2421.json,custom
43.777809,11.238554,ov_la_piadineria_43.7778_11.2386,La Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/la_piadineria_43.7778_11.2386.json,custom
43.776337,11.246295,ov_pescheria_san_pietro_43.7763_11.2463,Pescheria San Pietro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/pescheria_san_pietro_43.7763_11.2463.json,custom
43.779136,11.253860,ov_il_giardino_di_barbano_43.7791_11.2539,Il Giardino Di Barbano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/il_giardino_di_barbano_43.7791_11.2539.json,custom
43.776524,11.251580,ov_fish_restaurant_lobs_43.7765_11.2516,Fish Restaurant Lobs,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/fish_restaurant_lobs_43.7765_11.2516.json,custom
43.776377,11.252987,ov_antica_macelleria_falorni_43.7764_11.2530,Antica Macelleria Falorni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/antica_macelleria_falorni_43.7764_11.2530.json,custom
43.773804,11.248250,ov_ristorante_santa_maria_novella_43.7738_11.2483,Ristorante Santa Maria Novella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/ristorante_santa_maria_novella_43.7738_11.2483.json,custom
43.774161,11.247808,ov_tira_baralla_43.7742_11.2478,Tira baralla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/tira_baralla_43.7742_11.2478.json,custom
43.772361,11.244622,ov_winter_garden_by_caino_43.7724_11.2446,Winter Garden by Caino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/winter_garden_by_caino_43.7724_11.2446.json,custom
43.773412,11.252075,ov_la_boulangerie_del_rifrullo_43.7734_11.2521,La Boulangerie Del Rifrullo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/la_boulangerie_del_rifrullo_43.7734_11.2521.json,custom
43.771422,11.262258,ov_toscania_ristorante_pizzeria_43.7714_11.2623,Toscania ristorante pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/toscania_ristorante_pizzeria_43.7714_11.2623.json,custom
43.771404,11.264820,ov_panfuwa_43.7714_11.2648,Panfuwa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/panfuwa_43.7714_11.2648.json,custom
43.771972,11.266623,ov_la_cucina_di_pescepane_43.7720_11.2666,La Cucina di Pescepane,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/la_cucina_di_pescepane_43.7720_11.2666.json,custom
43.775560,11.259342,ov_rosso_crudo_43.7756_11.2593,Rosso Crudo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/rosso_crudo_43.7756_11.2593.json,custom
43.776832,11.254113,ov_cellini_43.7768_11.2541,Cellini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/cellini_43.7768_11.2541.json,custom
43.777511,11.258534,ov_ristorante_accademia_43.7775_11.2585,Ristorante Accademia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/ristorante_accademia_43.7775_11.2585.json,custom
43.776911,11.256574,ov_firenzen_43.7769_11.2566,Firenzen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/firenzen_43.7769_11.2566.json,custom
43.778420,11.271711,ov_don_fef__43.7784_11.2717,Don Fefè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/don_fef_43.7784_11.2717.json,custom
43.770990,11.261016,ov_azienda_agricola_terra_etruria_43.7710_11.2610,AZIENDA AGRICOLA TERRA ETRURIA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/azienda_agricola_terra_etruria_43.7710_11.2610.json,custom
43.770921,11.257953,ov_fishing_lab_alle_murate_43.7709_11.2580,FISHING LAB Alle Murate,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/fishing_lab_alle_murate_43.7709_11.2580.json,custom
43.768174,11.257877,ov_club_del_gusto_43.7682_11.2579,Club del Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/club_del_gusto_43.7682_11.2579.json,custom
43.763207,11.276814,ov_crepapelle_43.7632_11.2768,Crepapelle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/crepapelle_43.7632_11.2768.json,custom
43.818604,11.213573,ov_pizza_chef_43.8186_11.2136,Pizza Chef,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/pizza_chef_43.8186_11.2136.json,custom
43.782188,11.252884,ov_tsh_bistrot_43.7822_11.2529,TSH bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/florence/pages/tsh_bistrot_43.7822_11.2529.json,custom
