# lat,lng,id,name,building_type,type,url,page_type
# santa_giustina -- restaurants
46.080218,12.033906,ov_torres_pizza_food_46.0802_12.0339,Torres Pizza&Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/torres_pizzafood_46.0802_12.0339.json,custom
46.078167,12.042873,ov_locanda_alla_stazione_46.0782_12.0429,Locanda Alla Stazione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/locanda_alla_stazione_46.0782_12.0429.json,custom
46.080483,12.039418,ov_fuji_sushi_bar_ristorante_cinese_46.0805_12.0394,Fuji Sushi bar Ristorante Cinese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/fuji_sushi_bar_ristorante_cinese_46.0805_12.0394.json,custom
46.083519,12.042953,ov_voglia_di_pizza_46.0835_12.0430,Voglia di Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/voglia_di_pizza_46.0835_12.0430.json,custom
46.084329,12.043745,ov_fuori_di_pizza_46.0843_12.0437,Fuori di pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/fuori_di_pizza_46.0843_12.0437.json,custom
46.084292,12.043794,ov_la_noghera_export_46.0843_12.0438,La Noghera Export,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/la_noghera_export_46.0843_12.0438.json,custom
46.084282,12.043784,ov_gusto_pizza_46.0843_12.0438,Gusto Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/gusto_pizza_46.0843_12.0438.json,custom
46.086777,12.045772,ov_al_giardinetto_46.0868_12.0458,Al Giardinetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/al_giardinetto_46.0868_12.0458.json,custom
46.100864,12.065894,ov_osteriazul_46.1009_12.0659,Osteriazul,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/osteriazul_46.1009_12.0659.json,custom
46.065411,12.006274,ov_osteria_dal_conte_46.0654_12.0063,Osteria Dal Conte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/osteria_dal_conte_46.0654_12.0063.json,custom
46.071240,12.006730,ov_ristorante_villa_avogadro_azzoni_46.0712_12.0067,Ristorante Villa Avogadro Azzoni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/ristorante_villa_avogadro_azzoni_46.0712_12.0067.json,custom
46.083675,12.043904,osm_fidelis_risto_pizza_46.0837_12.0439,Fidelis Risto Pizza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/fidelis_risto_pizza_46.0837_12.0439.json,custom
46.083486,12.042947,osm_voglia_di_pizza_46.0835_12.0429,Voglia di Pizza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/santa_giustina/pages/voglia_di_pizza_46.0835_12.0429.json,custom
