# lat,lng,id,name,building_type,type,url,page_type
# monteriggioni -- restaurants.csv
43.077182,11.676687,ov_le_torri_monteriggioni_43.0772_11.6767,Le Torri Monteriggioni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/le_torri_monteriggioni_43.0772_11.6767.json,custom
43.416197,11.211305,ov_bottega_dell_abate_43.4162_11.2113,Bottega Dell'Abate,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/bottega_dellabate_43.4162_11.2113.json,custom
43.405250,11.206060,ov_la_locanda_di_strove_43.4053_11.2061,La Locanda Di Strove,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/la_locanda_di_strove_43.4053_11.2061.json,custom
43.414052,11.211249,ov_verdeolio_mediterraneo_srl_43.4141_11.2112,Verdeolio Mediterraneo Srl,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/verdeolio_mediterraneo_srl_43.4141_11.2112.json,custom
43.397708,11.269663,ov_ristorante_enoteca_bottega_di_lornano_43.3977_11.2697,Ristorante Enoteca Bottega di Lornano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/ristorante_enoteca_bottega_di_lornano_43.3977_11.2697.json,custom
43.397450,11.296135,ov_agriturismo_la_magione_43.3975_11.2961,Agriturismo La Magione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/agriturismo_la_magione_43.3975_11.2961.json,custom
43.393721,11.206369,ov_ducareccia_43.3937_11.2064,Ducareccia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/ducareccia_43.3937_11.2064.json,custom
43.394327,11.184873,ov_idea_ricevimenti_43.3943_11.1849,Idea Ricevimenti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/idea_ricevimenti_43.3943_11.1849.json,custom
43.394056,11.190733,ov_pasticcerie_nannini_43.3941_11.1907,Pasticcerie Nannini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/pasticcerie_nannini_43.3941_11.1907.json,custom
43.387980,11.194460,ov_bar_dell_orso_43.3880_11.1945,Bar dell'Orso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/bar_dellorso_43.3880_11.1945.json,custom
43.387552,11.195366,ov_futura_osteria_43.3876_11.1954,Futura Osteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/futura_osteria_43.3876_11.1954.json,custom
43.388618,11.161192,ov_la_bianca_43.3886_11.1612,La Bianca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/la_bianca_43.3886_11.1612.json,custom
43.390242,11.222471,ov_autogrill_43.3902_11.2225,Autogrill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/autogrill_43.3902_11.2225.json,custom
43.390181,11.223394,ov_ristorante_da_remo_43.3902_11.2234,Ristorante da Remo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/ristorante_da_remo_43.3902_11.2234.json,custom
43.390097,11.223309,ov_le_torri_43.3901_11.2233,Le Torri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/le_torri_43.3901_11.2233.json,custom
43.389738,11.223914,ov_terra_di_siena_43.3897_11.2239,Terra di Siena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/terra_di_siena_43.3897_11.2239.json,custom
43.389736,11.223779,ov_antico_travaglio_osteria_gelateria_43.3897_11.2238,Antico Travaglio Osteria Gelateria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/antico_travaglio_osteria_gelateria_43.3897_11.2238.json,custom
43.389744,11.223761,ov_il_tagliere_medievale_43.3897_11.2238,Il Tagliere Medievale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/il_tagliere_medievale_43.3897_11.2238.json,custom
43.381811,11.243657,ov_la_dama_nella_vigna_43.3818_11.2437,La dama nella vigna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/la_dama_nella_vigna_43.3818_11.2437.json,custom
43.379350,11.172070,ov_poggio_ai_laghi_43.3794_11.1721,Poggio ai Laghi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/poggio_ai_laghi_43.3794_11.1721.json,custom
43.379689,11.172057,ov_casalta_hotel_ristorante_43.3797_11.1721,Casalta Hotel Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/casalta_hotel_ristorante_43.3797_11.1721.json,custom
43.378782,11.274891,ov_pizzeria_ristorante_caffetteria_alimenta_43.3788_11.2749,Pizzeria Ristorante caffetteria alimentari Madamadorè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/pizzeria_ristorante_caffetteria_alimenta_43.3788_11.2749.json,custom
43.376246,11.279650,ov_il_ciliegio_43.3762_11.2796,Il Ciliegio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/il_ciliegio_43.3762_11.2796.json,custom
43.325980,11.227655,ov_all_osteria_43.3260_11.2277,All'Osteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/allosteria_43.3260_11.2277.json,custom
43.325961,11.227785,ov_soloperpassione_osteria_tipica_toscana_43.3260_11.2278,Soloperpassione Osteria Tipica Toscana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/soloperpassione_osteria_tipica_toscana_43.3260_11.2278.json,custom
43.344941,11.291390,ov_la_casalinga_43.3449_11.2914,La Casalinga,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/la_casalinga_43.3449_11.2914.json,custom
43.344660,11.299747,ov_osteria_tanaliberatutti_43.3447_11.2997,Osteria Tanaliberatutti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/osteria_tanaliberatutti_43.3447_11.2997.json,custom
43.349948,11.308749,ov_la_giratina_bar_ristoro_43.3499_11.3087,La Giratina bar-ristoro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/la_giratina_bar-ristoro_43.3499_11.3087.json,custom
43.353580,11.294060,ov_fattoria_il_ciliegio___azienda_agricola__43.3536_11.2941,Fattoria Il Ciliegio - Azienda agricola e agriturismo didatt,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/fattoria_il_ciliegio_-_azienda_agricola__43.3536_11.2941.json,custom
43.351379,11.297391,ov_ristorante_pizzeria_da_meme_43.3514_11.2974,Ristorante Pizzeria Da Meme,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/ristorante_pizzeria_da_meme_43.3514_11.2974.json,custom
43.392773,11.218800,osm_bar_dell_orso_43.3928_11.2188,Bar dell'Orso,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/bar_dellorso_43.3928_11.2188.json,custom
43.351323,11.297542,osm_ristorante_da_meme_43.3513_11.2975,Ristorante Da Meme,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/ristorante_da_meme_43.3513_11.2975.json,custom
43.390110,11.223271,osm_ristorante_le_torri_43.3901_11.2233,Ristorante Le Torri,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monteriggioni/pages/ristorante_le_torri_43.3901_11.2233.json,custom
