# lat,lng,id,name,building_type,type,url,page_type
# atripalda -- restaurants
40.915080,14.820529,ov_t_bone_40.9151_14.8205,T Bone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/t_bone_40.9151_14.8205.json,custom
40.914837,14.819946,ov_flacara_40.9148_14.8199,Flacara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/flacara_40.9148_14.8199.json,custom
40.915694,14.823792,ov_pizzeria_black_lamb_40.9157_14.8238,Pizzeria Black Lamb,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/pizzeria_black_lamb_40.9157_14.8238.json,custom
40.915581,14.821590,ov_pizzeria_zi_tanu_40.9156_14.8216,Pizzeria Zi Tanu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/pizzeria_zi_tanu_40.9156_14.8216.json,custom
40.915402,14.819187,ov_pizzeria_carmine_ragno_40.9154_14.8192,Pizzeria Carmine Ragno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/pizzeria_carmine_ragno_40.9154_14.8192.json,custom
40.918020,14.827470,ov_tbone_40.9180_14.8275,TBONE,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/tbone_40.9180_14.8275.json,custom
40.918291,14.829669,ov_il_ritrovo_di_antonio_40.9183_14.8297,Il Ritrovo Di Antonio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/il_ritrovo_di_antonio_40.9183_14.8297.json,custom
40.918913,14.826015,ov_da_tonino_40.9189_14.8260,Da Tonino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/da_tonino_40.9189_14.8260.json,custom
40.918888,14.829905,ov_pizz_40.9189_14.8299,Pizz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/pizz_40.9189_14.8299.json,custom
40.919534,14.833966,ov_ristorante_trattoria_conce_40.9195_14.8340,Ristorante Trattoria Conce,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/atripalda/pages/ristorante_trattoria_conce_40.9195_14.8340.json,custom
