# lat,lng,id,name,building_type,type,url,page_type
# calusco_dadda -- restaurants
45.684702,9.457638,ov_ristorante_gusto_86_45.6847_9.4576,Ristorante Gusto 86,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/calusco_dadda/pages/ristorante_gusto_86_45.6847_9.4576.json,custom
45.684719,9.459541,ov_zoom_caf__45.6847_9.4595,Zoom Cafè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/calusco_dadda/pages/zoom_caf_45.6847_9.4595.json,custom
45.683516,9.455624,ov_albergo_ristorante_pizzeria_etrusco_45.6835_9.4556,Albergo Ristorante Pizzeria Etrusco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/calusco_dadda/pages/albergo_ristorante_pizzeria_etrusco_45.6835_9.4556.json,custom
45.686055,9.478268,ov_gambero_rosso_45.6861_9.4783,Gambero Rosso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/calusco_dadda/pages/gambero_rosso_45.6861_9.4783.json,custom
45.687330,9.471800,ov_eventi_bergamo_45.6873_9.4718,Eventi Bergamo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/calusco_dadda/pages/eventi_bergamo_45.6873_9.4718.json,custom
45.687370,9.470630,ov_peccati_di_gola_calusco_d_adda_45.6874_9.4706,Peccati di gola Calusco D’Adda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/calusco_dadda/pages/peccati_di_gola_calusco_dadda_45.6874_9.4706.json,custom
45.686165,9.462851,ov_pizza_leggera_calusco__ristorante_pizzer_45.6862_9.4629,"Pizza Leggera Calusco [Ristorante Pizzeria Senza Glutine, Pa",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/calusco_dadda/pages/pizza_leggera_calusco_ristorante_pizzeri_45.6862_9.4629.json,custom
45.693164,9.479503,ov_hopper_mc_grath_s_45.6932_9.4795,Hopper Mc Grath's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/calusco_dadda/pages/hopper_mc_graths_45.6932_9.4795.json,custom
45.693471,9.479841,ov_ristorante_giapponese_yama_sushi_45.6935_9.4798,Ristorante Giapponese Yama Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/calusco_dadda/pages/ristorante_giapponese_yama_sushi_45.6935_9.4798.json,custom
45.690761,9.477063,ov_pomodoro_e_basilico_45.6908_9.4771,Pomodoro e Basilico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/calusco_dadda/pages/pomodoro_e_basilico_45.6908_9.4771.json,custom
45.687594,9.472186,ov_pizza_planet_45.6876_9.4722,Pizza Planet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/calusco_dadda/pages/pizza_planet_45.6876_9.4722.json,custom
45.688470,9.475410,ov_kashi_pizza_kebab__hamburger_45.6885_9.4754,Kashi Pizza Kebab  Hamburger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/calusco_dadda/pages/kashi_pizza_kebab_hamburger_45.6885_9.4754.json,custom
45.688609,9.475182,ov_bella_pizza___kebap_45.6886_9.4752,Bella Pizza & Kebap,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/calusco_dadda/pages/bella_pizza_kebap_45.6886_9.4752.json,custom
45.689211,9.467830,ov_pizza_planet_45.6892_9.4678,Pizza Planet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/calusco_dadda/pages/pizza_planet_45.6892_9.4678.json,custom
45.689896,9.470163,ov_l_antico_borgo_45.6899_9.4702,L'Antico Borgo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/calusco_dadda/pages/lantico_borgo_45.6899_9.4702.json,custom
45.688327,9.487219,ov_pizzeria_baccanello_45.6883_9.4872,Pizzeria Baccanello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/calusco_dadda/pages/pizzeria_baccanello_45.6883_9.4872.json,custom
45.688221,9.481450,ov_la_conchiglia_dell_isola_restaurant___pi_45.6882_9.4815,La Conchiglia dell'Isola Restaurant & Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/calusco_dadda/pages/la_conchiglia_dellisola_restaurant_pizza_45.6882_9.4815.json,custom
45.688210,9.481390,ov_funicul__funicul__ristorante_pizzeria_45.6882_9.4814,Funiculì Funiculá Ristorante&Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/calusco_dadda/pages/funicul_funicul_ristorantepizzeria_45.6882_9.4814.json,custom
45.686696,9.494723,ov_sadira_agriturismo_e_az__agricola_45.6867_9.4947,Sadira Agriturismo e Az. Agricola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/calusco_dadda/pages/sadira_agriturismo_e_az_agricola_45.6867_9.4947.json,custom
45.683479,9.455621,osm_ristorante_albergo_etrusco_45.6835_9.4556,Ristorante Albergo Etrusco,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/calusco_dadda/pages/ristorante_albergo_etrusco_45.6835_9.4556.json,custom
45.687461,9.494668,osm_agriturismo_sadira_45.6875_9.4947,Agriturismo Sadira,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/calusco_dadda/pages/agriturismo_sadira_45.6875_9.4947.json,custom
