# lat,lng,id,name,building_type,type,url,page_type
# sirolo -- restaurants.csv
43.496933,13.585456,ov_il_ritorno_43.4969_13.5855,Il ritorno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/il_ritorno_43.4969_13.5855.json,custom
43.496482,13.597528,ov_country_house_villa_clelia_43.4965_13.5975,Country House Villa Clelia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/country_house_villa_clelia_43.4965_13.5975.json,custom
43.510520,13.612202,ov_come_vi__vi__taverna_43.5105_13.6122,Come Viè Viè Taverna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/come_vi_vi_taverna_43.5105_13.6122.json,custom
43.527069,13.608060,ov_la_fornace_43.5271_13.6081,La Fornace,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/la_fornace_43.5271_13.6081.json,custom
43.523220,13.611750,ov_il_grottino_di_roscioni_raniero_43.5232_13.6118,Il Grottino di Roscioni Raniero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/il_grottino_di_roscioni_raniero_43.5232_13.6118.json,custom
43.526490,13.616257,ov_il_pastaio_43.5265_13.6163,Il Pastaio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/il_pastaio_43.5265_13.6163.json,custom
43.523200,13.614520,ov_sakat__rooftop_43.5232_13.6145,Sakató Rooftop,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/sakat_rooftop_43.5232_13.6145.json,custom
43.521308,13.621815,ov_casacon_disco_restaurant___events_sirolo_43.5213_13.6218,Casacon Disco Restaurant & Events Sirolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/casacon_disco_restaurant_events_sirolo_43.5213_13.6218.json,custom
43.522420,13.619418,ov_la_cambusa_43.5224_13.6194,La Cambusa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/la_cambusa_43.5224_13.6194.json,custom
43.522875,13.618775,ov_ristorante_convivio_sirolo_43.5229_13.6188,Ristorante Convivio Sirolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/ristorante_convivio_sirolo_43.5229_13.6188.json,custom
43.523233,13.618973,ov_pizzeria_tory_43.5232_13.6190,Pizzeria Tory,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/pizzeria_tory_43.5232_13.6190.json,custom
43.523428,13.619439,ov_pizzeria_el_varolo_43.5234_13.6194,Pizzeria El Varolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/pizzeria_el_varolo_43.5234_13.6194.json,custom
43.523481,13.619324,ov_diecidodici_ristorante_43.5235_13.6193,Diecidodici Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/diecidodici_ristorante_43.5235_13.6193.json,custom
43.523813,13.619321,ov_ristorante_terrazzamare_43.5238_13.6193,Ristorante Terrazzamare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/ristorante_terrazzamare_43.5238_13.6193.json,custom
43.524827,13.616645,ov_l_osteria_43.5248_13.6166,L'Osteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/losteria_43.5248_13.6166.json,custom
43.523904,13.621445,ov_ristorante_rosmarino_43.5239_13.6214,Ristorante Rosmarino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/ristorante_rosmarino_43.5239_13.6214.json,custom
43.523302,13.619466,ov_il_grillo_43.5233_13.6195,Il Grillo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/sirolo/pages/il_grillo_43.5233_13.6195.json,custom
