# lat,lng,id,name,building_type,type,url,page_type
# milan -- restaurants
45.442873,9.060763,ov_cascina_selva_45.4429_9.0608,Cascina Selva,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/cascina_selva_45.4429_9.0608.json,custom
45.452542,9.154988,ov_duo_rice_45.4525_9.1550,Duo Rice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/duo_rice_45.4525_9.1550.json,custom
45.255531,9.009887,ov_latterie_con_cucina_1952_45.2555_9.0099,Latterie con cucina 1952,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/latterie_con_cucina_1952_45.2555_9.0099.json,custom
45.506070,9.135514,ov_yume_45.5061_9.1355,Yume,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/yume_45.5061_9.1355.json,custom
45.502397,9.156815,ov_pan_sushi_45.5024_9.1568,Pan Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/pan_sushi_45.5024_9.1568.json,custom
45.496046,9.142877,ov_el_bombillo_45.4960_9.1429,El Bombillo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/el_bombillo_45.4960_9.1429.json,custom
45.490377,9.100683,ov_braci_e_taci_45.4904_9.1007,Braci E Taci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/braci_e_taci_45.4904_9.1007.json,custom
45.485829,9.152760,ov_mangia_e_bevi_wok_45.4858_9.1528,Mangia E Bevi Wok,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/mangia_e_bevi_wok_45.4858_9.1528.json,custom
45.482576,9.158832,ov_pizzeria_spontini_45.4826_9.1588,Pizzeria Spontini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/pizzeria_spontini_45.4826_9.1588.json,custom
45.478534,9.147681,ov_piadineria_45.4785_9.1477,Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/piadineria_45.4785_9.1477.json,custom
45.473214,9.158892,ov_ryouchef_45.4732_9.1589,Ryouchef,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/ryouchef_45.4732_9.1589.json,custom
45.467828,9.154841,ov_la_cannoleria_siciliana_45.4678_9.1548,La Cannoleria Siciliana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/la_cannoleria_siciliana_45.4678_9.1548.json,custom
45.460076,9.136122,ov_la_piadina_di_susy_45.4601_9.1361,La Piadina di Susy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/la_piadina_di_susy_45.4601_9.1361.json,custom
45.513070,9.099610,ov_calavera_restaurant_45.5131_9.0996,Calavera Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/calavera_restaurant_45.5131_9.0996.json,custom
45.513070,9.099610,ov_spontini_45.5131_9.0996,Spontini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/spontini_45.5131_9.0996.json,custom
45.513070,9.099610,ov_ichi_station_45.5131_9.0996,Ichi Station,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/ichi_station_45.5131_9.0996.json,custom
45.513070,9.099610,ov_poke_house_45.5131_9.0996,Poke House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/poke_house_45.5131_9.0996.json,custom
45.513070,9.099610,ov_roll_eat_45.5131_9.0996,Roll Eat,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/roll_eat_45.5131_9.0996.json,custom
45.513466,9.100783,ov_neat_burger_45.5135_9.1008,Neat Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/neat_burger_45.5135_9.1008.json,custom
45.513730,9.101415,ov_miscusi_45.5137_9.1014,Miscusi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/miscusi_45.5137_9.1014.json,custom
45.453806,9.163446,ov_cocciuto_45.4538_9.1634,Cocciuto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/cocciuto_45.4538_9.1634.json,custom
45.456096,9.164986,ov_solo_pizza_caf__45.4561_9.1650,Solo Pizza Cafè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/solo_pizza_caf_45.4561_9.1650.json,custom
45.459737,9.165214,ov_mappamondo_royal_45.4597_9.1652,Mappamondo Royal,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/mappamondo_royal_45.4597_9.1652.json,custom
45.453372,9.167429,ov_granseola__la__45.4534_9.1674,Granseola (La),RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/granseola_la_45.4534_9.1674.json,custom
45.451858,9.170604,ov_osteria_da_fortunata___navigli_45.4519_9.1706,Osteria Da Fortunata - Navigli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/osteria_da_fortunata_-_navigli_45.4519_9.1706.json,custom
45.453203,9.172445,ov_ves____eno_e_gastro_a_mo__del_sud_45.4532_9.1724,Vesù - Eno e gastro a mo' del sud,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/ves_-_eno_e_gastro_a_mo_del_sud_45.4532_9.1724.json,custom
45.459560,9.176893,ov_nordic_grill_45.4596_9.1769,Nordic Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/nordic_grill_45.4596_9.1769.json,custom
45.458015,9.177648,ov_drogherie_milanesi_45.4580_9.1776,Drogherie Milanesi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/drogherie_milanesi_45.4580_9.1776.json,custom
45.443719,9.178924,ov_burger_king_45.4437_9.1789,Burger King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/burger_king_45.4437_9.1789.json,custom
45.458761,9.181206,ov_alle_colonne_by_caputo_45.4588_9.1812,Alle Colonne By Caputo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/alle_colonne_by_caputo_45.4588_9.1812.json,custom
45.458895,9.181319,ov_wok_on_the_go_45.4589_9.1813,WOK on the go,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/wok_on_the_go_45.4589_9.1813.json,custom
45.459866,9.181716,ov_silver_ristorante_45.4599_9.1817,Silver Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/silver_ristorante_45.4599_9.1817.json,custom
45.451832,9.184261,ov_wang_jiao_45.4518_9.1843,Wang Jiao,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/wang_jiao_45.4518_9.1843.json,custom
