# lat,lng,id,name,building_type,type,url,page_type
# lomazzo -- bars_cafes
45.673454,9.039707,ov_manera_caf__45.6735_9.0397,Manera Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/manera_caf_45.6735_9.0397.json,custom
45.694402,9.030501,ov_chauffeur_service___servizio_taxi_45.6944_9.0305,Chauffeur Service - Servizio Taxi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/chauffeur_service_-_servizio_taxi_45.6944_9.0305.json,custom
45.697300,9.040165,ov_bar_la_torre_45.6973_9.0402,BAR La TORRE,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/bar_la_torre_45.6973_9.0402.json,custom
45.699012,9.027908,ov_quick_bar_gelaria_45.6990_9.0279,Quick Bar Gelaria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/quick_bar_gelaria_45.6990_9.0279.json,custom
45.698800,9.033137,ov_caffe_del_parco_45.6988_9.0331,Caffe Del Parco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/caffe_del_parco_45.6988_9.0331.json,custom
45.698796,9.036371,ov_nord_express_cafe_45.6988_9.0364,Nord Express Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/nord_express_cafe_45.6988_9.0364.json,custom
45.707161,9.028424,ov_lietti_caf__45.7072_9.0284,Lietti Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/lietti_caf_45.7072_9.0284.json,custom
45.702094,9.038787,ov_bar_trattoria_tananay_45.7021_9.0388,Bar Trattoria Tananay,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/bar_trattoria_tananay_45.7021_9.0388.json,custom
45.698332,9.038779,ov_la_fra_cafe_45.6983_9.0388,La Fra Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/la_fra_cafe_45.6983_9.0388.json,custom
45.698270,9.039710,ov_bar_time_lomazzo_45.6983_9.0397,BAR TIME Lomazzo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/bar_time_lomazzo_45.6983_9.0397.json,custom
45.698231,9.039637,osm_giuly_caff__45.6982_9.0396,Giuly Caffè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/giuly_caff_45.6982_9.0396.json,custom
45.698520,9.034442,osm_doppio_binario_45.6985_9.0344,Doppio Binario,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/doppio_binario_45.6985_9.0344.json,custom
45.698437,9.037552,osm_non_solo_pane_45.6984_9.0376,Non solo pane,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lomazzo/pages/non_solo_pane_45.6984_9.0376.json,custom
