# lat,lng,id,name,building_type,type,url,page_type
# langhirano -- restaurants.csv
44.565637,10.227584,ov_trattoria_trombi_44.5656_10.2276,Trattoria Trombi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/langhirano/pages/trattoria_trombi_44.5656_10.2276.json,custom
44.565486,10.227626,ov_cartoccio_di_baratta_44.5655_10.2276,Cartoccio Di Baratta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/langhirano/pages/cartoccio_di_baratta_44.5655_10.2276.json,custom
44.578619,10.186258,ov_chalet_la_perla_44.5786_10.1863,Chalet La Perla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/langhirano/pages/chalet_la_perla_44.5786_10.1863.json,custom
44.578791,10.186141,ov_tananaj_44.5788_10.1861,Tananaj,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/langhirano/pages/tananaj_44.5788_10.1861.json,custom
44.656421,10.278710,ov_pizzeria_sant_elena_1968_44.6564_10.2787,Pizzeria Sant'Elena 1968,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/langhirano/pages/pizzeria_santelena_1968_44.6564_10.2787.json,custom
44.655878,10.274865,ov_taverna_del_castello_44.6559_10.2749,Taverna del Castello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/langhirano/pages/taverna_del_castello_44.6559_10.2749.json,custom
44.657341,10.276363,ov_al_mulino_44.6573_10.2764,al mulino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/langhirano/pages/al_mulino_44.6573_10.2764.json,custom
44.657301,10.276266,ov_mulino_di_torrechiara_44.6573_10.2763,Mulino di Torrechiara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/langhirano/pages/mulino_di_torrechiara_44.6573_10.2763.json,custom
44.650350,10.256495,ov_trattoria_cavazzini_44.6504_10.2565,Trattoria Cavazzini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/langhirano/pages/trattoria_cavazzini_44.6504_10.2565.json,custom
44.648535,10.268729,ov_agriturismo_lamoretti_44.6485_10.2687,Agriturismo Lamoretti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/langhirano/pages/agriturismo_lamoretti_44.6485_10.2687.json,custom
44.648474,10.266946,ov_agriturismo_podere_montefiore_44.6485_10.2669,Agriturismo Podere Montefiore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/langhirano/pages/agriturismo_podere_montefiore_44.6485_10.2669.json,custom
44.642683,10.260757,ov_azienda_agricola_cardinali_44.6427_10.2608,Azienda Agricola Cardinali,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/langhirano/pages/azienda_agricola_cardinali_44.6427_10.2608.json,custom
44.629095,10.273507,ov_postal_salumi_cantina_e_degusteria_44.6291_10.2735,Postal Salumi Cantina e Degusteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/langhirano/pages/postal_salumi_cantina_e_degusteria_44.6291_10.2735.json,custom
44.630601,10.272239,ov_ristorante_crudo___cotto_44.6306_10.2722,Ristorante Crudo & Cotto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/langhirano/pages/ristorante_crudo_cotto_44.6306_10.2722.json,custom
44.630425,10.272413,ov_tortuga_44.6304_10.2724,Tortuga,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/langhirano/pages/tortuga_44.6304_10.2724.json,custom
44.631952,10.271832,ov_trattoria_cascinapiano_44.6320_10.2718,Trattoria Cascinapiano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/langhirano/pages/trattoria_cascinapiano_44.6320_10.2718.json,custom
44.632076,10.271594,ov_tiratardi_44.6321_10.2716,Tiratardi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/langhirano/pages/tiratardi_44.6321_10.2716.json,custom
44.632500,10.270331,ov_ristorante_vecchio_mulino_44.6325_10.2703,Ristorante Vecchio Mulino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/langhirano/pages/ristorante_vecchio_mulino_44.6325_10.2703.json,custom
44.632820,10.275555,ov_la_trattoria_del_lago_44.6328_10.2756,La Trattoria del Lago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/langhirano/pages/la_trattoria_del_lago_44.6328_10.2756.json,custom
44.612881,10.265297,ov_salumeria_ugolotti_44.6129_10.2653,Salumeria Ugolotti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/langhirano/pages/salumeria_ugolotti_44.6129_10.2653.json,custom
44.612938,10.265464,ov_il_gambero_food___drink_44.6129_10.2655,Il Gambero Food & Drink,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/langhirano/pages/il_gambero_food_drink_44.6129_10.2655.json,custom
44.612635,10.265144,ov_trattoria_della_gallina_44.6126_10.2651,Trattoria della Gallina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/langhirano/pages/trattoria_della_gallina_44.6126_10.2651.json,custom
44.611465,10.266728,ov_yoshiiiiiii_44.6115_10.2667,Yoshiiiiiii,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/langhirano/pages/yoshiiiiiii_44.6115_10.2667.json,custom
44.612212,10.268494,ov_ristorante_al_museo_44.6122_10.2685,Ristorante al Museo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/langhirano/pages/ristorante_al_museo_44.6122_10.2685.json,custom
