# lat,lng,id,name,building_type,type,url,page_type
# cervarese_santa_croce -- restaurants
45.379711,11.705138,ov_pizzeria_arena_45.3797_11.7051,Pizzeria Arena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cervarese_santa_croce/pages/pizzeria_arena_45.3797_11.7051.json,custom
45.376383,11.716523,ov_la_rustica_45.3764_11.7165,La Rustica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cervarese_santa_croce/pages/la_rustica_45.3764_11.7165.json,custom
45.423987,11.687674,ov_pizzeria_jolly_45.4240_11.6877,Pizzeria Jolly,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cervarese_santa_croce/pages/pizzeria_jolly_45.4240_11.6877.json,custom
45.394036,11.713990,ov_euganeus_45.3940_11.7140,Euganeus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cervarese_santa_croce/pages/euganeus_45.3940_11.7140.json,custom
45.398493,11.715852,ov_ristorante_pizzeria_euganeus_45.3985_11.7159,Ristorante Pizzeria Euganeus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cervarese_santa_croce/pages/ristorante_pizzeria_euganeus_45.3985_11.7159.json,custom
45.401842,11.691538,ov_ristorantino_bea_vita_45.4018_11.6915,Ristorantino Bea Vita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cervarese_santa_croce/pages/ristorantino_bea_vita_45.4018_11.6915.json,custom
45.407408,11.676438,ov_ristorante_al_bosco_45.4074_11.6764,Ristorante Al Bosco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cervarese_santa_croce/pages/ristorante_al_bosco_45.4074_11.6764.json,custom
45.407392,11.676467,ov_azienda_agricola_al_bosco_45.4074_11.6765,Azienda Agricola Al Bosco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cervarese_santa_croce/pages/azienda_agricola_al_bosco_45.4074_11.6765.json,custom
45.415442,11.683698,ov_il_casale_di_nonna_lui_45.4154_11.6837,Il Casale di Nonna Lui,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cervarese_santa_croce/pages/il_casale_di_nonna_lui_45.4154_11.6837.json,custom
45.403930,11.691052,ov_coco__scianel_45.4039_11.6911,Cocoò Scianel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cervarese_santa_croce/pages/coco_scianel_45.4039_11.6911.json,custom
45.393841,11.714194,osm_ristorante_pizzeria_euganeus_2000_45.3938_11.7142,Ristorante Pizzeria Euganeus 2000,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cervarese_santa_croce/pages/ristorante_pizzeria_euganeus_2000_45.3938_11.7142.json,custom
45.407383,11.676410,osm_al_bosco_45.4074_11.6764,Al Bosco,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/cervarese_santa_croce/pages/al_bosco_45.4074_11.6764.json,custom
