# lat,lng,id,name,building_type,type,url,page_type
# palombara_sabina -- restaurants.csv
42.056402,12.767654,ov_agriturismo_cento_ducati_42.0564_12.7677,Agriturismo Cento Ducati,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/agriturismo_cento_ducati_42.0564_12.7677.json,custom
42.053974,12.777379,ov_agriturismo_eirene_e_azienda_agricola_ze_42.0540_12.7774,Agriturismo Eirene e Azienda Agricola Zebi Stefano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/agriturismo_eirene_e_azienda_agricola_ze_42.0540_12.7774.json,custom
42.050069,12.777608,ov_l_uliveto_palombara_sabina_42.0501_12.7776,L'uliveto Palombara Sabina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/luliveto_palombara_sabina_42.0501_12.7776.json,custom
42.075436,12.765212,ov_angela_42.0754_12.7652,Angela,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/angela_42.0754_12.7652.json,custom
42.071030,12.766760,ov_ristorante_l_uliveto_42.0710_12.7668,Ristorante L'uliveto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/ristorante_luliveto_42.0710_12.7668.json,custom
42.068743,12.764436,ov_mondo_pizza_42.0687_12.7644,Mondo Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/mondo_pizza_42.0687_12.7644.json,custom
42.067159,12.764352,ov_trattoria_basta_la_mossa_42.0672_12.7644,Trattoria Basta La Mossa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/trattoria_basta_la_mossa_42.0672_12.7644.json,custom
42.068198,12.765667,ov_gran_pizza_di_silvi_valerio_42.0682_12.7657,Gran Pizza di Silvi Valerio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/gran_pizza_di_silvi_valerio_42.0682_12.7657.json,custom
42.068811,12.765636,ov_l_altra_teglia_42.0688_12.7656,L'Altra Teglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/laltra_teglia_42.0688_12.7656.json,custom
42.068922,12.766933,ov_mama_pizza_42.0689_12.7669,Mama Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/mama_pizza_42.0689_12.7669.json,custom
42.063177,12.771439,ov_nessun_dorma_braceria_pizzeria_42.0632_12.7714,Nessun Dorma Braceria Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/nessun_dorma_braceria_pizzeria_42.0632_12.7714.json,custom
42.063072,12.767681,ov_ristorante_dai_cesari_42.0631_12.7677,Ristorante Dai Cesari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/ristorante_dai_cesari_42.0631_12.7677.json,custom
42.065579,12.767190,ov_dar_bottarolo_42.0656_12.7672,Dar Bottarolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/dar_bottarolo_42.0656_12.7672.json,custom
42.066680,12.765180,ov_handmade_pasta_with_grandma_42.0667_12.7652,Handmade Pasta with Grandma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/handmade_pasta_with_grandma_42.0667_12.7652.json,custom
42.066715,12.764392,ov_ristorante_cacio_e_pepe_42.0667_12.7644,Ristorante Cacio e Pepe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/ristorante_cacio_e_pepe_42.0667_12.7644.json,custom
42.082025,12.745530,ov_tenuta_la_salvia_42.0820_12.7455,Tenuta La Salvia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/tenuta_la_salvia_42.0820_12.7455.json,custom
42.085376,12.757946,ov_agriturismo_la_gemma_della_sabina_42.0854_12.7579,Agriturismo La Gemma della Sabina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/agriturismo_la_gemma_della_sabina_42.0854_12.7579.json,custom
42.088120,12.716890,ov_la_matta_fattoria_42.0881_12.7169,La Matta Fattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/la_matta_fattoria_42.0881_12.7169.json,custom
42.084813,12.726376,ov_la_nostra_sabina_42.0848_12.7264,La Nostra Sabina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/la_nostra_sabina_42.0848_12.7264.json,custom
42.085259,12.726745,ov_a_casa_di_alice_42.0853_12.7267,A Casa di Alice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/a_casa_di_alice_42.0853_12.7267.json,custom
42.071220,12.703544,ov_la_tana_del_lupo_42.0712_12.7035,La Tana Del Lupo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/la_tana_del_lupo_42.0712_12.7035.json,custom
42.069212,12.716766,ov_ristorante_la_sabina_romana_42.0692_12.7168,Ristorante La Sabina Romana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/ristorante_la_sabina_romana_42.0692_12.7168.json,custom
42.101495,12.665242,ov_agriturismo_al_belvedere_42.1015_12.6652,Agriturismo Al Belvedere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/agriturismo_al_belvedere_42.1015_12.6652.json,custom
42.107448,12.687555,ov_agriturismo_f_lli_abbondanza_fusi_42.1074_12.6876,Agriturismo F.lli Abbondanza Fusi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/agriturismo_flli_abbondanza_fusi_42.1074_12.6876.json,custom
