# lat,lng,id,name,building_type,type,url,page_type
# palombara_sabina -- gyms.csv
42.066990,12.764788,ov_asd_ma_mi_dance_school_42.0670_12.7648,Asd Ma.Mi Dance School,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/asd_mami_dance_school_42.0670_12.7648.json,custom
42.067981,12.768834,ov_palestra_comunale_roberto_stefoni_42.0680_12.7688,Palestra Comunale Roberto Stefoni,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/palestra_comunale_roberto_stefoni_42.0680_12.7688.json,custom
42.068709,12.769367,ov_asd_fc_palombara_calcio_a_5_42.0687_12.7694,ASD FC Palombara Calcio a 5,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/asd_fc_palombara_calcio_a_5_42.0687_12.7694.json,custom
42.059244,12.765820,ov_lady_like_american_horse_ranch_42.0592_12.7658,Lady Like American Horse Ranch,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/lady_like_american_horse_ranch_42.0592_12.7658.json,custom
42.063055,12.768940,ov_iron_gyn_42.0631_12.7689,iron gyn,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/iron_gyn_42.0631_12.7689.json,custom
42.064457,12.768248,ov_asd_boxing_academy_palombara_42.0645_12.7682,Asd Boxing Academy Palombara,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/asd_boxing_academy_palombara_42.0645_12.7682.json,custom
42.089409,12.775327,ov_ss_lazio_arrampicata_42.0894_12.7753,SS Lazio Arrampicata,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/ss_lazio_arrampicata_42.0894_12.7753.json,custom
42.091210,12.774866,ov_open_range_42.0912_12.7749,Open Range,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/open_range_42.0912_12.7749.json,custom
42.087430,12.717030,ov_il_buscadero_42.0874_12.7170,Il Buscadero,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/il_buscadero_42.0874_12.7170.json,custom
42.081948,12.725394,ov_sabina_paintball_park_42.0819_12.7254,Sabina Paintball Park,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/sabina_paintball_park_42.0819_12.7254.json,custom
42.084124,12.718825,ov_circolo_ippico_hakuna_matata_asd_42.0841_12.7188,Circolo Ippico Hakuna Matata ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/circolo_ippico_hakuna_matata_asd_42.0841_12.7188.json,custom
42.087090,12.694148,ov_centro_sportivo_terme_di_cretone_42.0871_12.6941,Centro Sportivo Terme Di Cretone,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/centro_sportivo_terme_di_cretone_42.0871_12.6941.json,custom
42.074452,12.699596,ov_terme_di_cretone_42.0745_12.6996,Terme Di Cretone,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/terme_di_cretone_42.0745_12.6996.json,custom
42.097848,12.650402,ov_centro_equestre_macchia_del_barco_42.0978_12.6504,Centro Equestre Macchia del Barco,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/centro_equestre_macchia_del_barco_42.0978_12.6504.json,custom
42.112114,12.632734,ov_centro_ippico_artemide_42.1121_12.6327,Centro Ippico Artemide,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/centro_ippico_artemide_42.1121_12.6327.json,custom
42.098955,12.756225,ov_scuderie_abate_magnifico_42.0990_12.7562,Scuderie Abate Magnifico,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/palombara_sabina/pages/scuderie_abate_magnifico_42.0990_12.7562.json,custom
