# lat,lng,id,name,building_type,type,url,page_type
# villa_literno -- restaurants
41.006410,14.081450,ov_ristorante_pizzeria_caffetteria_l_incant_41.0064_14.0815,Ristorante Pizzeria Caffetteria L'INCANTO,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/ristorante_pizzeria_caffetteria_lincanto_41.0064_14.0815.json,custom
41.005280,14.068616,ov_ristorante_pizzeria_da_nando_41.0053_14.0686,Ristorante Pizzeria Da Nando,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/ristorante_pizzeria_da_nando_41.0053_14.0686.json,custom
41.001740,14.038530,ov_iolita_ristorante_pizzeria_41.0017_14.0385,Iolita Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/iolita_ristorante_pizzeria_41.0017_14.0385.json,custom
41.007970,14.062350,ov_toto_e_peppino_41.0080_14.0624,toto e peppino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/toto_e_peppino_41.0080_14.0624.json,custom
41.007962,14.063119,ov_pizzeria_sorbo_41.0080_14.0631,Pizzeria Sorbo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/pizzeria_sorbo_41.0080_14.0631.json,custom
41.009305,14.067725,ov_caseificio_iossa_41.0093_14.0677,Caseificio Iossa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/caseificio_iossa_41.0093_14.0677.json,custom
41.009385,14.067902,ov_tipo_zero_pizzeria_41.0094_14.0679,Tipo Zero Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/tipo_zero_pizzeria_41.0094_14.0679.json,custom
41.009812,14.068502,ov_ye_sushi_restaurant_41.0098_14.0685,Ye Sushi Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/ye_sushi_restaurant_41.0098_14.0685.json,custom
41.009978,14.069296,ov_na_pizz_a_vol_41.0100_14.0693,Na Pizz A Vol,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/na_pizz_a_vol_41.0100_14.0693.json,custom
41.009920,14.069400,ov_gli_scugnizzi_41.0099_14.0694,Gli Scugnizzi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/gli_scugnizzi_41.0099_14.0694.json,custom
