# lat,lng,id,name,building_type,type,url,page_type
# darfo_boario_terme -- restaurants
45.900989,10.191444,ov_la_pizza_dello_zio_sem_45.9010_10.1914,La Pizza dello Zio Sem,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/la_pizza_dello_zio_sem_45.9010_10.1914.json,custom
45.899339,10.194252,ov_bistrot_domenighini_al_lando_45.8993_10.1943,Bistrot Domenighini al Lando,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/bistrot_domenighini_al_lando_45.8993_10.1943.json,custom
45.892812,10.188201,ov_pizzeria_pim_pam_pizza_45.8928_10.1882,Pizzeria PIM PAM PIZZA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/pizzeria_pim_pam_pizza_45.8928_10.1882.json,custom
45.893423,10.189063,ov_pizzeria_a_pizza_45.8934_10.1891,Pizzeria A Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/pizzeria_a_pizza_45.8934_10.1891.json,custom
45.893646,10.190053,ov_a_tavola_con_iris_45.8936_10.1901,A tavola con Iris,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/a_tavola_con_iris_45.8936_10.1901.json,custom
45.893201,10.190287,ov_pizza_express_45.8932_10.1903,Pizza Express,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/pizza_express_45.8932_10.1903.json,custom
45.892547,10.189867,ov_ristorante_pizzeria_la_svolta_45.8925_10.1899,Ristorante Pizzeria La Svolta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/ristorante_pizzeria_la_svolta_45.8925_10.1899.json,custom
45.891590,10.189797,ov_non_solo_pizza_45.8916_10.1898,Non Solo Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/non_solo_pizza_45.8916_10.1898.json,custom
45.889053,10.189634,ov_myshibuya_corner_45.8891_10.1896,MyShibuya Corner,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/myshibuya_corner_45.8891_10.1896.json,custom
45.889271,10.189427,ov_carmen_45.8893_10.1894,Carmen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/carmen_45.8893_10.1894.json,custom
