# lat,lng,id,name,building_type,type,url,page_type
# marano_di_napoli -- restaurants.csv
40.904411,14.130299,ov_il_giglio_della_valle_40.9044_14.1303,Il Giglio della Valle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/marano_di_napoli/pages/il_giglio_della_valle_40.9044_14.1303.json,custom
40.902860,14.119741,ov_pizza_village_forno_a_legna_40.9029_14.1197,PIZZA VILLAGE Forno a legna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/marano_di_napoli/pages/pizza_village_forno_a_legna_40.9029_14.1197.json,custom
40.902933,14.119894,ov_280grammipizzeria_40.9029_14.1199,280GrammiPizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/marano_di_napoli/pages/280grammipizzeria_40.9029_14.1199.json,custom
40.901169,14.120196,ov_pizzeria_dal_montese_40.9012_14.1202,Pizzeria Dal Montese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/marano_di_napoli/pages/pizzeria_dal_montese_40.9012_14.1202.json,custom
40.901541,14.130308,ov_la_baita_del_belvedere_40.9015_14.1303,La Baita del Belvedere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/marano_di_napoli/pages/la_baita_del_belvedere_40.9015_14.1303.json,custom
40.897930,14.123553,ov_ilovetartare_40.8979_14.1236,Ilovetartare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/marano_di_napoli/pages/ilovetartare_40.8979_14.1236.json,custom
40.901958,14.131250,ov_pizzeria_sasy___family_40.9020_14.1313,Pizzeria Sasy & Family,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/marano_di_napoli/pages/pizzeria_sasy_family_40.9020_14.1313.json,custom
40.902140,14.131380,ov_taverna_neapolis_40.9021_14.1314,Taverna Neapolis,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/marano_di_napoli/pages/taverna_neapolis_40.9021_14.1314.json,custom
40.902210,14.132440,ov_il_giardino_incantato_di_f_biscardi_40.9022_14.1324,Il giardino incantato di f.biscardi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/marano_di_napoli/pages/il_giardino_incantato_di_fbiscardi_40.9022_14.1324.json,custom
40.902417,14.133525,ov_antica_cucina_da_enrico_40.9024_14.1335,Antica Cucina da Enrico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/marano_di_napoli/pages/antica_cucina_da_enrico_40.9024_14.1335.json,custom
