# lat,lng,id,name,building_type,type,url,page_type
# orzinuovi -- restaurants
45.400609,9.898763,ov_la_madonnina_45.4006_9.8988,La Madonnina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/la_madonnina_45.4006_9.8988.json,custom
45.379442,9.900988,ov_saur_45.3794_9.9010,SAUR,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/saur_45.3794_9.9010.json,custom
45.380305,9.898766,ov_gustavo_pizza___cucina_45.3803_9.8988,Gustavo Pizza & Cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/gustavo_pizza_cucina_45.3803_9.8988.json,custom
45.371244,9.951085,ov_ristorante_e_pizza_la_cascina_45.3712_9.9511,Ristorante e Pizza La Cascina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/ristorante_e_pizza_la_cascina_45.3712_9.9511.json,custom
45.383832,9.975278,ov_kendall_2_meme_45.3838_9.9753,Kendall 2 Meme,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/kendall_2_meme_45.3838_9.9753.json,custom
45.394356,9.928280,ov_al_gambero_orzinuovi_45.3944_9.9283,Al Gambero Orzinuovi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/al_gambero_orzinuovi_45.3944_9.9283.json,custom
45.400296,9.923469,ov_la_piadineria_45.4003_9.9235,La Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/la_piadineria_45.4003_9.9235.json,custom
45.400812,9.924217,ov_istanbul_kebab_45.4008_9.9242,Istanbul Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/istanbul_kebab_45.4008_9.9242.json,custom
45.400507,9.923907,ov_bella_napoli_orzinuovi_45.4005_9.9239,Bella Napoli Orzinuovi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/bella_napoli_orzinuovi_45.4005_9.9239.json,custom
45.400724,9.924066,ov_turkish_delizioso_kebab_e_pizza_45.4007_9.9241,Turkish Delizioso Kebab E Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/turkish_delizioso_kebab_e_pizza_45.4007_9.9241.json,custom
45.403015,9.916505,ov_house_dal_baffo_45.4030_9.9165,House Dal Baffo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/house_dal_baffo_45.4030_9.9165.json,custom
45.404053,9.924533,ov_ristorante_l_antica_rocca_45.4041_9.9245,Ristorante L'Antica Rocca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/ristorante_lantica_rocca_45.4041_9.9245.json,custom
45.404011,9.924035,ov_masa_experience_45.4040_9.9240,MASA Experience,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/masa_experience_45.4040_9.9240.json,custom
45.404432,9.923661,ov_affiliato_tecnorete_rete_orzi_srl_45.4044_9.9237,Affiliato Tecnorete Rete Orzi Srl,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/affiliato_tecnorete_rete_orzi_srl_45.4044_9.9237.json,custom
45.404485,9.924404,ov_pizzeria_pizzicotto_45.4045_9.9244,Pizzeria Pizzicotto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/pizzeria_pizzicotto_45.4045_9.9244.json,custom
45.404497,9.924391,ov_samarani_pizza_orzinuovi_45.4045_9.9244,Samarani Pizza Orzinuovi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/samarani_pizza_orzinuovi_45.4045_9.9244.json,custom
45.404130,9.925980,ov_il_cantinone_45.4041_9.9260,Il Cantinone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/il_cantinone_45.4041_9.9260.json,custom
45.403848,9.925210,ov_piadineria_artigianale_da_ugo_45.4038_9.9252,Piadineria Artigianale da Ugo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/piadineria_artigianale_da_ugo_45.4038_9.9252.json,custom
45.404067,9.927109,ov_l_incontro_di_orzi_45.4041_9.9271,L'Incontro di Orzi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/lincontro_di_orzi_45.4041_9.9271.json,custom
45.404258,9.927182,ov_la_bottega_dell_oste_45.4043_9.9272,La Bottega Dell'Oste,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/la_bottega_delloste_45.4043_9.9272.json,custom
45.403364,9.933543,ov_ristorante_pizzeria_gustavo_orzinuovi_45.4034_9.9335,Ristorante Pizzeria Gustavo Orzinuovi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/ristorante_pizzeria_gustavo_orzinuovi_45.4034_9.9335.json,custom
45.400919,9.928554,ov_ristorante_delfino_45.4009_9.9286,Ristorante Delfino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/ristorante_delfino_45.4009_9.9286.json,custom
45.397926,9.930408,ov_il_pastaio_delle_terre_basse_bresciane_45.3979_9.9304,Il Pastaio delle terre basse bresciane,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/il_pastaio_delle_terre_basse_bresciane_45.3979_9.9304.json,custom
45.397844,9.932102,ov_pizza_flash_orzinuovi_45.3978_9.9321,Pizza Flash Orzinuovi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/pizza_flash_orzinuovi_45.3978_9.9321.json,custom
45.409998,9.933830,ov_tandoori_flame_45.4100_9.9338,Tandoori Flame,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/tandoori_flame_45.4100_9.9338.json,custom
45.408886,9.930357,ov_trattoria_primavera_di_scuri_angelo___fi_45.4089_9.9304,Trattoria Primavera di Scuri Angelo & Figli SNC,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/trattoria_primavera_di_scuri_angelo_figl_45.4089_9.9304.json,custom
45.409414,9.934142,ov_mon_fusion_restaurant_45.4094_9.9341,MON Fusion Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/mon_fusion_restaurant_45.4094_9.9341.json,custom
45.407601,9.936190,ov_piadineria_giulia_45.4076_9.9362,Piadineria Giulia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/piadineria_giulia_45.4076_9.9362.json,custom
45.406632,9.924740,ov_mood_asian_food_factory_45.4066_9.9247,MOOD Asian Food Factory,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/mood_asian_food_factory_45.4066_9.9247.json,custom
45.405774,9.925722,ov_gallizioli_pasticceria_45.4058_9.9257,Gallizioli Pasticceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/gallizioli_pasticceria_45.4058_9.9257.json,custom
45.405541,9.925924,ov_ristorante_pizzeria_il_cantinone_45.4055_9.9259,Ristorante Pizzeria Il Cantinone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/ristorante_pizzeria_il_cantinone_45.4055_9.9259.json,custom
45.414736,9.922722,ov_le_tre_ciose_45.4147_9.9227,Le Tre Ciose,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/le_tre_ciose_45.4147_9.9227.json,custom
45.414456,9.942191,ov_mcdonald_s_45.4145_9.9422,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/mcdonalds_45.4145_9.9422.json,custom
45.398707,10.009273,ov_ristorante_sedicesimo_secolo_45.3987_10.0093,Ristorante Sedicesimo Secolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/ristorante_sedicesimo_secolo_45.3987_10.0093.json,custom
45.400948,10.010439,ov_ristorante_xvi_secolo_45.4009_10.0104,Ristorante XVI Secolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/ristorante_xvi_secolo_45.4009_10.0104.json,custom
45.402269,9.924220,osm_enoteca_centrale_45.4023_9.9242,Enoteca Centrale,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/enoteca_centrale_45.4023_9.9242.json,custom
45.401083,9.919056,osm_tramvai_beer_grill_45.4011_9.9191,Tramvai Beer Grill,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/tramvai_beer_grill_45.4011_9.9191.json,custom
45.397277,9.925299,osm_la_pagoda_di_gao_quanzhou_45.3973_9.9253,La Pagoda di Gao Quanzhou,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/la_pagoda_di_gao_quanzhou_45.3973_9.9253.json,custom
45.397521,9.932372,osm_pizza_flash_45.3975_9.9324,Pizza Flash,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/pizza_flash_45.3975_9.9324.json,custom
45.400560,9.913203,osm_ristorante_pizzeria_milano_45.4006_9.9132,Ristorante Pizzeria Milano,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/ristorante_pizzeria_milano_45.4006_9.9132.json,custom
45.400470,9.923854,osm_pizzeria_bella_napoli_45.4005_9.9239,Pizzeria Bella Napoli,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/pizzeria_bella_napoli_45.4005_9.9239.json,custom
