# lat,lng,id,name,building_type,type,url,page_type
# vetralla -- restaurants
42.338043,12.021080,ov_agriturismo_l_accordo_42.3380_12.0211,Agriturismo L'Accordo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/agriturismo_laccordo_42.3380_12.0211.json,custom
42.343550,12.013210,ov_traldi_eat_ristorante_42.3436_12.0132,Traldi EaT Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/traldi_eat_ristorante_42.3436_12.0132.json,custom
42.330247,12.062776,ov_la_braceria_42.3302_12.0628,La Braceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/la_braceria_42.3302_12.0628.json,custom
42.322194,12.053740,ov_agriristoro_da_lallo_42.3222_12.0537,Agriristoro da LALLO,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/agriristoro_da_lallo_42.3222_12.0537.json,custom
42.322194,12.053740,ov_francesca_centro_estetico_42.3222_12.0537,Francesca Centro Estetico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/francesca_centro_estetico_42.3222_12.0537.json,custom
42.322172,12.054397,ov_inpasta_42.3222_12.0544,inPasta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/inpasta_42.3222_12.0544.json,custom
42.321945,12.056007,ov_pizzeria_la_castellana_0761_485206_42.3219_12.0560,Pizzeria la castellana 0761-485206,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/pizzeria_la_castellana_0761-485206_42.3219_12.0560.json,custom
42.320818,12.053848,ov_al_forno_di_roberto_e_anna_a_vetralla_vi_42.3208_12.0538,Al Forno Di Roberto E Anna A Vetralla Via Cassia Int.173,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/al_forno_di_roberto_e_anna_a_vetralla_vi_42.3208_12.0538.json,custom
42.320078,12.055194,ov_pizzeria_la_torre_42.3201_12.0552,Pizzeria La Torre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/pizzeria_la_torre_42.3201_12.0552.json,custom
42.321386,12.055820,ov_ristorante_da_benedetta_42.3214_12.0558,Ristorante Da Benedetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/ristorante_da_benedetta_42.3214_12.0558.json,custom
42.321732,12.052386,ov_pizzeria_doppio_zero_42.3217_12.0524,Pizzeria Doppio Zero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/pizzeria_doppio_zero_42.3217_12.0524.json,custom
42.319434,12.056885,ov_pinseria_06_42.3194_12.0569,Pinseria 06,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/pinseria_06_42.3194_12.0569.json,custom
42.319560,12.056247,ov_trattoria_la_lanterna_42.3196_12.0562,Trattoria La Lanterna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/trattoria_la_lanterna_42.3196_12.0562.json,custom
42.318853,12.058939,ov_hotel_residence_antica_locanda_42.3189_12.0589,Hotel Residence Antica Locanda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/hotel_residence_antica_locanda_42.3189_12.0589.json,custom
42.318713,12.058466,ov_altro_che_pizza_new_42.3187_12.0585,ALTRO CHE PIZZA new,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/altro_che_pizza_new_42.3187_12.0585.json,custom
42.317764,12.062014,ov_corso_pizza_giuseppe_cravero_42.3178_12.0620,Corso Pizza Giuseppe Cravero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/corso_pizza_giuseppe_cravero_42.3178_12.0620.json,custom
42.318956,12.062365,ov_trattoria_pizzeria_lo_scolapasta_42.3190_12.0624,Trattoria Pizzeria Lo Scolapasta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/trattoria_pizzeria_lo_scolapasta_42.3190_12.0624.json,custom
