# lat,lng,id,name,building_type,type,url,page_type
# valtournenche -- restaurants
45.885241,7.634331,ov_foyer_des_guides_45.8852_7.6343,Foyer des Guides,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/foyer_des_guides_45.8852_7.6343.json,custom
45.875813,7.622297,ov_la_maison_du_coq_rouge_45.8758_7.6223,La Maison Du Coq Rouge,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/la_maison_du_coq_rouge_45.8758_7.6223.json,custom
45.880832,7.623527,ov_ristorante_bar_stella_alpina_45.8808_7.6235,Ristorante Bar Stella Alpina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/ristorante_bar_stella_alpina_45.8808_7.6235.json,custom
45.876410,7.623430,ov_barmasse_45.8764_7.6234,Barmasse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/barmasse_45.8764_7.6234.json,custom
45.878099,7.623336,ov_biblos_45.8781_7.6233,Biblos,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/biblos_45.8781_7.6233.json,custom
45.878138,7.623314,ov_big_ben_ristorante_pizzeria_45.8781_7.6233,Big Ben Ristorante pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/big_ben_ristorante_pizzeria_45.8781_7.6233.json,custom
45.867504,7.617207,ov_le_gourmand_45.8675_7.6172,Le Gourmand,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/le_gourmand_45.8675_7.6172.json,custom
45.899605,7.616509,ov_gouffre_des_busserailles_45.8996_7.6165,Gouffre des Busserailles,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/gouffre_des_busserailles_45.8996_7.6165.json,custom
45.899476,7.616735,ov_antica_trattoria_lo_gurfo_45.8995_7.6167,Antica trattoria Lo Gurfo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/antica_trattoria_lo_gurfo_45.8995_7.6167.json,custom
45.920102,7.614862,ov_fishing_club_cervinia_45.9201_7.6149,Fishing Club Cervinia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/fishing_club_cervinia_45.9201_7.6149.json,custom
45.919524,7.617639,ov_restaurant_alpage_45.9195_7.6176,Restaurant Alpage,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/restaurant_alpage_45.9195_7.6176.json,custom
45.887942,7.623881,ov_bar_ristorante_le_moulin_45.8879_7.6239,Bar Ristorante Le Moulin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/bar_ristorante_le_moulin_45.8879_7.6239.json,custom
45.935175,7.638100,ov_les_skieurs_d_antan_45.9352_7.6381,Les Skieurs d'Antan,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/les_skieurs_dantan_45.9352_7.6381.json,custom
45.934802,7.636448,ov_bar_tavola_calda_bardoney_45.9348_7.6364,Bar Tavola Calda Bardoney,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/bar_tavola_calda_bardoney_45.9348_7.6364.json,custom
45.929839,7.633455,ov_bar_ristorante_even_cielo_alto_45.9298_7.6335,Bar Ristorante Even Cielo Alto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/bar_ristorante_even_cielo_alto_45.9298_7.6335.json,custom
45.933343,7.631566,ov_ristorante_opera_45.9333_7.6316,Ristorante Opera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/ristorante_opera_45.9333_7.6316.json,custom
45.934615,7.631290,ov_le_bistrot_de_l_abb__45.9346_7.6313,Le Bistrot de l'Abbé,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/le_bistrot_de_labb_45.9346_7.6313.json,custom
45.934210,7.631320,ov_la_luge_ristorante_gourmet_a_cervinia____45.9342_7.6313,La Luge Ristorante Gourmet a Cervinia - Valle d'Aosta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/la_luge_ristorante_gourmet_a_cervinia_-__45.9342_7.6313.json,custom
45.934210,7.631320,ov_ristorante_gran_sometta_45.9342_7.6313,Ristorante Gran Sometta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/ristorante_gran_sometta_45.9342_7.6313.json,custom
45.935196,7.631044,ov_maison_de_saussure_45.9352_7.6310,Maison De Saussure,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/maison_de_saussure_45.9352_7.6310.json,custom
45.934845,7.630843,ov_cervinia___italian_alps_45.9348_7.6308,Cervinia - Italian Alps,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/cervinia_-_italian_alps_45.9348_7.6308.json,custom
45.934930,7.630770,ov_bistrot_sporting_bar_cuisine_45.9349_7.6308,Bistrot Sporting Bar&Cuisine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/bistrot_sporting_barcuisine_45.9349_7.6308.json,custom
45.931640,7.629618,ov_la_chandelle_45.9316_7.6296,La Chandelle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/la_chandelle_45.9316_7.6296.json,custom
45.935238,7.629929,ov_al_solito_posto_45.9352_7.6299,Al Solito Posto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/al_solito_posto_45.9352_7.6299.json,custom
