# lat,lng,id,name,building_type,type,url,page_type
# varazze -- restaurants
44.305458,8.481308,ov_quintogusto_44.3055_8.4813,Quintogusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/varazze/pages/quintogusto_44.3055_8.4813.json,custom
44.403337,8.534485,ov_baccere_baciccia_44.4033_8.5345,Baccere Baciccia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/varazze/pages/baccere_baciccia_44.4033_8.5345.json,custom
44.403423,8.534308,ov_trattoria_ai_cacciatori_44.4034_8.5343,Trattoria ai Cacciatori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/varazze/pages/trattoria_ai_cacciatori_44.4034_8.5343.json,custom
44.400898,8.567723,ov_agriturismo_la_tana_degli_orsi_44.4009_8.5677,Agriturismo La tana degli orsi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/varazze/pages/agriturismo_la_tana_degli_orsi_44.4009_8.5677.json,custom
44.405000,8.575606,ov_agriturismo_fonda_44.4050_8.5756,Agriturismo Fonda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/varazze/pages/agriturismo_fonda_44.4050_8.5756.json,custom
44.414755,8.523121,ov_il_piccolo_ranch_44.4148_8.5231,Il Piccolo Ranch,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/varazze/pages/il_piccolo_ranch_44.4148_8.5231.json,custom
44.379069,8.626219,ov_ristorante_la_mola_44.3791_8.6262,Ristorante La Mola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/varazze/pages/ristorante_la_mola_44.3791_8.6262.json,custom
44.379008,8.625683,ov_ristorante_il_volo_dei_gabbiani_44.3790_8.6257,Ristorante Il Volo dei Gabbiani,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/varazze/pages/ristorante_il_volo_dei_gabbiani_44.3790_8.6257.json,custom
44.375838,8.627163,ov_varezze_44.3758_8.6272,Varezze,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/varazze/pages/varezze_44.3758_8.6272.json,custom
44.375590,8.627019,ov_ristorante_san_giacomo_44.3756_8.6270,Ristorante San Giacomo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/varazze/pages/ristorante_san_giacomo_44.3756_8.6270.json,custom
44.372403,8.617499,ov_autogrill_44.3724_8.6175,Autogrill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/varazze/pages/autogrill_44.3724_8.6175.json,custom
44.377468,8.571658,ov_casanova_44.3775_8.5717,Casanova,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/varazze/pages/casanova_44.3775_8.5717.json,custom
44.380026,8.566596,ov_vecchia_fattoria_44.3800_8.5666,Vecchia Fattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/varazze/pages/vecchia_fattoria_44.3800_8.5666.json,custom
44.377488,8.568760,ov_trattoria_fossello_44.3775_8.5688,Trattoria Fossello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/varazze/pages/trattoria_fossello_44.3775_8.5688.json,custom
44.376042,8.565865,ov_il_gombo_44.3760_8.5659,Il Gombo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/varazze/pages/il_gombo_44.3760_8.5659.json,custom
44.387454,8.549626,ov_la_baita_44.3875_8.5496,La baita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/varazze/pages/la_baita_44.3875_8.5496.json,custom
44.392770,8.569510,ov_ristorante_pizzeria_da_carlin_44.3928_8.5695,Ristorante Pizzeria da Carlin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/varazze/pages/ristorante_pizzeria_da_carlin_44.3928_8.5695.json,custom
44.351412,8.566221,ov_life___food___drink_44.3514_8.5662,Life - food & drink,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/varazze/pages/life_-_food_drink_44.3514_8.5662.json,custom
44.351517,8.565963,ov_mamasita_44.3515_8.5660,Mamasita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/varazze/pages/mamasita_44.3515_8.5660.json,custom
44.351534,8.566246,ov_il_messicano_varazze_44.3515_8.5662,Il Messicano Varazze,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/varazze/pages/il_messicano_varazze_44.3515_8.5662.json,custom
44.352970,8.565995,ov_ristorante_pizzeria_lanpo_44.3530_8.5660,Ristorante Pizzeria Lanpo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/varazze/pages/ristorante_pizzeria_lanpo_44.3530_8.5660.json,custom
44.353456,8.566099,ov_da_alfredo_44.3535_8.5661,Da Alfredo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/varazze/pages/da_alfredo_44.3535_8.5661.json,custom
44.353606,8.566141,ov_il_pesce_pazzo_44.3536_8.5661,Il Pesce Pazzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/varazze/pages/il_pesce_pazzo_44.3536_8.5661.json,custom
44.354583,8.566578,ov_boma_ristorante_44.3546_8.5666,Boma Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/varazze/pages/boma_ristorante_44.3546_8.5666.json,custom
44.356886,8.569280,ov_pescoei_bistro_44.3569_8.5693,Pescoei Bistro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/varazze/pages/pescoei_bistro_44.3569_8.5693.json,custom
44.357332,8.569317,ov_blackstone_cafe_44.3573_8.5693,Blackstone Cafe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/varazze/pages/blackstone_cafe_44.3573_8.5693.json,custom
