# lat,lng,id,name,building_type,type,url,page_type
# rapolano_terme -- restaurants
43.239088,11.640825,ov_tenuta_il_tasso_43.2391_11.6408,Tenuta Il Tasso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/rapolano_terme/pages/tenuta_il_tasso_43.2391_11.6408.json,custom
43.259380,11.621680,ov_autogrill_paris_43.2594_11.6217,Autogrill Paris,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/rapolano_terme/pages/autogrill_paris_43.2594_11.6217.json,custom
43.257373,11.622099,ov_farm_borghetto_il_montino_43.2574_11.6221,Farm Borghetto il Montino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/rapolano_terme/pages/farm_borghetto_il_montino_43.2574_11.6221.json,custom
43.254399,11.635055,ov_menchetti_rapolano_43.2544_11.6351,Menchetti Rapolano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/rapolano_terme/pages/menchetti_rapolano_43.2544_11.6351.json,custom
43.244379,11.623470,ov_agriturismo_scannano_43.2444_11.6235,Agriturismo Scannano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/rapolano_terme/pages/agriturismo_scannano_43.2444_11.6235.json,custom
43.256356,11.616248,ov_ristorante_pizzeria_s__rocco_43.2564_11.6162,Ristorante Pizzeria S. Rocco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/rapolano_terme/pages/ristorante_pizzeria_s_rocco_43.2564_11.6162.json,custom
43.257759,11.616906,ov_hostaria_del_benandante_43.2578_11.6169,Hostaria del Benandante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/rapolano_terme/pages/hostaria_del_benandante_43.2578_11.6169.json,custom
43.258290,11.616846,ov_nananero_43.2583_11.6168,Nananero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/rapolano_terme/pages/nananero_43.2583_11.6168.json,custom
43.263458,11.628365,ov_la_sosta_43.2635_11.6284,La Sosta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/rapolano_terme/pages/la_sosta_43.2635_11.6284.json,custom
43.263567,11.630265,ov_la_trattoria_di_luca_e_lorenzo_43.2636_11.6303,La trattoria di Luca e Lorenzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/rapolano_terme/pages/la_trattoria_di_luca_e_lorenzo_43.2636_11.6303.json,custom
43.263476,11.624989,ov_agriturismo_ischieto_ristorante_43.2635_11.6250,Agriturismo Ischieto Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/rapolano_terme/pages/agriturismo_ischieto_ristorante_43.2635_11.6250.json,custom
43.286677,11.603799,ov_trattoria_la_patria_43.2867_11.6038,Trattoria La Patria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/rapolano_terme/pages/trattoria_la_patria_43.2867_11.6038.json,custom
43.286672,11.605719,ov_pizzeria_napolimania_43.2867_11.6057,Pizzeria Napolimania,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/rapolano_terme/pages/pizzeria_napolimania_43.2867_11.6057.json,custom
43.287946,11.604721,ov_pizzeria_paradiso_43.2879_11.6047,Pizzeria Paradiso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/rapolano_terme/pages/pizzeria_paradiso_43.2879_11.6047.json,custom
43.287644,11.604459,ov_merenderia_il_girasole_43.2876_11.6045,Merenderia Il Girasole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/rapolano_terme/pages/merenderia_il_girasole_43.2876_11.6045.json,custom
43.287449,11.602867,ov_hostaria_mod__43.2874_11.6029,Hostaria Modí,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/rapolano_terme/pages/hostaria_mod_43.2874_11.6029.json,custom
43.287616,11.602874,ov_sapor_in_torre_43.2876_11.6029,Sapor in Torre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/rapolano_terme/pages/sapor_in_torre_43.2876_11.6029.json,custom
43.287564,11.601982,ov_osteria_il_granaio_43.2876_11.6020,Osteria Il Granaio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/rapolano_terme/pages/osteria_il_granaio_43.2876_11.6020.json,custom
43.295889,11.603188,ov_i_pini_osteria_braceria_pizzeria_43.2959_11.6032,I Pini Osteria Braceria Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/rapolano_terme/pages/i_pini_osteria_braceria_pizzeria_43.2959_11.6032.json,custom
43.293514,11.603673,ov_torricelli_dal_1963_ristorante_bar_pizze_43.2935_11.6037,Torricelli dal 1963 Ristorante Bar Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/rapolano_terme/pages/torricelli_dal_1963_ristorante_bar_pizze_43.2935_11.6037.json,custom
43.293164,11.603754,ov_trattoria_trento_43.2932_11.6038,Trattoria Trento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/rapolano_terme/pages/trattoria_trento_43.2932_11.6038.json,custom
43.292195,11.604004,ov_ristorante_dolce_vita_43.2922_11.6040,Ristorante Dolce Vita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/rapolano_terme/pages/ristorante_dolce_vita_43.2922_11.6040.json,custom
43.292219,11.603964,ov_le_buone_abitudini_43.2922_11.6040,Le Buone Abitudini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/rapolano_terme/pages/le_buone_abitudini_43.2922_11.6040.json,custom
43.307176,11.582937,ov_la_taverna_toscana_43.3072_11.5829,La Taverna Toscana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/rapolano_terme/pages/la_taverna_toscana_43.3072_11.5829.json,custom
43.286760,11.605631,osm_napolimania_43.2868_11.6056,Napolimania,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/rapolano_terme/pages/napolimania_43.2868_11.6056.json,custom
