# lat,lng,id,name,building_type,type,url,page_type
# Monte Argentario -- Tutti
42.393176,11.204846,ov_el_pirata_42.3932_11.2048,El Pirata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monte_argentario/pages/el_pirata_42.3932_11.2048.json,custom
42.393088,11.205393,ov_lungomare_porto_ercole_42.3931_11.2054,Lungomare Porto Ercole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monte_argentario/pages/lungomare_porto_ercole_42.3931_11.2054.json,custom
42.393347,11.204574,ov_il_ristorantino_42.3933_11.2046,Il Ristorantino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monte_argentario/pages/il_ristorantino_42.3933_11.2046.json,custom
42.393722,11.204873,ov_l_isola_felice_42.3937_11.2049,L'Isola Felice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monte_argentario/pages/lisola_felice_42.3937_11.2049.json,custom
42.393842,11.204874,ov_grano_42.3938_11.2049,Grano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monte_argentario/pages/grano_42.3938_11.2049.json,custom
42.394099,11.203749,ov_el_merendero_42.3941_11.2037,El Merendero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monte_argentario/pages/el_merendero_42.3941_11.2037.json,custom
42.394652,11.204596,ov_mama_s_hosteria_42.3947_11.2046,MAMA'S Hosteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monte_argentario/pages/mamas_hosteria_42.3947_11.2046.json,custom
42.394783,11.205479,ov_ristorante_la_pinta_42.3948_11.2055,Ristorante La Pinta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monte_argentario/pages/ristorante_la_pinta_42.3948_11.2055.json,custom
42.394886,11.204835,ov_la_grotta_del_pescatore_42.3949_11.2048,La Grotta Del Pescatore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monte_argentario/pages/la_grotta_del_pescatore_42.3949_11.2048.json,custom
42.395047,11.203837,ov_botania_gourmet_street_food_42.3950_11.2038,Botania Gourmet Street Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monte_argentario/pages/botania_gourmet_street_food_42.3950_11.2038.json,custom
42.394773,11.204260,ov_alicina_sul_porto_42.3948_11.2043,Alicina Sul Porto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monte_argentario/pages/alicina_sul_porto_42.3948_11.2043.json,custom
42.394719,11.203653,ov_ristorante_la_sirena_42.3947_11.2037,Ristorante La Sirena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monte_argentario/pages/ristorante_la_sirena_42.3947_11.2037.json,custom
42.396365,11.201957,ov_fratelli_galletti_porto_ercole_42.3964_11.2020,Fratelli Galletti Porto Ercole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/monte_argentario/pages/fratelli_galletti_porto_ercole_42.3964_11.2020.json,custom
