# lat,lng,id,name,building_type,type,url,page_type
# castano_primo -- restaurants
45.555468,8.774279,ov_pizzeria_portobello_45.5555_8.7743,Pizzeria Portobello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/pizzeria_portobello_45.5555_8.7743.json,custom
45.555538,8.775236,ov_pizzeria_fuori_strada_45.5555_8.7752,Pizzeria Fuori Strada,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/pizzeria_fuori_strada_45.5555_8.7752.json,custom
45.553484,8.777135,ov_agriturismo_oasi_cassano_magnago_45.5535_8.7771,Agriturismo Oasi Cassano Magnago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/agriturismo_oasi_cassano_magnago_45.5535_8.7771.json,custom
45.552895,8.782591,ov_gamba_de_legn_bistrot_45.5529_8.7826,Gamba de Legn Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/gamba_de_legn_bistrot_45.5529_8.7826.json,custom
45.552638,8.783068,ov_mediterraneo_45.5526_8.7831,Mediterraneo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/mediterraneo_45.5526_8.7831.json,custom
45.552309,8.780149,ov_nuvola_pizzeria_45.5523_8.7801,Nuvola Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/nuvola_pizzeria_45.5523_8.7801.json,custom
45.552203,8.783556,ov_osteria_del_vinacciolo_45.5522_8.7836,Osteria del Vinacciolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/osteria_del_vinacciolo_45.5522_8.7836.json,custom
45.551884,8.778363,ov_kansai_pub_45.5519_8.7784,Kansai Pub,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/kansai_pub_45.5519_8.7784.json,custom
45.551460,8.777736,ov_pasticceria_il_golosone_45.5515_8.7777,Pasticceria Il Golosone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/pasticceria_il_golosone_45.5515_8.7777.json,custom
45.551398,8.776156,ov_hao_sushi_bar_45.5514_8.7762,Hao Sushi Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/hao_sushi_bar_45.5514_8.7762.json,custom
45.551336,8.777285,ov_il_vinacciolo_45.5513_8.7773,Il Vinacciolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/il_vinacciolo_45.5513_8.7773.json,custom
45.551224,8.774976,ov_luxale_burger_45.5512_8.7750,Luxale Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/luxale_burger_45.5512_8.7750.json,custom
45.551120,8.779015,ov_osteria_antico_borgo_45.5511_8.7790,Osteria Antico Borgo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/osteria_antico_borgo_45.5511_8.7790.json,custom
45.550759,8.780609,ov_la_ruota__pizzeria_ristorante_45.5508_8.7806,La Ruota* Pizzeria Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/la_ruota_pizzeria_ristorante_45.5508_8.7806.json,custom
45.550516,8.785262,ov_mizu_sushi_fusion_restaurant_45.5505_8.7853,MIZU-Sushi&Fusion Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/mizu-sushifusion_restaurant_45.5505_8.7853.json,custom
45.549726,8.774162,ov_l_arte_della_pizza_45.5497_8.7742,L’arte della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/larte_della_pizza_45.5497_8.7742.json,custom
45.548001,8.774573,ov_da_marzia_45.5480_8.7746,Da Marzia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/da_marzia_45.5480_8.7746.json,custom
45.547822,8.773427,ov_pizzeria_da_tony_45.5478_8.7734,Pizzeria da Tony,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/pizzeria_da_tony_45.5478_8.7734.json,custom
45.543746,8.763149,ov_mcdonald_s_45.5437_8.7631,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/mcdonalds_45.5437_8.7631.json,custom
