# lat,lng,id,name,building_type,type,url,page_type
# leysin -- restaurants
46.349482,6.998481,ov_refuge_de_solacyre_46.3495_6.9985,Refuge de Solacyre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/refuge_de_solacyre_46.3495_6.9985.json,custom
46.342143,6.991053,ov_chalet__restaurant_de_prafandaz_46.3421_6.9911,Chalet- Restaurant de Prafandaz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/chalet-_restaurant_de_prafandaz_46.3421_6.9911.json,custom
46.342977,7.006394,ov_new_world_46.3430_7.0064,New World,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/new_world_46.3430_7.0064.json,custom
46.344492,7.008613,ov_station_rock_caf__46.3445_7.0086,Station Rock Café,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/station_rock_caf_46.3445_7.0086.json,custom
46.341593,7.012964,ov_restaurant_la_fromagerie_46.3416_7.0130,Restaurant la Fromagerie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/restaurant_la_fromagerie_46.3416_7.0130.json,custom
46.340797,7.011600,ov_la_calabre_46.3408_7.0116,La Calabre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/la_calabre_46.3408_7.0116.json,custom
46.344976,7.009886,ov_culinary_studio_2_46.3450_7.0099,Culinary Studio 2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/culinary_studio_2_46.3450_7.0099.json,custom
46.345864,7.010809,ov_restaurant_le_lynx_46.3459_7.0108,Restaurant Le Lynx,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/restaurant_le_lynx_46.3459_7.0108.json,custom
46.345793,7.010694,ov_pizz_amore_46.3458_7.0107,Pizz'Amore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/pizzamore_46.3458_7.0107.json,custom
46.345139,7.010262,ov_concept_lab_3_46.3451_7.0103,Concept Lab 3,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/concept_lab_3_46.3451_7.0103.json,custom
46.343240,7.012448,ov_restaurant_la_lorraine_46.3432_7.0124,Restaurant la Lorraine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/restaurant_la_lorraine_46.3432_7.0124.json,custom
46.343033,7.013046,ov_cr_perie_des_alpes_46.3430_7.0130,Crêperie des Alpes,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/crperie_des_alpes_46.3430_7.0130.json,custom
46.343252,7.013584,ov_explorateurs_loco_46.3433_7.0136,Explorateurs Loco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/explorateurs_loco_46.3433_7.0136.json,custom
46.347144,7.017294,ov_restaurant_prafandaz_46.3471_7.0173,Restaurant Prafandaz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/restaurant_prafandaz_46.3471_7.0173.json,custom
46.341257,7.019352,ov_le_cafe_de_la_patinoire_46.3413_7.0194,Le Cafe de la Patinoire,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/le_cafe_de_la_patinoire_46.3413_7.0194.json,custom
46.366359,7.014198,ov_refuge_de_mayen_46.3664_7.0142,Refuge de Mayen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/refuge_de_mayen_46.3664_7.0142.json,custom
46.350000,7.016670,ov_green_safe_46.3500_7.0167,Green&Safe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/greensafe_46.3500_7.0167.json,custom
46.359629,7.001924,ov_tournant_panoramique_le_kuklos_46.3596_7.0019,Tournant Panoramique Le Kuklos,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/tournant_panoramique_le_kuklos_46.3596_7.0019.json,custom
46.359640,7.002013,ov_restaurant_tournant_kuklos_46.3596_7.0020,Restaurant Tournant Kuklos,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/restaurant_tournant_kuklos_46.3596_7.0020.json,custom
46.372670,7.030735,ov_chalet_restaurant_les_fers_46.3727_7.0307,Chalet restaurant les Fers,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/chalet_restaurant_les_fers_46.3727_7.0307.json,custom
