# lat,lng,id,name,building_type,type,url,page_type
# cingoli -- restaurants
43.438124,13.243525,ov_villa_della_rovere_43.4381_13.2435,Villa Della Rovere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/cingoli/pages/villa_della_rovere_43.4381_13.2435.json,custom
43.415050,13.265345,ov_agriturismo_i_mori_43.4151_13.2653,Agriturismo i Mori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/cingoli/pages/agriturismo_i_mori_43.4151_13.2653.json,custom
43.414349,13.214063,ov_da_antonia_43.4143_13.2141,Da Antonia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/cingoli/pages/da_antonia_43.4143_13.2141.json,custom
43.394947,13.183940,ov_ristorante_la_crescia_43.3949_13.1839,Ristorante La Crescia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/cingoli/pages/ristorante_la_crescia_43.3949_13.1839.json,custom
43.389645,13.192375,ov_ristorante__la_cresci__di_nocelli_andrea_43.3896_13.1924,Ristorante 'la Crescià di Nocelli Andrea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/cingoli/pages/ristorante_la_cresci_di_nocelli_andrea_43.3896_13.1924.json,custom
43.359769,13.271332,ov_ristorante_villa_del_cerro_43.3598_13.2713,Ristorante Villa del Cerro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/cingoli/pages/ristorante_villa_del_cerro_43.3598_13.2713.json,custom
43.354653,13.145865,ov_ristorante_la_corte_sul_lago_43.3547_13.1459,Ristorante La Corte sul Lago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/cingoli/pages/ristorante_la_corte_sul_lago_43.3547_13.1459.json,custom
43.365830,13.137140,ov_osteria_da_li_monelli_43.3658_13.1371,Osteria Da Li Monelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/cingoli/pages/osteria_da_li_monelli_43.3658_13.1371.json,custom
43.369730,13.154217,ov_ristorante_i_ponti_43.3697_13.1542,Ristorante I Ponti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/cingoli/pages/ristorante_i_ponti_43.3697_13.1542.json,custom
43.376590,13.154116,ov_lo_smeraldo_43.3766_13.1541,Lo Smeraldo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/cingoli/pages/lo_smeraldo_43.3766_13.1541.json,custom
43.376707,13.154216,ov_ristorante_bed___breakfast_lo_smeraldo_43.3767_13.1542,Ristorante Bed & Breakfast Lo Smeraldo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/cingoli/pages/ristorante_bed_breakfast_lo_smeraldo_43.3767_13.1542.json,custom
43.375147,13.208408,ov_ragno_d_oro_43.3751_13.2084,Ragno D'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/cingoli/pages/ragno_doro_43.3751_13.2084.json,custom
43.375059,13.207980,ov_daniela_30_vizi_43.3751_13.2080,Daniela 30 Vizi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/cingoli/pages/daniela_30_vizi_43.3751_13.2080.json,custom
43.375584,13.215229,ov_rock_abbey_43.3756_13.2152,Rock Abbey,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/cingoli/pages/rock_abbey_43.3756_13.2152.json,custom
43.375453,13.215534,ov_pizzeria_del_corso_43.3755_13.2155,Pizzeria del Corso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/cingoli/pages/pizzeria_del_corso_43.3755_13.2155.json,custom
43.375161,13.214846,ov_la_taverna_di_ro_43.3752_13.2148,La Taverna Di Ro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/cingoli/pages/la_taverna_di_ro_43.3752_13.2148.json,custom
43.374321,13.215793,ov_pizzeria_del_vicolo_43.3743_13.2158,Pizzeria Del Vicolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/cingoli/pages/pizzeria_del_vicolo_43.3743_13.2158.json,custom
43.374679,13.216319,ov_pizzeria_dell_orologio_43.3747_13.2163,Pizzeria Dell'Orologio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/cingoli/pages/pizzeria_dellorologio_43.3747_13.2163.json,custom
43.374699,13.216285,ov_aibu___laboratorio_di_sushi_43.3747_13.2163,AIBU - Laboratorio di Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/cingoli/pages/aibu_-_laboratorio_di_sushi_43.3747_13.2163.json,custom
43.377177,13.202259,ov_comida_bar_pinseria_43.3772_13.2023,Comida Bar Pinseria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/cingoli/pages/comida_bar_pinseria_43.3772_13.2023.json,custom
43.384811,13.228284,ov_gli_ulivi_43.3848_13.2283,Gli Ulivi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/cingoli/pages/gli_ulivi_43.3848_13.2283.json,custom
43.389196,13.193121,ov_albergo_ristorante_pizzeria_la_pineta_43.3892_13.1931,Albergo-Ristorante-Pizzeria La Pineta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/cingoli/pages/albergo-ristorante-pizzeria_la_pineta_43.3892_13.1931.json,custom
43.343606,13.183264,ov_osteria_del_foro_43.3436_13.1833,Osteria del Foro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/cingoli/pages/osteria_del_foro_43.3436_13.1833.json,custom
