# lat,lng,id,name,building_type,type,url,page_type
# carini -- restaurants
37.179270,14.739210,ov_andrew_s_saloon_37.1793_14.7392,Andrew's Saloon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/andrews_saloon_37.1793_14.7392.json,custom
38.047789,13.229773,ov_araba_fenice_38.0478_13.2298,Araba Fenice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/araba_fenice_38.0478_13.2298.json,custom
38.043871,13.128517,ov_oblivion_food_and_drink_38.0439_13.1285,Oblivion Food and Drink,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/oblivion_food_and_drink_38.0439_13.1285.json,custom
38.154716,13.162352,ov_a_giaconia_38.1547_13.1624,A Giaconia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/a_giaconia_38.1547_13.1624.json,custom
38.154677,13.172985,ov_la_baronia_38.1547_13.1730,La Baronia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/la_baronia_38.1547_13.1730.json,custom
38.149660,13.188422,ov_oleificio_failla_prodotti_tipici_38.1497_13.1884,Oleificio Failla Prodotti Tipici,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/oleificio_failla_prodotti_tipici_38.1497_13.1884.json,custom
38.147943,13.188200,ov_la_locanda_di_san_giorgio_38.1479_13.1882,La Locanda di San Giorgio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/la_locanda_di_san_giorgio_38.1479_13.1882.json,custom
38.151981,13.200840,ov_conad_sicilia_s_c_38.1520_13.2008,Conad Sicilia S C,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/conad_sicilia_s_c_38.1520_13.2008.json,custom
38.157529,13.197301,ov_zangaloro_meat_factory_38.1575_13.1973,Zangaloro Meat Factory,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/zangaloro_meat_factory_38.1575_13.1973.json,custom
38.157990,13.194930,ov_nuova_sovan_srl_38.1580_13.1949,Nuova Sovan srl,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/nuova_sovan_srl_38.1580_13.1949.json,custom
