# lat,lng,id,name,building_type,type,url,page_type
# bellano -- bars_cafes.csv
46.034081,9.329329,ov_bar_la_noce_46.0341_9.3293,Bar La Noce,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bellano/pages/bar_la_noce_46.0341_9.3293.json,custom
46.044585,9.303827,ov_bar_arnold_s_46.0446_9.3038,Bar Arnold's,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bellano/pages/bar_arnolds_46.0446_9.3038.json,custom
46.044252,9.303895,ov_taverna_malanotte_46.0443_9.3039,Taverna Malanotte,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bellano/pages/taverna_malanotte_46.0443_9.3039.json,custom
46.042816,9.303840,ov_enoteca_bellanasco_46.0428_9.3038,Enoteca Bellanasco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bellano/pages/enoteca_bellanasco_46.0428_9.3038.json,custom
46.041077,9.302197,ov_rama_cafe_46.0411_9.3022,Rama Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bellano/pages/rama_cafe_46.0411_9.3022.json,custom
46.040982,9.300255,ov_chiringuito_bellano_46.0410_9.3003,Chiringuito Bellano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bellano/pages/chiringuito_bellano_46.0410_9.3003.json,custom
46.043586,9.302222,ov_bar_arrigoni_bellano_46.0436_9.3022,Bar Arrigoni Bellano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bellano/pages/bar_arrigoni_bellano_46.0436_9.3022.json,custom
46.042860,9.303932,osm_bar_monastero_46.0429_9.3039,Bar Monastero,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bellano/pages/bar_monastero_46.0429_9.3039.json,custom
46.043938,9.303102,osm_da_roberta_46.0439_9.3031,Da Roberta,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bellano/pages/da_roberta_46.0439_9.3031.json,custom
46.044575,9.303890,osm_arnold_s_bar_46.0446_9.3039,Arnold's Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bellano/pages/arnolds_bar_46.0446_9.3039.json,custom
46.043792,9.302902,osm_centrale_da_roberta_46.0438_9.3029,Centrale da Roberta,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bellano/pages/centrale_da_roberta_46.0438_9.3029.json,custom
46.042925,9.299883,osm_chiosco_di_bellano_46.0429_9.2999,Chiosco di Bellano,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bellano/pages/chiosco_di_bellano_46.0429_9.2999.json,custom
