# lat,lng,id,name,building_type,type,url,page_type
# vado_ligure -- restaurants
44.252513,8.383544,ov_ristorante_il_castello_44.2525_8.3835,Ristorante Il Castello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/ristorante_il_castello_44.2525_8.3835.json,custom
44.252487,8.383399,ov_sms_fratellanza_segnese_44.2525_8.3834,Sms Fratellanza Segnese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/sms_fratellanza_segnese_44.2525_8.3834.json,custom
44.256231,8.405482,ov_carlo_in_fornace_44.2562_8.4055,Carlo in Fornace,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/carlo_in_fornace_44.2562_8.4055.json,custom
44.266481,8.431599,ov_bistrot_del_molo_44.2665_8.4316,Bistrot Del Molo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/bistrot_del_molo_44.2665_8.4316.json,custom
44.263710,8.443290,ov_mezu_mezu_44.2637_8.4433,Mezu Mezu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/mezu_mezu_44.2637_8.4433.json,custom
44.268050,8.440226,ov_trattoria_del_camionista_44.2680_8.4402,Trattoria del Camionista,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/trattoria_del_camionista_44.2680_8.4402.json,custom
44.267744,8.433621,ov_io_cibo_2_0_44.2677_8.4336,Io Cibo 2.0,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/io_cibo_20_44.2677_8.4336.json,custom
44.271573,8.437909,ov_pepe_rosa_44.2716_8.4379,Pepe Rosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/pepe_rosa_44.2716_8.4379.json,custom
44.270745,8.437863,ov_gramsci_bar_and_bistrot_44.2707_8.4379,Gramsci Bar and Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/gramsci_bar_and_bistrot_44.2707_8.4379.json,custom
44.270557,8.437919,ov_il_cantuccio_insaporito_44.2706_8.4379,Il Cantuccio Insaporito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/il_cantuccio_insaporito_44.2706_8.4379.json,custom
44.269752,8.437992,ov_gelateria_il_siciliano_44.2698_8.4380,Gelateria IL Siciliano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/gelateria_il_siciliano_44.2698_8.4380.json,custom
44.270896,8.438747,ov_monsieur_mido_14_44.2709_8.4387,Monsieur Mido 14,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/monsieur_mido_14_44.2709_8.4387.json,custom
44.270934,8.439031,ov_trattoria_giardino_44.2709_8.4390,Trattoria Giardino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/trattoria_giardino_44.2709_8.4390.json,custom
44.270462,8.438648,ov_ristorante_da_rudi_44.2705_8.4386,Ristorante da Rudi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/ristorante_da_rudi_44.2705_8.4386.json,custom
44.270886,8.438008,ov_la_focacceria_44.2709_8.4380,La Focacceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/la_focacceria_44.2709_8.4380.json,custom
44.270917,8.438594,ov_kilimangiaro_44.2709_8.4386,Kilimangiaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/kilimangiaro_44.2709_8.4386.json,custom
44.271277,8.438376,ov_negro_ristocaf__44.2713_8.4384,Negro RistoCafé,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/negro_ristocaf_44.2713_8.4384.json,custom
44.271388,8.438386,ov_la_rosa_dei_venti_44.2714_8.4384,La Rosa Dei Venti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/la_rosa_dei_venti_44.2714_8.4384.json,custom
44.272910,8.439330,ov_bagni_blu_beach_44.2729_8.4393,Bagni Blu Beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/bagni_blu_beach_44.2729_8.4393.json,custom
44.273178,8.438425,ov_ristorante_il_pescegatto_44.2732_8.4384,Ristorante il Pescegatto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/ristorante_il_pescegatto_44.2732_8.4384.json,custom
44.272762,8.438382,ov_le_prime_44.2728_8.4384,Le Prime,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/le_prime_44.2728_8.4384.json,custom
44.273330,8.439064,ov_sapori_di_liguria_44.2733_8.4391,Sapori di Liguria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/sapori_di_liguria_44.2733_8.4391.json,custom
44.275208,8.439857,ov_pizza_de_fuego_44.2752_8.4399,Pizza de Fuego,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/pizza_de_fuego_44.2752_8.4399.json,custom
44.275387,8.440036,ov_shangri_la_44.2754_8.4400,Shangri La,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/shangri_la_44.2754_8.4400.json,custom
44.275214,8.440447,ov_colton_bay_44.2752_8.4404,colton bay,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/colton_bay_44.2752_8.4404.json,custom
44.274991,8.439050,ov_la_vecchia_stazione_44.2750_8.4390,La Vecchia Stazione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/la_vecchia_stazione_44.2750_8.4390.json,custom
44.274524,8.435512,ov_tutto_pizza_44.2745_8.4355,Tutto Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/tutto_pizza_44.2745_8.4355.json,custom
44.273974,8.435964,ov_osteria_sogno_divino_44.2740_8.4360,Osteria Sogno DiVino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/osteria_sogno_divino_44.2740_8.4360.json,custom
44.274130,8.435898,ov_domo_mea_ristorante_trattoria_44.2741_8.4359,Domo Mea Ristorante Trattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/domo_mea_ristorante_trattoria_44.2741_8.4359.json,custom
44.262696,8.415769,ov_al_portico_44.2627_8.4158,Al Portico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/al_portico_44.2627_8.4158.json,custom
44.263119,8.417431,ov_ristorante___bar_valle_de_vu__44.2631_8.4174,Ristorante / Bar Valle de Vuè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/ristorante_bar_valle_de_vu_44.2631_8.4174.json,custom
44.280735,8.441474,ov_taverna_dello_zio_gianfester_44.2807_8.4415,Taverna dello Zio Gianfester,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/taverna_dello_zio_gianfester_44.2807_8.4415.json,custom
44.280568,8.443393,ov_la_conchiglia_44.2806_8.4434,La Conchiglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/la_conchiglia_44.2806_8.4434.json,custom
44.279623,8.443037,ov_ristorante_blue_beach_44.2796_8.4430,Ristorante Blue Beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/ristorante_blue_beach_44.2796_8.4430.json,custom
44.276539,8.440540,ov_braceria_a_baia_surva_antonio_44.2765_8.4405,Braceria A Baia Surva Antonio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/braceria_a_baia_surva_antonio_44.2765_8.4405.json,custom
44.276156,8.440565,ov_ristorante_pizzeria_da_antonio_44.2762_8.4406,Ristorante Pizzeria Da Antonio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/ristorante_pizzeria_da_antonio_44.2762_8.4406.json,custom
44.276182,8.440560,ov_birreria_la_botte_44.2762_8.4406,Birreria La Botte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/birreria_la_botte_44.2762_8.4406.json,custom
44.280707,8.444120,ov_bagni_madonnetta___vado_ligure_44.2807_8.4441,Bagni Madonnetta - Vado Ligure,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/vado_ligure/pages/bagni_madonnetta_-_vado_ligure_44.2807_8.4441.json,custom
