# lat,lng,id,name,building_type,type,url,page_type
# andora -- bars_cafes
43.982830,8.130304,ov_miky_bar_43.9828_8.1303,Miky bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/miky_bar_43.9828_8.1303.json,custom
43.982853,8.130342,ov_bar_molino_43.9829_8.1303,Bar Molino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/bar_molino_43.9829_8.1303.json,custom
43.971819,8.160069,ov_bagni_aurora_laigueglia_43.9718_8.1601,Bagni Aurora Laigueglia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/bagni_aurora_laigueglia_43.9718_8.1601.json,custom
43.951308,8.154159,ov_molo_36_43.9513_8.1542,Molo 36,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/molo_36_43.9513_8.1542.json,custom
43.951336,8.154288,ov_bar_molo_porto_andora_43.9513_8.1543,Bar Molo Porto Andora,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/bar_molo_porto_andora_43.9513_8.1543.json,custom
43.951477,8.152539,ov_bar_sciabecco_43.9515_8.1525,Bar Sciabecco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/bar_sciabecco_43.9515_8.1525.json,custom
43.951825,8.152201,ov_single_fin_andora_43.9518_8.1522,Single Fin Andora,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/single_fin_andora_43.9518_8.1522.json,custom
43.951410,8.150872,ov_bar_bagni_franco_43.9514_8.1509,Bar Bagni Franco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/bar_bagni_franco_43.9514_8.1509.json,custom
43.951410,8.150872,ov_bar_caffetteria_tentazioni_43.9514_8.1509,Bar Caffetteria Tentazioni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/bar_caffetteria_tentazioni_43.9514_8.1509.json,custom
43.950980,8.149422,ov_barravento_43.9510_8.1494,Barravento,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/barravento_43.9510_8.1494.json,custom
43.958054,8.139559,ov_pausa_caf__43.9581_8.1396,Pausa Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/pausa_caf_43.9581_8.1396.json,custom
43.951303,8.141567,ov_bar_dolce_vita_43.9513_8.1416,Bar dolce vita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/bar_dolce_vita_43.9513_8.1416.json,custom
43.952812,8.146762,ov_bar_bir__43.9528_8.1468,Bar biró,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/bar_bir_43.9528_8.1468.json,custom
43.952290,8.144968,ov_bar_enoteca_el_paraiso_43.9523_8.1450,Bar Enoteca El Paraiso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/bar_enoteca_el_paraiso_43.9523_8.1450.json,custom
43.951798,8.144473,ov_ilpiccolobar_andora_43.9518_8.1445,ilpiccolobar_andora,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/ilpiccolobarandora_43.9518_8.1445.json,custom
43.950949,8.146039,ov_pasqualini_caffe_43.9509_8.1460,Pasqualini Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/pasqualini_caffe_43.9509_8.1460.json,custom
43.950396,8.146203,ov_los_amigos_43.9504_8.1462,Los Amigos,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/los_amigos_43.9504_8.1462.json,custom
43.950518,8.147136,ov_celecaff__43.9505_8.1471,Celecaffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/celecaff_43.9505_8.1471.json,custom
43.950741,8.147062,ov_mata_mua_43.9507_8.1471,Mata Mua,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/mata_mua_43.9507_8.1471.json,custom
43.950726,8.149080,ov_tempocaf__by_aperimassy_43.9507_8.1491,Tempocafè by AperiMassy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/tempocaf_by_aperimassy_43.9507_8.1491.json,custom
43.950567,8.148561,ov_nostromo_43.9506_8.1486,Nostromo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/nostromo_43.9506_8.1486.json,custom
43.949473,8.145770,ov_labaraccabb_andora_43.9495_8.1458,Labaraccabb Andora,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/labaraccabb_andora_43.9495_8.1458.json,custom
43.947492,8.139561,ov_bar_andora_beach_43.9475_8.1396,Bar Andora Beach,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/bar_andora_beach_43.9475_8.1396.json,custom
43.947492,8.139561,ov_the_beach_43.9475_8.1396,The Beach,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/the_beach_43.9475_8.1396.json,custom
43.949901,8.141069,ov_agrirollo_43.9499_8.1411,Agrirollo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/agrirollo_43.9499_8.1411.json,custom
43.950105,8.141361,ov_bar_blue_s_note_43.9501_8.1414,Bar Blue's Note,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/bar_blues_note_43.9501_8.1414.json,custom
43.948761,8.140528,ov_caff__torrengo_43.9488_8.1405,Caffè Torrengo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/caff_torrengo_43.9488_8.1405.json,custom
43.951830,8.152163,osm_singlefin_43.9518_8.1522,Singlefin,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/singlefin_43.9518_8.1522.json,custom
