# lat,lng,id,name,building_type,type,url,page_type
# bobbio -- restaurants
44.797226,9.328159,ov_buscaglia_ristobar___passo_penice_44.7972_9.3282,Buscaglia Ristobar - Passo Penice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/bobbio/pages/buscaglia_ristobar_-_passo_penice_44.7972_9.3282.json,custom
44.797499,9.328015,ov_ristorante_lo_scarpone_44.7975_9.3280,Ristorante Lo Scarpone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/bobbio/pages/ristorante_lo_scarpone_44.7975_9.3280.json,custom
44.774060,9.293825,ov_passo_scaparina_44.7741_9.2938,Passo Scaparina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/bobbio/pages/passo_scaparina_44.7741_9.2938.json,custom
44.768793,9.303075,ov_trattoria_la_scaparina_44.7688_9.3031,Trattoria la Scaparina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/bobbio/pages/trattoria_la_scaparina_44.7688_9.3031.json,custom
44.784959,9.343555,ov_locanda_nobili_44.7850_9.3436,Locanda Nobili,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/bobbio/pages/locanda_nobili_44.7850_9.3436.json,custom
44.780934,9.389197,ov_agriturismo_il_torrione_del_trebbia_44.7809_9.3892,Agriturismo Il Torrione del Trebbia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/bobbio/pages/agriturismo_il_torrione_del_trebbia_44.7809_9.3892.json,custom
44.772788,9.388566,ov_pizzeria_punto_verde_ristorante_44.7728_9.3886,Pizzeria Punto Verde Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/bobbio/pages/pizzeria_punto_verde_ristorante_44.7728_9.3886.json,custom
44.773231,9.389158,ov_pizzeria_la_bobbiese_44.7732_9.3892,Pizzeria La Bobbiese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/bobbio/pages/pizzeria_la_bobbiese_44.7732_9.3892.json,custom
44.768145,9.379389,ov_ristorante_il_cappon_magro_44.7681_9.3794,Ristorante Il Cappon Magro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/bobbio/pages/ristorante_il_cappon_magro_44.7681_9.3794.json,custom
44.767869,9.386460,ov_osteria_braceria_il_barone_44.7679_9.3865,Osteria Braceria il Barone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/bobbio/pages/osteria_braceria_il_barone_44.7679_9.3865.json,custom
44.768924,9.386352,ov_pizzeria_rolling_stone_44.7689_9.3864,Pizzeria Rolling Stone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/bobbio/pages/pizzeria_rolling_stone_44.7689_9.3864.json,custom
44.766836,9.385482,ov_ristorante_enoteca_san_nicola_44.7668_9.3855,Ristorante Enoteca San Nicola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/bobbio/pages/ristorante_enoteca_san_nicola_44.7668_9.3855.json,custom
44.760343,9.383062,ov_vivaio_san_martino__bobbio_44.7603_9.3831,"Vivaio San Martino, Bobbio",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/bobbio/pages/vivaio_san_martino_bobbio_44.7603_9.3831.json,custom
44.758748,9.381538,ov_albergo_bar_ristorante_vecchio_mulino_44.7587_9.3815,Albergo Bar Ristorante Vecchio Mulino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/bobbio/pages/albergo_bar_ristorante_vecchio_mulino_44.7587_9.3815.json,custom
44.744015,9.361067,ov_acqua_dolce_e_salata_44.7440_9.3611,Acqua Dolce e Salata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/bobbio/pages/acqua_dolce_e_salata_44.7440_9.3611.json,custom
44.767358,9.392814,ov_ristorante_pizzeria_bar_co__del_ponte_44.7674_9.3928,Ristorante Pizzeria Bar Co' del Ponte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/bobbio/pages/ristorante_pizzeria_bar_co_del_ponte_44.7674_9.3928.json,custom
