# lat,lng,id,name,building_type,type,url,page_type
# san_michele_al_tagliamento -- Tutti
45.628002,12.996012,ov_chiosco_seven_45.6280_12.9960,Chiosco Seven,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_michele_al_tagliamento/pages/chiosco_seven_45.6280_12.9960.json,custom
45.627542,12.993243,ov_al_teatro_45.6275_12.9932,Al Teatro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_michele_al_tagliamento/pages/al_teatro_45.6275_12.9932.json,custom
45.629934,12.991919,ov_ristorante_moby_dick___bibione_45.6299_12.9919,Ristorante Moby Dick - Bibione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_michele_al_tagliamento/pages/ristorante_moby_dick_-_bibione_45.6299_12.9919.json,custom
45.630492,13.001304,ov_lido_restaurant_45.6305_13.0013,LIDO Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_michele_al_tagliamento/pages/lido_restaurant_45.6305_13.0013.json,custom
45.629467,13.011700,ov_cocobongo_45.6295_13.0117,Cocobongo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_michele_al_tagliamento/pages/cocobongo_45.6295_13.0117.json,custom
45.628927,13.007149,ov_ristorante_shany___bibione_pineda_45.6289_13.0071,Ristorante Shany - Bibione Pineda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_michele_al_tagliamento/pages/ristorante_shany_-_bibione_pineda_45.6289_13.0071.json,custom
45.640706,13.061527,ov_bar_ristorante_pizzeria_da_nella_45.6407_13.0615,Bar Ristorante Pizzeria da Nella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_michele_al_tagliamento/pages/bar_ristorante_pizzeria_da_nella_45.6407_13.0615.json,custom
45.640475,13.066254,ov_festa_del_pesce_45.6405_13.0663,Festa del Pesce,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_michele_al_tagliamento/pages/festa_del_pesce_45.6405_13.0663.json,custom
45.639668,13.061196,ov_cantina_veneta_45.6397_13.0612,Cantina Veneta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_michele_al_tagliamento/pages/cantina_veneta_45.6397_13.0612.json,custom
45.639399,13.043824,ov_piccolo_bar_fast_food_eis_cafe_45.6394_13.0438,Piccolo Bar Fast Food Eis Cafe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/san_michele_al_tagliamento/pages/piccolo_bar_fast_food_eis_cafe_45.6394_13.0438.json,custom
