# lat,lng,id,name,building_type,type,url,page_type
# edolo -- restaurants
46.168705,10.245971,ov_ristoro_del_pescatore_46.1687_10.2460,Ristoro del Pescatore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/edolo/pages/ristoro_del_pescatore_46.1687_10.2460.json,custom
46.176908,10.295392,ov_trattoria_della_pina_46.1769_10.2954,Trattoria della Pina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/edolo/pages/trattoria_della_pina_46.1769_10.2954.json,custom
46.170193,10.312597,ov_ristoro_la_sturna_46.1702_10.3126,Ristoro La Sturna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/edolo/pages/ristoro_la_sturna_46.1702_10.3126.json,custom
46.195666,10.298352,ov_rifugio_mola_46.1957_10.2984,Rifugio Mola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/edolo/pages/rifugio_mola_46.1957_10.2984.json,custom
46.189918,10.344851,ov_malga_stain__italian_alps_46.1899_10.3449,"Malga Stain, Italian Alps",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/edolo/pages/malga_stain_italian_alps_46.1899_10.3449.json,custom
46.181170,10.334320,ov_adamello_la_b_sa_46.1812_10.3343,Adamello La Büsa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/edolo/pages/adamello_la_bsa_46.1812_10.3343.json,custom
46.181171,10.334174,ov_piadineria_artigianale_edolo_46.1812_10.3342,Piadineria Artigianale Edolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/edolo/pages/piadineria_artigianale_edolo_46.1812_10.3342.json,custom
46.179454,10.334976,ov_sushi_gao_46.1795_10.3350,Sushi Gao,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/edolo/pages/sushi_gao_46.1795_10.3350.json,custom
46.179278,10.332031,ov_osteria_el_patio_46.1793_10.3320,Osteria El Patio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/edolo/pages/osteria_el_patio_46.1793_10.3320.json,custom
46.180396,10.332395,ov_la_corte_di_bacco_46.1804_10.3324,La Corte di Bacco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/edolo/pages/la_corte_di_bacco_46.1804_10.3324.json,custom
46.180424,10.332866,ov_la_bella_edolo_46.1804_10.3329,La Bella Edolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/edolo/pages/la_bella_edolo_46.1804_10.3329.json,custom
46.178773,10.326016,ov_bar_syesta_46.1788_10.3260,Bar Syesta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/edolo/pages/bar_syesta_46.1788_10.3260.json,custom
46.178690,10.329750,ov_ali_baba___doner_kebab_46.1787_10.3298,Ali Baba   Doner Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/edolo/pages/ali_baba_doner_kebab_46.1787_10.3298.json,custom
46.178307,10.329776,ov_piz_bon_46.1783_10.3298,Piz-Bon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/edolo/pages/piz-bon_46.1783_10.3298.json,custom
46.176280,10.330106,ov_pio___jonny_46.1763_10.3301,Pio & Jonny,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/edolo/pages/pio_jonny_46.1763_10.3301.json,custom
46.174931,10.338004,ov_pizzeria_da_ciccio_46.1749_10.3380,Pizzeria Da Ciccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/edolo/pages/pizzeria_da_ciccio_46.1749_10.3380.json,custom
46.171813,10.341967,ov_mcdonald_s_46.1718_10.3420,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/edolo/pages/mcdonalds_46.1718_10.3420.json,custom
46.175857,10.345571,ov_le_case_di_farnera_46.1759_10.3456,Le Case di Farnera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/edolo/pages/le_case_di_farnera_46.1759_10.3456.json,custom
