# lat,lng,id,name,building_type,type,url,page_type
# edolo -- bars_cafes
46.179587,10.333522,ov_societ__industriale_di_vallecamonica_s_i_46.1796_10.3335,Società Industriale di Vallecamonica S.In.Val. SRL,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/edolo/pages/societ_industriale_di_vallecamonica_sinv_46.1796_10.3335.json,custom
46.178861,10.331911,ov_bar_elisa_46.1789_10.3319,bar elisa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/edolo/pages/bar_elisa_46.1789_10.3319.json,custom
46.180449,10.331804,ov_bar_ciak_di_francesconi_simona_46.1804_10.3318,Bar Ciak di Francesconi Simona,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/edolo/pages/bar_ciak_di_francesconi_simona_46.1804_10.3318.json,custom
46.180826,10.332886,ov_touring_bar_e_hotel_edolo_46.1808_10.3329,Touring Bar e Hotel Edolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/edolo/pages/touring_bar_e_hotel_edolo_46.1808_10.3329.json,custom
46.181103,10.333055,ov_jolly_bar_46.1811_10.3331,Jolly Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/edolo/pages/jolly_bar_46.1811_10.3331.json,custom
46.178958,10.326030,ov_la_siesta_46.1790_10.3260,La Siesta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/edolo/pages/la_siesta_46.1790_10.3260.json,custom
46.180309,10.330096,ov_lady_rose_46.1803_10.3301,Lady Rose,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/edolo/pages/lady_rose_46.1803_10.3301.json,custom
46.176617,10.328379,ov_bar_tabaccheria_fuori_giri_46.1766_10.3284,Bar Tabaccheria Fuori Giri,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/edolo/pages/bar_tabaccheria_fuori_giri_46.1766_10.3284.json,custom
46.174080,10.335170,ov_break_bar_istituto_meneghini_di_santina__46.1741_10.3352,Break Bar Istituto Meneghini di Santina Tensi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/edolo/pages/break_bar_istituto_meneghini_di_santina__46.1741_10.3352.json,custom
46.174700,10.338593,ov_bar_linus_46.1747_10.3386,Bar Linus,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/edolo/pages/bar_linus_46.1747_10.3386.json,custom
